Data was downloaded on July 6 2026 2:00 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6130500/MCFRBA_C1,3030004,35.55920,-79.05500,"Lick Creek at SR 1500 nr Corinth","Lee","voluntary station -- Previously unmonitored tributary","WS-IV",CPF07,yes

Query Results: 
Stations:B6130500	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6130500,1998-07-15,00:25:00,Yes,0.1,23.5,,6.7,,3.2,,72,,78,,0,\N,9,,3,<,0,,0.02,,0.37,,0.03,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6130500,1998-08-17,11:50:00,Yes,0.1,24.6,,6.7,,3.9,,63,,144,,0,\N,24.9,,3,,0,,0.04,,0.24,,0.16,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6130500,1998-09-10,11:30:00,Yes,0.1,19.2,,6.6,,4.2,,62,,180,,0,\N,35.6,,5.8,,0,,0.07,,0.44,,0.13,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6130500,1998-10-14,13:30:00,Yes,0.1,16.8,,7,,6,,66,,63,,0,\N,33.4,,4.9,,0,,0.01,<,0.23,,0.12,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6130500,1998-11-19,00:20:00,Yes,0.1,10.8,,6.9,,6.5,,68,,88,,0,\N,4.9,,1.2,,0,,0.01,<,0.24,,0.01,<,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6130500,1998-12-14,00:35:00,Yes,0.1,9,,6.7,,8.5,,68,,229,,0,\N,4.3,,1,<,0,,0.01,<,0.17,,0.01,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6130500,1999-01-12,13:40:00,Yes,0.1,4.8,,6.9,,10.7,,58,,72,,0,\N,25.7,,6.8,,0,,0.01,<,0.2,,0.12,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6130500,1999-02-08,14:20:00,Yes,0.1,11.4,,6.3,,9.3,,72,,32,,0,\N,17,,3.5,,0,,0.01,<,0.12,,0.11,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6130500,1999-03-09,00:00:00,Yes,0.1,6.7,,6.7,,10.9,,69,,48,,0,\N,8.3,,3,<,0,,0.06,,1.37,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6130500,1999-04-13,11:00:00,Yes,0.1,15.6,,6.3,,9.3,,75,,6,,0,\N,6.4,,1.6,,0,,0.04,,0.35,,0.06,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
