Data was downloaded on July 6 2026 2:01 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6200000/MCFRBA_FORMER_02,3030004,35.55941,-78.97342,"Buckhorn Creek at NC 42 nr Fuquay Varina","Chatham","Below Harris Lake; dns Shearon Harris; USGS gage","C",CPF07,no

Query Results: 
Stations:B6200000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6200000,1998-07-15,11:45:00,Yes,0.1,23.4,,6.5,,6.8,,75,,19,,0,\N,2,,3,<,0,,0.04,,0.41,,0.05,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1998-08-17,11:15:00,Yes,0.1,24.4,,6.7,,5.2,,65,,216,,0,\N,5,,3,<,0,,0.06,,0.28,,0.06,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1998-09-10,10:40:00,Yes,0.1,18.2,,6.8,,5.5,,73,,58,,0,\N,8.2,,2.7,,0,,0.07,,0.37,,0.09,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1998-10-14,00:55:00,Yes,0.1,17.2,,6.8,,6.4,,72,,105,,0,\N,5.3,,2,,0,,0.01,,0.25,,0.04,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1998-11-19,11:55:00,Yes,0.1,11,,6.7,,7,,61,,119,,0,\N,4,,1,,0,,0.01,<,0.18,,0.01,<,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1998-12-14,11:30:00,Yes,0.1,9,,6.6,,9,,65,,240,,0,\N,2.3,,1,<,0,,0.01,<,0.22,,0.16,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1999-01-12,13:10:00,Yes,0.1,4.7,,6.9,,11,,50,,25,,0,\N,7.8,,1.7,,0,,0.02,,0.18,,0.01,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1999-02-08,13:40:00,Yes,0.1,11.4,,6.3,,10.3,,83,,13,,0,\N,5.1,,4.4,,0,,0.01,<,0.36,,0.05,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1999-03-09,11:25:00,Yes,0.1,6.7,,6.8,,11,,72,,12,,0,\N,4.2,,3,<,0,,0.03,,0.29,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1999-04-13,10:15:00,Yes,0.1,17.3,,6.9,,11.1,,89,,21,,0,\N,7.8,,5.4,,0,,0.05,,0.61,,0.07,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1999-05-12,10:30:00,Yes,0.1,19.4,,6.6,,5,,84,,67,,0,\N,2.9,,1,<,0,,0.12,,0.64,,0.16,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1999-06-09,09:20:00,Yes,0.1,22.1,,6.3,,4,,91,,35,,0,\N,3.8,,5.9,,0,,0.07,,0.35,,0.08,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1999-07-13,13:10:00,Yes,0.1,20.3,,6.9,,5.2,,90,,82,,0,\N,4.9,,3.3,,0,,0.14,,0.48,,0.1,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1999-08-03,11:10:00,Yes,0.1,23.9,,6.9,,4.2,,78,,250,,0,\N,7.3,,12.1,,0,,0.04,,0.47,,0.01,<,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6200000,1999-09-08,00:15:00,Yes,0.1,22.7,,6.6,,6.4,,58,,69,,0,\N,9.5,,3.4,,0,,0.03,,0.54,,0.04,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
