Data was downloaded on July 6 2026 1:58 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6204000/MCFRBA_02,3030004,35.54353,-78.98986,"Buckhorn Crk beside SR 1921 Buckhorn Rd nr Corinth","Chatham","Below Harris Lake; dns Shearon Harris; USGS gage","C",CPF07,yes

Query Results: 
Stations:B6204000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6204000,2005-09-15,14:14:00,Yes,0.1,25.6,,6.93,,1.1,,148,,220,,0,\N,5.5,,1,U,0,,0.06,,0.5,,0.04,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2005-10-18,14:15:00,Yes,0.1,13.7,,6.94,,5.1,,109,,38,,0,\N,3.9,,4,,0,,0.04,,0.4,,0.16,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2005-11-17,13:38:00,Yes,0.1,12.9,,6.87,,4,,121,,37,,0,\N,1.7,,2,,0,,0.02,U,0.2,,0.02,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2005-12-09,13:32:00,Yes,0.1,7.6,,6.87,,10.9,,75,,230,,0,\N,11.1,,1,,0,,0.1,,0.3,,0.05,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-01-20,00:03:00,Yes,0.1,6.4,,6.78,,12.8,,71,,52,,0,\N,8.3,,1,U,0,,0.02,U,0.2,U,0.02,U,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-02-09,13:10:00,Yes,0.1,6.4,,7.05,,11.2,,79,,88,B4,0,\N,4.9,,2,,0,,0.02,U,0.2,U,0.02,U,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-03-23,13:57:00,Yes,0.1,10.6,,7.07,,12.2,,74,,31,,0,\N,5.5,,1,U,0,,0.02,U,0.2,U,0.02,U,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-04-10,13:17:00,Yes,0.1,13.4,,6.97,,7.2,,93,,58,,0,\N,3.4,,3,,0,,0.02,U,0.3,,0.03,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-05-01,13:41:00,Yes,0.1,18.2,,7.04,,8.5,,126,,28,,0,\N,3.6,,6,,0,,0.02,U,0.3,,0.07,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-06-05,13:40:00,Yes,0.1,22.8,,6.92,,6.4,,129,,6,,0,\N,2.6,,3,,0,,0.07,,0.5,,0.13,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-07-05,13:14:00,Yes,0.1,28.6,,6.92,,6.6,,114,,22,,0,\N,3.2,,5,,0,,0.02,,0.5,,0.02,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-08-10,13:23:00,Yes,0.1,25.5,,6.61,,4.7,,132,,56,,0,\N,4.4,,2,,0,,0.04,,0.5,,0.05,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-09-08,14:05:00,Yes,0.1,22.8,,6.92,,5.2,,111,,42,,0,\N,3.2,,1,U,0,,0.02,U,0.25,,0.57,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-10-05,13:35:00,Yes,0.1,17.9,,5.74,,5.4,,124,,44,,0,\N,2.8,,1,U,0,,0.02,,0.2,U,0.02,U,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-11-09,15:12:00,Yes,0.1,14.8,,0,X2,5.6,,85,,148,B1,0,\N,11.8,,4,,0,,0.02,U,0.32,,0.1,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2006-12-03,13:35:00,Yes,0.1,11.5,,6.99,,10.6,,115,,31,,0,\N,7.9,,4,,0,,0.02,U,0.38,,0.22,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2007-01-11,00:38:00,Yes,0.1,9.9,,6.65,,11.1,,112,,7,,0,\N,6.3,,7,,0,,0.04,,0.29,,0.21,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2007-02-08,13:18:00,Yes,0.1,7.3,,6.68,,11.9,,110,,13,,0,\N,5.3,,4,,0,,0.02,U,0.4,,0.15,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2007-03-15,13:36:00,Yes,0.1,13.2,,6.67,,11.6,,108,,17,,0,\N,4.3,,4,,0,,0.02,U,0.34,,0.04,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2007-04-18,00:15:00,Yes,0.1,15.5,,6.62,,9.7,,107,,17,,0,\N,4.9,,12,,0,,0.09,,0.4,,0.03,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2007-05-17,13:49:00,Yes,0.1,21.8,,7.62,,7.8,,104,,27,,0,\N,1.9,,5,,0,,0.07,,0.32,,0.14,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2007-06-07,13:30:00,Yes,0.1,23,,6.79,,5.5,,90,,14,,0,\N,3.5,,1,U,0,,0.06,,0.2,U,0.18,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2007-07-11,13:27:00,Yes,0.1,25.3,,7.12,,6,,99,,160,B1,0,\N,4.5,,4,,0,,0.02,U,0.23,,0.07,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6204000,2007-08-09,13:36:00,Yes,0.1,27.8,,6.74,,5.8,,119,,44,,0,\N,6.4,,1,U,0,,0.02,U,0.29,,0.02,U,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
