Data was downloaded on July 6 2026 2:00 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6215000/MCFRBA_31,3030004,35.48710,-78.95160,"Cape Fear River at Captains Landing nr Cokesbury","Harnett","Dns of future Weatern Wake WWTP discharge","WS-IV HQW",CPF07,yes

Query Results: 
Stations:B6215000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6215000,2010-07-19,13:38:00,Yes,0.1,29.1,,7.61,,7.1,,194,,300,,0,\N,5.6,,4,,0,,0.04,,0.61,,0.47,,0.078,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6215000,2010-07-29,15:19:00,Yes,0.1,32.1,,7.18,,7,,148,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6215000,2010-08-04,14:16:00,Yes,0.1,29.3,,7.47,,7.6,,171,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6215000,2010-08-19,13:24:00,Yes,0.1,28.2,,6.99,,6.4,,185,,320,,0,\N,5.3,,5,,0,,0.04,,0.55,,0.37,,0.113,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6215000,2010-09-02,13:32:00,Yes,0.1,27.2,,7.4,,7.1,,190,,114,B4,0,\N,6.1,,5,,0,,0.02,U,0.41,,0.3,,0.056,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6215000,2010-09-29,12:47:00,Yes,0.1,24.8,,6.3,,6,,217,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6215000,2010-10-27,13:08:00,Yes,0.1,23.3,,7.1,,7.9,,178,,7,B1,0,\N,3.8,,6,,0,,0.02,U,0.37,,0.64,,0.072,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6215000,2010-11-30,12:51:00,Yes,0.1,14.3,,7.8,,10.6,,212,,86,B1,0,\N,5.2,,8,,0,,0.02,U,0.51,,0.87,,0.072,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6215000,2010-12-21,13:06:00,Yes,0.1,7.4,,7.7,,12,,215,,51,,0,\N,3.9,,2.5,U,0,,0.02,U,0.5,,0.99,,0.065,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6215000,2011-01-13,13:15:00,Yes,0.1,6.4,,7.5,,12.2,,235,,13,,0,\N,3.6,,2.5,U,0,,0.02,U,0.79,,0.99,,0.037,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
