Data was downloaded on July 6 2026 2:01 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6230000/MCFRBA_C2,3030004,35.48750,-78.90940,"Avents Creek at SR 1418 nr Cokesbury","Harnett","voluntary station -- Excellent IBI; fish reference site","WS-IV HQW",CPF07,yes

Query Results: 
Stations:B6230000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6230000,1998-07-15,11:15:00,Yes,0.1,21.9,,6.8,,7.4,,46,,124,,0,\N,6.6,,3,<,0,,0.04,,0.39,,0.08,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6230000,1998-08-17,10:50:00,Yes,0.1,22.9,,6.8,,8.2,,39,,8100,,0,\N,30.6,,18,,0,,0.01,<,0.36,,0.22,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6230000,1998-09-10,10:05:00,Yes,0.1,16.5,,6.8,,8.4,,51,,183,,0,\N,5.5,,2.1,,0,,0.03,,0.26,,0.1,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6230000,1998-10-14,00:35:00,Yes,0.1,15.8,,7,,8.3,,49,,36,,0,\N,4.8,,2.8,,0,,0.01,<,0.17,,0.09,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6230000,1998-11-19,11:30:00,Yes,0.1,10,,6.9,,9.1,,44,,92,,0,\N,5,,1.3,,0,,0.01,<,0.2,,0.02,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6230000,1998-12-14,11:10:00,Yes,0.1,8.9,,6.8,,10.2,,45,,169,,0,\N,6,,2,,0,,0.02,,0.27,,0.08,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6230000,1999-01-12,00:40:00,Yes,0.1,5,,6.6,,11.5,,50,,124,,0,\N,4.1,,1.1,,0,,0.01,<,0.15,,0.47,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6230000,1999-02-08,13:05:00,Yes,0.1,11.7,,6.1,,10.2,,60,,96,,0,\N,5.9,,2.9,,0,,0.01,<,0.25,,0.28,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6230000,1999-03-09,11:05:00,Yes,0.1,5,,6.7,,12,,50,,118,,0,\N,4,,3,<,0,,0.01,,0.21,,0.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6230000,1999-04-13,09:50:00,Yes,0.1,13.1,,6.3,,11.8,,55,,50,,0,\N,4.8,,2.1,,0,,0.02,,0.46,,0.16,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
