Data was downloaded on July 6 2026 1:58 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6370000/MCFRBA_04,3030004,35.40670,-78.81493,"Cape Fear River at US 401 at Lillington","Harnett","Ups Harnett WWTP; Buies Creek WWTP; Angier WWTP; DWQ ambient; DWQ benthic and fish station; sample from bank at boat dock upstream of US 401 bridge.","WS-IV",CPF07,yes

Query Results: 
Stations:B6370000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6370000,1998-07-15,10:10:00,Yes,0.1,27.9,,7.5,,7.1,,169,,26,,0,\N,9.9,,11,,0,,0.05,,0.63,,0.2,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1998-07-23,16:48:00,Yes,0.1,31.6,,7.1,,5.3,,134,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1998-08-14,10:28:00,Yes,0.1,28.2,,7.4,,6.6,,177,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1998-08-17,09:40:00,Yes,0.1,28.4,,7.3,,7.4,,199,,54,,0,\N,12.1,,11,,0,,0.03,,0.8,,0.41,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1998-09-10,09:00:00,Yes,0.1,23.2,,7.2,,7.4,,152,,90,,0,\N,12.9,,9.1,,0,,0.03,,0.58,,0.43,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1998-09-22,13:46:00,Yes,0.1,27.8,,7.3,,6.8,,217,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1998-10-14,11:50:00,Yes,0.1,21.3,,7.2,,6.9,,199,,17,,0,\N,13.1,,9.5,,0,,0.01,,0.51,,0.5,,0.27,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1998-10-26,13:45:00,Yes,0.1,18.1,,7.3,,8.8,,190,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1998-11-19,10:40:00,Yes,0.1,15.2,,7.1,,8,,181,,31,,0,\N,4.9,,3.8,,0,,0.01,<,0.81,,0.41,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1998-12-14,10:00:00,Yes,0.1,12.5,,7.1,,9.1,,221,,380,,0,\N,5.4,,2.2,,0,,1.12,,1.8,,2.53,,0.92,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-01-12,11:50:00,Yes,0.1,6.7,,6.6,,10.9,,94,,177,,0,\N,54.4,,23.2,,0,,0.09,,0.81,,0.41,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-02-08,00:00:00,Yes,0.1,10.5,,6.5,,10.7,,142,,62,,0,\N,30.8,,23.4,,0,,0.06,,0.49,,0.37,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-03-09,10:25:00,Yes,0.1,8.8,,7.2,,12,,126,,15,,0,\N,9.8,,5.2,,0,,0.02,,0.38,,0.61,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-04-13,09:00:00,Yes,0.1,16.2,,7,,11.2,,128,,16,,0,\N,12.5,,14.6,,0,,0.12,,0.47,,0.39,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-05-12,09:15:00,Yes,0.1,22.8,,6.9,,7.4,,118,,11,,0,\N,10.8,,7.8,,0,,0.05,,0.77,,0.35,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-05-24,11:42:00,Yes,0.1,24.4,,6.5,,8,,146,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-06-09,08:00:00,Yes,0.1,29,,7.3,,7.5,,165,,26,,0,\N,8.6,,10.9,,0,,0.01,,0.77,,0.18,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-06-21,14:40:00,Yes,0.1,22.6,,7.4,,8.8,,153,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-07-13,11:50:00,Yes,0.1,23.5,,7.1,,6.9,,221,,110,,0,\N,8.7,,7.8,,0,,0.13,,0.83,,0.32,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-07-28,00:35:00,Yes,0.1,31.2,,7.9,,7.1,,219,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-08-03,09:45:00,Yes,0.1,29.3,,7.4,,6.6,,213,,470,,0,\N,7.6,,8.5,,0,,0.05,,0.68,,0.13,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-08-22,13:25:00,Yes,0.1,26.4,,8,,7.3,,221,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-09-08,10:55:00,Yes,0.1,24.4,,6.6,,7.1,,82,,480,,0,\N,54.3,,49.5,,0,,0.09,,0.85,,0.55,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-10-12,09:30:00,Yes,0.1,21.8,,7,,7.3,,95,,28,,0,\N,13.6,,12,,0,,0.03,,0.23,,0.33,,0.54,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-11-10,10:30:00,Yes,0.1,15.8,,7.2,,9.6,,116,,44,,0,\N,6.7,,7,,0,,0.03,,0.47,,0.33,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,1999-12-09,09:05:00,Yes,0.1,9.9,,7,,10.5,,115,,67,,0,\N,12.1,,11,,0,,0.08,,0.46,,0.54,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,2000-01-10,00:29:00,Yes,0.1,12.9,,6.7,,10.3,,82,,600,>,0,\N,54,,59,,0,,0.01,,0.66,,0.31,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,2000-02-14,09:44:00,Yes,0.1,7.7,,6.9,,11.8,,69,,840,>,0,\N,46.4,,60,,0,,0.06,,1.04,,0.56,,0.27,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,2000-03-17,14:01:00,Yes,0.1,14.5,,7.2,,10.7,,116,,125,,0,\N,15.1,,28,,0,,0.05,,0.53,,0.3,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,2000-04-21,10:50:00,Yes,0.1,17.1,,7,,9.1,,100,,82,,0,\N,22.8,,24,,0,,0.07,,0.6,,0.48,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,2000-05-02,11:15:00,Yes,0.1,16.8,,7,,8.8,,122,,460,,0,\N,23.9,,29,,0,,0.08,,0.16,,0.62,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,2000-06-01,10:40:00,Yes,0.1,24.3,,7.4,,7.7,,153,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,2000-06-20,10:35:00,Yes,0.1,27.6,,7,,5.8,,162,,530,,0,\N,22.2,,28,,0,,0.05,,0.1,<,0.32,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,2000-07-11,10:55:00,Yes,0.1,29.4,,7.2,,7.4,,198,,12,,0,\N,13.8,,14.5,,0,,0.01,<,0.43,,0.2,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,2000-07-24,15:30:00,Yes,0.1,28.2,,7.3,,6.8,,193,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6370000,2000-08-16,16:35:00,Yes,0.1,29.6,,7.2,,6.4,,151,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
