Data was downloaded on July 6 2026 2:01 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6483000/MCFRBA_FORMER_C3,3030004,35.40000,-78.73000,"E BUIES CRK AT SR 2054 AT BUIES CREEK","Harnett","","WS-IV",CPF07,no

Query Results: 
Stations:B6483000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6483000,1998-07-15,09:35:00,Yes,0.1,23.6,,6.7,,2.6,,131,,78,,0,\N,13,,7.8,,0,,0.01,<,1.39,,0.13,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1998-08-17,09:15:00,Yes,0.1,24.5,,6.6,,6.5,,62,,680,,0,\N,5.7,,3,<,0,,0.05,,0.76,,0.1,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1998-09-10,08:40:00,Yes,0.1,18.3,,6.4,,6.9,,61,,550,,0,\N,5.7,,3.2,,0,,0.05,,0.81,,0.1,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1998-10-14,11:20:00,Yes,0.1,17.6,,6.6,,4.7,,86,,84,,0,\N,9.4,,4.1,,0,,0.05,,0.52,,0.37,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1998-11-19,10:15:00,Yes,0.1,11.6,,6.6,,6.5,,109,,420,,0,\N,5,,1.5,,0,,0.01,<,0.51,,0.16,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-01-12,11:30:00,Yes,0.1,4.5,,6.7,,11,,72,,53,,0,\N,2.7,,1.4,,0,,0.01,<,0.33,,0.12,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-02-08,11:25:00,Yes,0.1,11.9,,5.9,,9.5,,80,,112,,0,\N,2.4,,1.9,,0,,0.01,<,0.31,,0.32,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-03-09,10:10:00,Yes,0.1,6.6,,6.3,,10.9,,74,,30,,0,\N,3.1,,1.6,,0,,0.03,,0.48,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-04-13,08:40:00,Yes,0.1,15.3,,6.5,,7.3,,48,,44,,0,\N,7.1,,4,,0,,0.14,,0.86,,0.14,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-05-12,08:55:00,Yes,0.1,18.1,,6.4,,4.3,,100,,67,,0,\N,9.3,,4.8,,0,,0.16,,1.08,,0.12,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-06-09,07:35:00,Yes,0.1,20.2,,6.1,,3.1,,166,,75,,0,\N,15,,10,,0,,0.62,,1.57,,0.02,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-07-13,11:35:00,Yes,0.1,20,,6.1,,3.8,,72,,1200,,0,\N,14.6,,6.8,,0,,0.28,,1.37,,0.16,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-08-03,09:25:00,Yes,0.1,22.9,,6.5,,0.9,,115,,380,,0,\N,58.5,,24,,0,,0.57,,1.47,,0.01,<,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-09-08,10:35:00,Yes,0.1,23.4,,6,,5.4,,96,,136,,0,\N,4.7,,4.6,,0,,0.04,,0.84,,0.03,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-10-12,08:45:00,Yes,0.1,19.1,,6.3,,7.5,,67,,88,,0,\N,5.1,,5,,0,,0.01,<,0.67,,0.06,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-11-10,09:55:00,Yes,0.1,12.4,,6.4,,9.4,,68,,96,,0,\N,5.8,,5,<,0,,0.06,,0.71,,0.12,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-12-09,08:40:00,Yes,0.1,6,,6.7,,11,,58,,48,,0,\N,5.7,,5,<,0,,0.15,,0.74,,0.16,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6483000,1999-12-14,09:40:00,Yes,0.1,9.6,,6.5,,8.3,,100,,545,,0,\N,5.9,,33,,0,,0.04,,0.59,,0.09,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
