Data was downloaded on July 6 2026 2:01 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6485000/MCFRBA_C3,3030004,35.39070,-78.75270,"Buies Creek behind Keith Hills Golf Course Maintenance Shop at Buies Creek","Harnett","voluntary station -- Previously unmonitored tributary","WS-IV",CPF07,yes

Query Results: 
Stations:B6485000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6485000,2003-07-16,00:18:00,Yes,0.1,25,,6.3,,6.8,,66,,1200,B5,0,\N,5.9,,6.3,,0,,0.06,,0.72,,0.13,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6485000,2003-08-28,13:43:00,Yes,0.1,28,,6.5,,6.6,,82,,51,B4,0,\N,9.9,,4.8,,0,,0.06,,1.1,,0.12,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6485000,2003-09-08,00:43:00,Yes,0.1,22,,6.24,,7,,64.7,,200,B4,0,\N,6.4,,4.4,,0,,0.07,,1,,0.1,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6485000,2003-10-09,10:45:00,Yes,0.1,19,,6.48,,7.4,,48,,3800,B4,0,\N,6.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6485000,2003-11-17,11:38:00,Yes,0.1,14,,6.63,,9,,100,,74,,0,\N,5.2,,4,U,0,,0.03,,0.8,,0.11,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6485000,2003-12-09,00:20:00,Yes,0.1,7,,6,,10.9,,79,,28,B1,0,\N,6,,2.4,,0,,0.11,,0.7,,0.27,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6485000,2004-01-20,00:25:00,Yes,0.1,5,,6.6,,11.7,,81,,40,,0,\N,3.9,,2.2,,0,,0.08,,0.43,,0.1,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6485000,2004-02-09,13:10:00,Yes,0.1,6,,6.4,,11.6,,70.6,,22,B1,0,\N,4,,3.4,,0,,0.17,,0.6,,0.28,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6485000,2004-03-16,00:10:00,Yes,0.1,15,,6.4,,8.6,,71.1,,160,,0,\N,6.5,,8.7,,0,,0.3,,1.1,,0.38,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6485000,2004-05-05,13:06:00,Yes,0.1,0,X2,6.6,,5.4,,69,,85,,0,\N,5.5,,5.1,,0,,0.04,,1.2,,0.18,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
