Data was downloaded on July 6 2026 1:58 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6840000/MCFRBA_05,3030004,35.31207,-78.69318,"Cape Fear River at NC 217 at Erwin","Harnett","7 facilities discharge to Cape Fear river between this stn and the next ups stn. Dns Erwin WWTP; ups Dunn WWTP; former DWQ ambient stn (ambient discontinued 01/07)","WS-V",CPF13,yes

Query Results: 
Stations:B6840000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6840000,1998-07-15,09:00:00,Yes,0.1,27.5,,7.4,,6.6,,186,,21,,0,\N,9.1,,6,,0,,0.01,,0.59,,0.23,,0.13,,0.1,<,10,<,9,,11,,2.3,,15,,250,,280,,100,,0.2,<,3,,0,
B6840000,1998-07-23,16:10:00,Yes,0.1,32.2,,7.4,,5.7,,155,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6840000,1998-08-14,09:35:00,Yes,0.1,28.5,,7.3,,6.4,,184,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6840000,1998-08-17,08:30:00,Yes,0.1,28.5,,7.3,,7,,196,,30,,0,\N,9.3,,8,,0,,0.02,,0.48,,0.35,,0.14,,0.1,<,10,<,22,,2.7,,2.1,,22,,240,,500,,87,,0.2,<,3,,0,
B6840000,1998-09-10,08:10:00,Yes,0.1,23,,7.2,,7.3,,146,,78,,0,\N,11.2,,7.8,,0,,0.03,,0.62,,0.33,,0.16,,0.1,<,10,<,5.8,,1.7,,1,,10,,200,,490,,82,,0.2,<,3,,0,
B6840000,1998-09-22,13:10:00,Yes,0.1,28.1,,7.5,,7.8,,232,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6840000,1998-10-14,10:40:00,Yes,0.1,20.9,,7.3,,7.4,,215,,7,,0,\N,10.6,,4.7,,0,,0.01,<,0.56,,0.56,,0.24,,0.1,<,10,<,7,,2,,2.7,,5.1,,160,,250,,45,,0.2,<,3,,0,
B6840000,1998-10-26,14:40:00,Yes,0.1,18,,7.9,,9.9,,200,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6840000,1998-11-19,09:50:00,Yes,0.1,15.3,,7,,8.3,,175,,64,,0,\N,3.5,,2.3,,0,,0.02,,0.54,,0.24,,0.05,,0.1,<,10,<,6.7,,1,<,1.6,,5,<,130,,250,,25,,0.2,<,3,,0,
B6840000,1998-12-14,09:15:00,Yes,0.1,11.3,,7.1,,9.4,,237,,58,,0,\N,4.3,,4.6,,0,,0.04,,0.56,,0.55,,0.05,,0.1,,10,<,4.1,,1.9,,0.6,,19,,210,,300,,38,,0.2,<,3,,0,
B6840000,1999-01-12,11:10:00,Yes,0.1,5.5,,6.6,,11.3,,106,,129,,0,\N,44.8,,17.8,,0,,0.07,,0.66,,0.41,,0.19,,0.1,<,10,<,6.9,,4.8,,2.7,,44,,850,,1100,,73,,0.2,<,3,,0,
B6840000,1999-02-08,11:00:00,Yes,0.1,10.7,,6.1,,10.7,,146,,42,,0,\N,30.4,,26.6,,0,,0.05,,0.65,,0.43,,0.1,,0.1,<,10,<,5.1,,1.9,,2,,14,,420,,730,,90,,0.2,<,3,,0,
B6840000,1999-03-09,09:45:00,Yes,0.1,9.2,,6.6,,11.2,,132,,18,,0,\N,9.3,,5.5,,0,,0.01,,0.52,,0.53,,0,,0.1,<,10,<,9,,2.1,,2.4,,80,,200,,540,,35,,0.2,<,3,,0,
B6840000,1999-04-13,08:15:00,Yes,0.1,16.5,,6.9,,11.3,,136,,18,,0,\N,13.1,,13.9,,0,,0.06,,0.46,,0.4,,0.13,,0.1,<,10,<,5.3,,2.5,,2.3,,20,,250,,680,,84,,0.2,<,3,,0,
B6840000,1999-05-12,08:25:00,Yes,0.1,23.2,,6.9,,7.6,,131,,8,,0,\N,9.9,,4.2,,0,,0.03,,0.72,,0.49,,0.15,,0.1,<,12,,10,,19,,12,,190,,380,,610,,46,,0.2,<,3,,0,
B6840000,1999-05-24,11:20:00,Yes,0.1,23.9,,6.5,,8.4,,161,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6840000,1999-06-09,07:35:00,Yes,0.1,28.4,,7.1,,6.2,,174,,22,,0,\N,7.5,,10,,0,,0.05,,0.75,,0.1,,0.15,,0.1,<,10,<,5,,6.6,,5.1,,77.7,,140,,210,,118,,0.2,<,3,,0,
B6840000,1999-06-21,15:30:00,Yes,0.1,23.1,,7.5,,8.6,,160,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
