Data was downloaded on July 6 2026 2:00 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7280000/MCFRBA_27,3030004,35.19320,-78.98560,"Lower Little River at SR 1451 at Manchester","Cumberland","Dns of Ft Bragg WWTP and ups of Spring Lake WWTP; USGS gage; improving IBI; provide WQ data prior to future ups regional WWTP","C",CPF14,no

Query Results: 
Stations:B7280000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7280000,2003-07-16,11:00:00,Yes,0.1,24,,5.5,,7.1,,42,,128,,0,\N,6,,5.3,,0,,0.18,,0.58,,0.07,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7280000,2003-08-28,10:55:00,Yes,0.1,26,,5.4,,6.8,,40,,170,,0,\N,5.1,,8.3,,0,,0.17,,1,,0.07,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7280000,2003-09-08,10:14:00,Yes,0.1,22,,5.1,,7.4,,40,U,87,,0,\N,4.6,,6.5,,0,,0.06,,0.7,,0.11,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7280000,2003-10-09,08:35:00,Yes,0.1,18,,6.23,,8.2,,40,U,560,,0,\N,3.3,,5.2,,0,,0.03,,0.3,,0.15,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7280000,2003-11-17,08:55:00,Yes,0.1,14,,5.77,,9.4,,40,,84,,0,\N,2,,2,,0,,0.01,,0.4,,0.22,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7280000,2003-12-09,10:04:00,Yes,0.1,6,,5.4,,10.9,,40,U,19,B1,0,\N,2.5,,2,U,0,,0.25,,0.5,,0.39,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7280000,2004-01-20,09:48:00,Yes,0.1,5,,6.3,,11,,45.5,,110,,0,\N,4.5,,3.8,,0,,0.14,,0.29,,0.2,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7280000,2004-02-09,10:19:00,Yes,0.1,6,,6.7,,11.6,,40,U,44,,0,\N,6.8,,5.2,,0,,0.17,,0.4,,0.32,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7280000,2004-03-16,09:42:00,Yes,0.1,13,,6.3,,9.2,,40,U,40,,0,\N,2.4,,2.6,,0,,0.05,,0.6,,0.31,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7280000,2004-04-15,10:55:00,Yes,0.1,14,,5.23,,9.7,,43.2,,130,,0,\N,3.5,,11,,0,,0.1,,1.1,,0.18,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
