Data was downloaded on July 6 2026 1:58 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7480000/MCFRBA_08,3030004,35.08249,-78.86375,"Cape Fear River at Hoffer Water Treatment Plant intake at Fayetteville","Cumberland","Ups Cross Creek WWTP","WS-IV CA",CPF15,yes

Query Results: 
Stations:B7480000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7480000,1998-07-15,16:55:00,Yes,0.1,29.2,,7.1,,7.1,,150,,18,,0,\N,10.8,,6,,0,,0.01,<,0.77,,0.13,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1998-07-24,16:58:00,Yes,0.1,30.9,,7.6,,7.7,,150,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1998-08-11,01:17:00,Yes,0.1,28.8,,7.4,,7.3,,144,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1998-08-18,11:20:00,Yes,0.1,29,,7.3,,8.2,,136,,27,,0,\N,7.5,,6,,0,,0.01,<,0.22,,0.21,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1998-09-09,08:45:00,Yes,0.1,25.4,,7.1,,6.2,,135,,70,,0,\N,16.8,,8.2,,0,,0.06,,0.53,,0.29,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1998-09-22,11:28:00,Yes,0.1,27.4,,7.2,,6.8,,200,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1998-10-13,15:35:00,Yes,0.1,21.3,,7.3,,7.7,,169,,80,,0,\N,9.7,,6,,0,,0.01,<,0.57,,0.3,,0.21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1998-10-26,15:42:00,Yes,0.1,15.9,,7.3,,8.8,,180,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1998-11-18,09:00:00,Yes,0.1,14.6,,6.9,,8.4,,141,,60,,0,\N,5.6,,4.7,,0,,0.01,<,0.37,,0.32,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1998-12-16,11:25:00,Yes,0.1,10.3,,6.8,,9.6,,176,,124,,0,\N,5.1,,2.6,,0,,0.01,<,0.43,,0.77,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-01-13,10:05:00,Yes,0.1,5.9,,6.2,,11.4,,101,,115,,0,\N,34.2,,16.6,,0,,0.06,,0.58,,0.36,,0.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-02-09,10:00:00,Yes,0.1,10.6,,6.8,,10.2,,130,,70,,0,\N,31.4,,26,,0,,0.09,,0.51,,0.34,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-03-10,15:15:00,Yes,0.1,8.9,,6.1,,11.4,,97,,19,,0,\N,7.5,,5.6,,0,,0.02,,0.53,,0.53,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-04-14,08:50:00,Yes,0.1,16.8,,7,,9.1,,95,,22,,0,\N,12.1,,10.9,,0,,0.04,,0.5,,0.39,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-05-11,10:55:00,Yes,0.1,22.4,,6.2,,7.9,,113,,20,,0,\N,6.7,,5.6,,0,,0.01,,0.33,,0.49,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-05-24,10:05:00,Yes,0.1,23.6,,6.6,,7.9,,135,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-06-08,08:20:00,Yes,0.1,27.9,,8.7,,9.4,,135,,6,,0,\N,9,,13.8,,0,,0.01,,0.73,,0.02,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-06-22,15:45:00,Yes,0.1,22.7,,7.2,,7.8,,123,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-07-14,09:30:00,Yes,0.1,24.8,,7.1,,6.4,,188,,58,,0,\N,11.4,,14,,0,,0.13,,1.18,,0.37,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-07-28,14:50:00,Yes,0.1,31.5,,8.1,,8,,170,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-08-02,13:30:00,Yes,0.1,31.6,,8.8,,9.7,,198,,12,,0,\N,8.6,,15.2,,0,,0.01,,0.87,,0.01,<,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-08-22,10:15:00,Yes,0.1,24.7,,7.1,,6.3,,191,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-09-10,07:40:00,Yes,0.1,24.1,,6.8,,8.5,,98,,590,,0,\N,41.4,,29.1,,0,,0.08,,0.56,,0.53,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-10-11,10:45:00,Yes,0.1,21.1,,6.8,,7.9,,89,,40,,0,\N,22.6,,26,,0,,0.01,<,0.69,,0.31,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-11-09,08:00:00,Yes,0.1,13.6,,7,,9.7,,77,,15,,0,\N,6.3,,6,,0,,0.01,<,0.36,,0.43,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,1999-12-06,08:40:00,Yes,0.1,6.5,,6.5,,10.1,,115,,108,,0,\N,7.9,,5,<,0,,0.06,,0.55,,0.53,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,2000-01-13,11:41:00,Yes,0.1,11.7,,6.7,,10.8,,230,,2500,,0,\N,51,,44,,0,,0.02,,0.37,,0.53,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7480000,2000-02-10,00:53:00,Yes,0.1,6.6,,6.8,,11.6,,74,,76,,0,\N,17.1,,14,,0,,0.05,,0.42,,0.52,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
