Data was downloaded on July 6 2026 1:58 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7500000/MCFRBA_10,3030004,34.98300,-78.84800,"Cape Fear River at I-95 below Fayetteville","Cumberland","Dns Cross Creek WWTP","C",CPF15,yes

Query Results: 
Stations:B7500000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7500000,1998-07-14,16:00:00,Yes,0.1,30.7,,8.8,,8.1,,165,,10,,0,\N,7.2,,4.5,,0,,0.01,,0.83,,0.28,,0.02,,0.1,<,10,<,5,,4,,1.6,,10,,190,,220,,100,,0.2,<,3,,0,
B7500000,1998-07-24,16:18:00,Yes,0.1,31.4,,8.4,,7.6,,158,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7500000,1998-08-11,00:40:00,Yes,0.1,29.9,,7.6,,8.4,,150,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7500000,1998-08-18,10:40:00,Yes,0.1,29,,7.5,,9.4,,141,,176,,0,\N,7.6,,5,,0,,0.01,,0.34,,0.51,,0.12,,0.6,,10,<,8,,8.4,,3.7,,409,,190,,380,,0,,0.2,<,3,,0,
B7500000,1998-09-09,09:10:00,Yes,0.1,26.1,,7.2,,6.2,,154,,95,,0,\N,9.4,,11,,0,,0.21,,0.81,,0.28,,0.12,,0.1,<,10,<,4.3,,1,<,0.7,,7,,160,,560,,0,,0.2,<,3,,0,
B7500000,1998-09-22,11:50:00,Yes,0.1,28,,7.4,,7.6,,198,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7500000,1998-10-13,14:13:00,Yes,0.1,22.4,,7,,7.5,,181,,84,,0,\N,8.4,,5,,0,,0.01,<,0.49,,0.44,,0.19,,0.1,<,10,<,5,,2.3,,3.7,,11.3,,210,,510,,0,,0.2,<,3,,0,
B7500000,1998-10-26,16:25:00,Yes,0.1,17.7,,7.3,,8.3,,188,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7500000,1998-11-18,09:30:00,Yes,0.1,14.8,,7.1,,8,,150,,100,,0,\N,9.6,,1.3,,0,,0.02,,0.49,,0.45,,0.12,,0.1,<,10,<,4.3,,2.2,,0.5,,11,,170,,360,,0,,0.2,<,3,,0,
B7500000,1998-12-16,11:55:00,Yes,0.1,11,,7.1,,9.8,,178,,541,,0,\N,3.9,,3,,0,,0.04,,0.48,,0.45,,0.14,,0.1,<,10,<,3.4,,11,,0.7,,15,,140,,290,,0,,0.2,<,3,,0,
