Data was downloaded on July 6 2026 2:01 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7547000/MCFRBA_C9,3030004,35.05380,-78.87690,"Cross Crk at Cross Creek Park at Fayetteville","Cumberland","voluntary station -- part of Cross Crk fecal coliform study","C",CPF15,yes

Query Results: 
Stations:B7547000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7547000,2005-01-27,00:00:00,Yes,0,0,,0,,0,,0,,1,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-01-28,00:00:00,Yes,0,0,,0,,0,,0,,3,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-01-31,00:00:00,Yes,0,0,,0,,0,,0,,16,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-01,00:00:00,Yes,0,0,,0,,0,,0,,6,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-02,00:00:00,Yes,0,0,,0,,0,,0,,5,B4,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-03,00:00:00,Yes,0,0,,0,,0,,0,,120,A,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-04,00:00:00,Yes,0,0,,0,,0,,0,,51,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-07,00:00:00,Yes,0,0,,0,,0,,0,,19,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-08,00:00:00,Yes,0,0,,0,,0,,0,,16,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-09,00:00:00,Yes,0,0,,0,,0,,0,,108,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-10,00:00:00,Yes,0,0,,0,,0,,0,,116,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-11,00:00:00,Yes,0,0,,0,,0,,0,,14,B1,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-14,00:00:00,Yes,0,0,,0,,0,,0,,104,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-15,00:00:00,Yes,0,0,,0,,0,,0,,82,A,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-16,00:00:00,Yes,0,0,,0,,0,,0,,106,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-17,00:00:00,Yes,0,0,,0,,0,,0,,280,B4,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-18,00:00:00,Yes,0,0,,0,,0,,0,,106,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-21,00:00:00,Yes,0,0,,0,,0,,0,,120,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-22,00:00:00,Yes,0,0,,0,,0,,0,,60,B4,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-23,00:00:00,Yes,0,0,,0,,0,,0,,102,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-24,00:00:00,Yes,0,0,,0,,0,,0,,940,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-25,00:00:00,Yes,0,0,,0,,0,,0,,51,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-02-28,00:00:00,Yes,0,0,,0,,0,,0,,760,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-01,00:00:00,Yes,0,0,,0,,0,,0,,180,B4,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-02,00:00:00,Yes,0,0,,0,,0,,0,,120,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-03,00:00:00,Yes,0,0,,0,,0,,0,,28,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-04,00:00:00,Yes,0,0,,0,,0,,0,,23,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-07,00:00:00,Yes,0,0,,0,,0,,0,,29,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-08,00:00:00,Yes,0,0,,0,,0,,0,,1200,B5,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-09,00:00:00,Yes,0,0,,0,,0,,0,,43,A,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-10,00:00:00,Yes,0,0,,0,,0,,0,,34,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-11,00:00:00,Yes,0,0,,0,,0,,0,,62,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-14,00:00:00,Yes,0,0,,0,,0,,0,,460,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-15,00:00:00,Yes,0,0,,0,,0,,0,,78,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-16,00:00:00,Yes,0,0,,0,,0,,0,,112,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-17,00:00:00,Yes,0,0,,0,,0,,0,,560,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-18,00:00:00,Yes,0,0,,0,,0,,0,,200,B4,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-21,00:00:00,Yes,0,0,,0,,0,,0,,98,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-22,00:00:00,Yes,0,0,,0,,0,,0,,49,A,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-23,00:00:00,Yes,0,0,,0,,0,,0,,880,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-24,00:00:00,Yes,0,0,,0,,0,,0,,37,A,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-28,00:00:00,Yes,0,0,,0,,0,,0,,1000,B4,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-29,00:00:00,Yes,0,0,,0,,0,,0,,700,B4,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-30,00:00:00,Yes,0,0,,0,,0,,0,,100,B4,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-03-31,00:00:00,Yes,0,0,,0,,0,,0,,65,A,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-07-06,11:45:00,Yes,0.1,27.5,,6.73,,8.3,,66,,1,,0,\N,6.2,,1,U,0,,0.03,,0.6,,0.36,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-08-03,10:59:00,Yes,0.1,25.8,,6.71,,8.7,,57,,140,B1,0,\N,6.3,,3,,0,,0.05,,0.4,,0.19,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-09-09,11:55:00,Yes,0.1,23,,7.28,,9.1,,73,,360,,0,\N,3.5,,1,U,0,,0.02,U,0.5,,0.2,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-10-05,09:37:00,Yes,0.1,22.8,,7.12,,8.4,,65,,340,,0,\N,3.9,,2,,0,,0.02,,0.3,,0.2,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-11-03,09:53:00,Yes,0.1,12.2,,7,,11.2,,62,,80,B1,0,\N,3.3,,1,,0,,0.02,U,0.2,U,0.41,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2005-12-07,10:42:00,Yes,0.1,7.4,,6.1,,12.2,,49,,181,B1,0,\N,7.3,,4,,0,,0.02,U,0.3,,0.21,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-01-09,10:19:00,Yes,0.1,7.8,,6.48,,12.6,,61,,10,,0,\N,4.6,,2,,0,,0.06,,0.2,U,0.34,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-02-16,10:15:00,Yes,0.1,7.7,,6.63,,13.5,,59,,17,,0,\N,3.2,,1,U,0,,0.05,,0.2,,0.38,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-03-15,10:37:00,Yes,0.1,13.1,,7.01,,11.5,,67,,140,,0,\N,4.8,,2,,0,,0.03,,0.2,U,0.35,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-04-19,10:30:00,Yes,0.1,17.2,,6.77,,9.8,,66,,525,,0,\N,5.6,,4,,0,,0.02,U,0.4,,0.16,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-05-18,11:00:00,Yes,0.1,18.4,,6.78,,9.2,,63,,181,B1,0,\N,4.8,,1,,0,,0.06,,0.4,,0.3,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-06-15,10:52:00,Yes,0.1,22.2,,5.7,,9.1,,47,U,705,B4,0,\N,16.9,,16,,0,,0.02,U,0.4,,0.15,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-07-19,10:20:00,Yes,0.1,26.2,,7.22,,8.2,,72,,3200,B4,0,\N,4.2,,1,U,0,,0.02,U,1.08,,0.29,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-08-16,10:15:00,Yes,0.1,25.2,,7.03,,8.3,,60,,4400,,0,\N,3.7,,1,U,0,,0.02,U,0.4,,0.15,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-09-15,10:59:00,Yes,0.1,21.8,,6.76,,8.4,,51,,1000,B1,0,\N,4.3,,2,,0,,0.03,,0.33,,0.08,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-10-25,11:48:00,Yes,0.1,10.4,,6.62,,10.8,,58,,67,B1,0,\N,2.6,,3,,0,,0.02,U,0.26,,0.23,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-11-15,10:08:00,Yes,0.1,13.6,,6.57,,10.6,,53,,47,,0,\N,3.6,,1,,0,,0.02,U,0.2,U,0.09,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2006-12-14,10:52:00,Yes,0.1,9.5,,6.81,,12.3,,52,,24,,0,\N,3.7,,1,U,0,,0.06,,0.22,,0.28,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-01-04,10:14:00,Yes,0.1,10.2,,6.2,,11.6,,55,,4800,,0,\N,4,,3,,0,,0.09,,0.2,U,0.3,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-02-14,10:45:00,Yes,0.1,8.1,,6.28,,11.5,,52,,79,B4,0,\N,11.4,,7,,0,,0.06,,0.33,,0.39,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-03-21,10:37:00,Yes,0.1,14.1,,6.46,,10.3,,51,,2000,B4,0,\N,4.2,,4,,0,,0.02,U,0.2,U,0.19,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-04-04,13:23:00,Yes,0.1,22,,6.84,,9.6,,60,,52,,0,\N,4.3,,5,,0,,0.05,,0.3,,0.22,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-05-16,00:10:00,Yes,0.1,21.2,,7.24,,10.1,,61,,200,B1,0,\N,6.4,,1,U,0,,0.06,,0.33,,0.17,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-06-13,10:55:00,Yes,0.1,22.8,,6.85,,8.5,,51,,180,B1,0,\N,6.4,,5,,0,,0.02,U,0.31,,0.11,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-07-18,10:20:00,Yes,0.1,26.1,,6.43,,7.5,,50,,5600,,0,\N,25.6,,23,,0,,0.02,,0.65,,0.11,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-08-22,09:09:00,Yes,0.1,27,,6.88,,7.1,,59,,1000,B1,0,\N,7.1,,8,,0,,0.09,,0.64,,0.29,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-09-19,10:01:00,Yes,0.1,19.8,,6.68,,9.2,,57,,320,,0,\N,3.5,,3,,0,,0.05,,0.34,,0.15,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-10-18,09:04:00,Yes,0.1,19.6,,7,,9.2,,78,,140,B1,0,\N,3.8,,3,,0,,0.07,,0.2,U,0.32,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-11-14,11:24:00,Yes,0.1,12.9,,6.94,,10.5,,74,,15,,0,\N,4.4,,3,,0,,0.07,,0.28,,0.5,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2007-12-12,13:52:00,Yes,0.1,15.7,,7.03,,10.3,,68,,20,,0,\N,3,,6,,0,,0.02,U,0.2,U,0.29,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-01-16,14:15:00,Yes,0.1,6.7,,6.52,,13,,65,,10,,0,\N,4.9,,3,,0,,0.07,,0.28,,0.32,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-02-13,11:53:00,Yes,0.1,12.8,,6.49,,11.4,,59,,260,,0,\N,9,,6,,0,,0.02,U,0.27,,0.02,U,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-03-12,11:28:00,Yes,0.1,12.4,,6.61,,11.2,,57,,43,,0,\N,5.2,,1,,0,,0.03,,0.44,,0.15,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-04-16,12:03:00,Yes,0.1,14.3,,6.95,,10.1,,64,,43,,0,\N,4.3,,4,,0,,0.02,U,0.27,,0.1,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-05-14,12:39:00,Yes,0.1,17.9,,6.87,,10.2,,60,,6400,,0,\N,10.7,,4,,0,,0.06,,0.46,,0.12,,0.024,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-06-11,11:58:00,Yes,0.1,26.7,,7.25,,8.3,,105,,210,,0,\N,6.3,,1,,0,,0.02,U,0.12,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-07-16,12:37:00,Yes,0.1,25.3,,6.86,,9.3,,67,,520,,0,\N,5.7,,1,,0,,0.1,,0.53,,0.18,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-08-06,11:09:00,Yes,0.1,27.2,,7.01,,9.6,,73,,3800,B4,0,\N,5.8,,1,,0,,0.39,,0.42,,0.13,,0.036,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-09-24,12:01:00,Yes,0.1,19.1,,6.89,,9.3,,64,,1000,B4,0,\N,4.5,,1,U,0,,0.03,,0.51,,0.19,,0.068,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-10-15,12:54:00,Yes,0.1,19.7,,6.31,,10.1,,64.4,,143,B4,0,\N,3.1,,3,,0,,0.03,,0.29,,0.12,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-11-12,11:57:00,Yes,0.1,11.1,,6.5,,11.5,,59,,38,,0,\N,3.3,,1,U,0,,0.02,U,0.26,,0.17,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2008-12-10,11:27:00,Yes,0.1,10.4,,6.6,,11.4,,58,,2425,,0,\N,3.4,,2,,0,,0.05,,0.57,,0.27,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7547000,2009-01-14,11:58:00,Yes,0.1,6.3,,6.4,,12.5,,56,,19,,0,\N,3.1,,1,U,0,,0.08,,0.2,U,0.29,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
