Data was downloaded on July 6 2026 2:00 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7584000/MCFRBA_C10,3030004,35.04970,-78.87030,"Blount's Crk at US 301A Person St at Fayetteville","Cumberland","voluntary station -- part of Cross Crk fecal coliform study","C",CPF15,yes

Query Results: 
Stations:B7584000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7584000,2005-07-06,00:00:00,Yes,0.1,27.2,,6.23,,7.6,,80,,43,,0,\N,4.7,,2,,0,,0.14,,0.6,,0.39,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584000,2005-08-03,11:14:00,Yes,0.1,25.5,,6.3,,8.2,,85,,280,,0,\N,12.5,,7,,0,,0.1,,0.5,,0.43,,0.45,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584000,2005-09-09,00:25:00,Yes,0.1,23.4,,6.45,,7.5,,86,,12000,B5,0,\N,4.8,,8,,0,,0.1,,0.8,,0.32,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584000,2005-10-05,09:49:00,Yes,0.1,22.6,,6.49,,7.4,,75,,1000,B4,0,\N,5.6,,3,,0,,0.16,,0.4,,0.37,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584000,2005-11-03,10:11:00,Yes,0.1,13,,6.28,,9.7,,79,,230,,0,\N,5.3,,1,U,0,,0.11,,0.3,,0.49,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584000,2005-12-07,11:05:00,Yes,0.1,9.3,,6.18,,11.4,,73,,38,,0,\N,22.3,,12,,0,,0.07,,0.3,,0.44,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584000,2006-01-09,10:41:00,Yes,0.1,9.3,,6.12,,12.1,,82,,21,,0,\N,7.2,,1,,0,,0.11,,0.4,,0.45,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584000,2006-02-16,10:41:00,Yes,0.1,9.1,,6.28,,11.5,,91,,29,,0,\N,3.2,,1,U,0,,0.08,,0.2,,0.57,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584000,2006-03-15,11:02:00,Yes,0.1,14,,6.25,,9.7,,83,,240,,0,\N,4.1,,2,,0,,0.02,,0.2,U,0.48,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584000,2006-04-19,10:55:00,Yes,0.1,18.2,,6.4,,8.3,,81,,600,B4,0,\N,6.7,,5,,0,,0.03,,0.3,,0.21,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
