Data was downloaded on July 6 2026 2:01 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7589000/MCFRBA_FORMER_C4,3030004,35.06000,-78.86000,"CROSS CRK AT WALKWAY AT PWC WWTP","Cumberland","","C",CPF16,no

Query Results: 
Stations:B7589000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7589000,1998-07-14,14:10:00,Yes,0.1,25.8,,6.5,,6.5,,77,,2040,,0,\N,9.7,,3,<,0,,0.03,,0.51,,0.48,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1998-08-18,01:55:00,Yes,0.1,27.6,,6.7,,9,,63,,1220,,0,\N,10.3,,4,,0,,0.04,,0.25,,0.28,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1998-09-09,07:45:00,Yes,0.1,21.5,,6.9,,7.6,,61,,600,,0,\N,6.8,,5,,0,,0.07,,0.51,,0.23,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1998-10-13,13:00:00,Yes,0.1,18.8,,6.6,,8.4,,69,,670,,0,\N,7.7,,3.4,,0,,0.01,<,0.3,,0.31,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1998-11-18,10:15:00,Yes,0.1,13.9,,6.9,,8.9,,75,,171,,0,\N,4.5,,2.6,,0,,0.01,<,0.31,,0.25,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1998-12-16,10:34:00,Yes,0.1,10.3,,6.6,,10.6,,54,,1200,,0,\N,12.5,,9.7,,0,,0.05,,0.3,,0.59,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-01-13,09:00:00,Yes,0.1,6.3,,6.2,,10.1,,58,,44,,0,\N,9.3,,4.1,,0,,0.06,,0.34,,0.46,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-02-09,09:15:00,Yes,0.1,10.9,,6.2,,10.2,,72,,530,,0,\N,6.3,,2.9,,0,,0.2,,0.14,,0.4,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-03-10,14:20:00,Yes,0.1,8.8,,5.5,,12,,55,,96,,0,\N,3.6,,1.8,,0,,0.05,,0.15,,0.53,,2.79,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-04-14,09:50:00,Yes,0.1,15.4,,6.9,,9.2,,69,,28,,0,\N,4.3,,1.6,,0,,0.08,,0.4,,0.27,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-05-11,10:05:00,Yes,0.1,20,,6.1,,8.2,,74,,440,,0,\N,3.9,,3,<,0,,0.05,,0.14,,0.33,,0.56,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-06-08,07:45:00,Yes,0.1,23.6,,6.1,,7.4,,78,,250,,0,\N,0.3,,3,<,0,,0.02,,0.36,,0.35,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-07-14,08:40:00,Yes,0.1,22.2,,6.8,,8.4,,58,,6000,,0,\N,41.4,,32.2,,0,,0.13,,0.82,,0.22,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-08-02,00:45:00,Yes,0.1,28.2,,7.9,,8.9,,67,,405,,0,\N,5.1,,2.1,,0,,0.02,,0.46,,0.21,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-09-10,06:50:00,Yes,0.1,24.5,,6.6,,8.5,,62,,2600,,0,\N,6.8,,3.6,,0,,0.03,,0.29,,0.14,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-10-11,10:10:00,Yes,0.1,21.4,,6.5,,8.1,,70,,4100,,0,\N,24.6,,44,,0,,0.08,,0.67,,0.33,,0.82,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-11-09,07:15:00,Yes,0.1,12.9,,6.8,,10.2,,65,,300,,0,\N,4.7,,5,<,0,,0.04,,0.27,,0.37,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7589000,1999-12-06,07:45:00,Yes,0.1,12.5,,6.4,,9.9,,38,,370,,0,\N,5,,5,<,0,,0.11,,0.63,,0.52,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
