Data was downloaded on July 6 2026 2:01 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7590000/MCFRBA_C4,3030004,35.05470,-78.86250,"Cross Creek at Bus NC 301/Bus I-95 in Fayetteville","Cumberland","voluntary station -- Urban tributary; poor water quality","C",CPF15,yes

Query Results: 
Stations:B7590000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7590000,2002-10-22,00:42:00,Yes,0.1,17.4,,6.1,,6.9,,80,,0,,0,\N,5,,3.4,,0,,0.03,,0.4,,0.3,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2002-10-30,13:00:00,Yes,0.1,15.3,,7.1,,8.3,,81,,1100,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2002-12-03,00:50:00,Yes,0.1,7.7,,6.6,,10,,94,,2,B2 U,0,\N,3,,1.4,,0,,0.09,,0.5,U,0.5,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2002-12-23,00:50:00,Yes,0.1,8.5,,6.5,,9.7,,85,,520,,0,\N,5,,2,,0,,0.04,,0.2,,0,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-01-31,00:11:00,Yes,0.1,5.3,,6.2,,12.2,,83,,116,,0,\N,6.2,,5.6,,0,,0.08,,0.6,,0,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-03-07,13:22:00,Yes,0.1,12,,6.6,,9.8,,66,,9000,,0,\N,20,,13.2,,0,,0.08,,0.5,,0.4,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-03-28,11:15:00,Yes,0.1,18,,6.8,,8.3,,79,,148,,0,\N,10,,6.3,,0,,0.12,,0.6,,0.3,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-04-24,11:24:00,Yes,0.1,20,,6.6,,7.5,,84,,700,,0,\N,7.1,,4.8,,0,,0.13,,0.5,,0.31,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-05-29,13:46:00,Yes,0.1,21,,6.2,,7.1,,77,,540,,0,\N,19,,13,,0,,0.11,,0.7,,0.3,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-06-20,11:38:00,Yes,0.1,25,,6.6,,7,,66,,7200,,0,\N,21,,66,,0,,0.19,,0.6,,0.29,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-06-30,10:59:00,Yes,0.1,25,,6.3,,6.9,,78,,480,,0,\N,8.2,,7,,0,,0.18,,0.5,U,0.28,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-07-15,10:43:00,Yes,0.1,24,,6,,7.2,,60,,8600,,0,\N,35,,28,,0,,0.08,,0.55,,0.32,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-08-26,13:35:00,Yes,0.1,26,,6.3,,6.9,,75,,460,,0,\N,9.8,,7.8,,0,,0.1,,0.8,,0.32,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-09-09,00:22:00,Yes,0.1,23,,6.43,,7.3,,71.4,,328,B4,0,\N,31,,13.1,,0,,0.08,,0.1,U,0.53,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-10-16,11:08:00,Yes,0.1,16,,6.59,,8.5,,42,,275,,0,\N,3.9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-11-20,14:17:00,Yes,0.1,16,,5.85,,8.6,,60,,820,,0,\N,11,,8.4,,0,,0.03,,1,,0.28,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2003-12-18,00:42:00,Yes,0.1,7,,6.6,,10.7,,60,,62,,0,\N,5.1,,2.5,,0,,0.09,,0.4,,0.36,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2004-01-19,00:50:00,Yes,0.1,8,,6.7,,10.3,,72.3,,99,,0,\N,3.2,,2.9,,0,,0.1,,0.41,,0.6,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2004-02-13,00:08:00,Yes,0.1,8,,6.6,,10.7,,89.3,,46,,0,\N,6,,4.4,,0,,0.15,,0.41,,0.43,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2004-03-12,11:18:00,Yes,0.1,11,,6.7,,9.9,,78.8,,46,,0,\N,5,,1.8,,0,,0.09,,0.5,,0.42,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2004-04-09,13:40:00,Yes,0.1,19,,6.9,,9.3,,80.7,,54,,0,\N,2.4,,6.7,,0,,0.24,,2.7,,0.5,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2004-05-06,13:50:00,Yes,0.1,23,,7.3,,4.1,,62,,0,,0,\N,6,,5.7,,0,,0.08,,0.7,,0.24,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2004-05-19,00:20:00,Yes,0.1,0,,0,,0,,0,,2600,B4,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2004-06-07,00:47:00,Yes,0.1,24,,7.2,,5.2,,56,,10600,,0,\N,3,,9,,0,,0.01,U,1,,0.38,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2004-07-27,13:54:00,Yes,0.1,28.2,,8.1,,10.2,,100,U,22,,0,\N,4,,9,,0,,0.02,U,0.5,,0.29,,0.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7590000,2004-08-24,00:31:00,Yes,0.1,24.5,,6.4,,8.8,,103,U,1200,B4,0,\N,6,,8,,0,,0.02,,0.6,U,0.15,,0.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
