Data was downloaded on July 6 2026 1:58 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7679000/MCFRBA_11,3030004,35.01000,-79.24000,"ROCKFISH CRK AT SR 1300 VASS ROAD","Hoke","","B",CPF15,no

Query Results: 
Stations:B7679000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7679000,1998-07-14,11:40:00,Yes,0.1,21.1,,4.7,,6.3,,12,,74,,0,\N,5,,3,<,0,,0.01,<,0.23,,0.05,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1998-08-18,07:55:00,Yes,0.1,23.4,,4,,7.8,,19,,340,,0,\N,12.2,,7,,0,,0.01,<,0.21,,0.17,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1998-09-09,11:00:00,Yes,0.1,20.3,,4.5,,7.1,,16,,133,,0,\N,5.8,,5.6,,0,,0.06,,0.26,,0.07,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1998-10-13,10:00:00,Yes,0.1,16.4,,4.6,,8,,14,,60,,0,\N,4,,3.5,,0,,0.01,<,0.1,<,0.15,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1998-11-18,00:25:00,Yes,0.1,14,,4.6,,7.9,,18,,120,,0,\N,3.4,,2.5,,0,,0.01,<,0.15,,0.02,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1998-12-16,14:35:00,Yes,0.1,10.1,,4.4,,9.9,,15,,440,,0,\N,7.9,,9.9,,0,,0.01,<,0.18,,0.05,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-01-13,00:00:00,Yes,0.1,7.5,,4.8,,10.4,,15,,60,,0,\N,2.9,,2.1,,0,,0.01,<,0.12,,0.02,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-02-09,00:55:00,Yes,0.1,11.4,,3.9,,9.6,,16,,25,,0,\N,4,,2.7,,0,,0.03,,0.1,<,0.05,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-03-10,09:15:00,Yes,0.1,7.3,,3.8,,11,,12,,33,,0,\N,5,,5,,0,,0.01,<,0.16,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-04-14,11:45:00,Yes,0.1,14.6,,4,,9,,13,,44,,0,\N,4.2,,2.2,,0,,0.01,<,0.22,,0.06,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-05-11,13:10:00,Yes,0.1,18,,3.8,,8,,13,,36,,0,\N,3.3,,3,<,0,,0.04,,0.1,<,0.05,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-06-08,11:20:00,Yes,0.1,20.7,,3.7,,7.3,,12,,41,,0,\N,4.4,,3.8,,0,,0.01,,0.17,,0.05,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-07-14,11:30:00,Yes,0.1,19.9,,4.7,,8.3,,19,,211,,0,\N,10.5,,11.4,,0,,0.01,<,0.33,,0.03,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-08-02,15:25:00,Yes,0.1,24.6,,5.2,,7.4,,13,,44,,0,\N,5.2,,4.6,,0,,0.02,,0.42,,0.01,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-09-10,10:00:00,Yes,0.1,22.2,,4.6,,8.6,,19,,72,,0,\N,5.2,,4.6,,0,,0.01,<,0.47,,0.01,<,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-10-11,01:15:00,Yes,0.1,18.8,,4.3,,8,,15,,117,,0,\N,3.5,,4,,0,,0.01,,0.32,,0.03,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-11-09,10:30:00,Yes,0.1,12.2,,4.7,,9.6,,14,,29,,0,\N,2.3,,5,<,0,,0.01,<,0.16,,0.02,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,1999-12-06,10:50:00,Yes,0.1,11.7,,4.8,,9.4,,15,,42,,0,\N,2.5,,5,<,0,,0.02,,0.3,,0.04,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,2000-01-13,16:15:00,Yes,0.1,8.6,,6.6,,11.4,,2730,,26,,0,\N,2.7,,5,<,0,,0.01,<,0.14,,0.06,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,2000-02-10,15:08:00,Yes,0.1,7.9,,4.6,,10.3,,15,,9,,0,\N,2.2,,5,<,0,,0.01,<,0.19,,0.06,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,2000-03-15,14:56:00,Yes,0.1,12.2,,4.7,,10.4,,15,,32,,0,\N,3.4,,5,<,0,,0.01,<,0.01,<,0.05,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,2000-04-25,13:38:00,Yes,0.1,15.4,,5,,9.3,,13,,79,,0,\N,4.2,,10,,0,,0.05,,0.01,<,0.01,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,2000-05-03,00:20:00,Yes,0.1,17.4,,5,,8.4,,12,,83,,0,\N,3.4,,5,,0,,0.05,,0.31,,0.06,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,2000-06-21,13:40:00,Yes,0.1,22.4,,4.9,,7.6,,14,,112,,0,\N,9.2,,8,,0,,0.01,,0.1,<,0.04,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,2000-07-12,14:35:00,Yes,0.1,22.9,,4.8,,7.4,,15,,250,,0,\N,13.4,,14.5,,0,,0.01,<,0.1,<,0.03,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,2000-08-24,13:10:00,Yes,0.1,20.7,,5.4,,7.5,,12,,87,,0,\N,3.7,,3,<,0,,0.01,<,0.17,,0.04,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,2000-09-26,14:20:00,Yes,0.1,20.7,,4.1,,7.5,,27,,90,,0,\N,3.9,,5,<,0,,0.01,<,0.4,,0.05,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,2000-10-17,00:34:00,Yes,0.1,15.8,,6.5,,8.8,,11,,52,,0,\N,2.7,,2.5,,0,,0.01,,0.7,,0.05,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679000,2000-11-21,10:55:00,Yes,0.1,8.3,,4.7,,10.6,,17,,290,,0,\N,3.4,,2.5,,0,,0.01,,1.02,,0.15,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
