Data was downloaded on July 6 2026 2:00 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7679300/MCFRBA_28,3030004,34.99950,-79.21480,"Rockfish Creek at US 401 bypass near Raeford","Hoke","Ups Raeford WWTP; USGS gage","B",CPF15,yes

Query Results: 
Stations:B7679300	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7679300,2003-07-15,13:32:00,Yes,0.1,22,,4.7,,4.5,,40,,170,,0,\N,3.8,,2,,0,,0.02,,0.34,,0.03,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2003-08-26,16:12:00,Yes,0.1,26,,4.5,,6.4,,40,,500,,0,\N,18,,10.5,,0,,0.04,,0.8,,0.03,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2003-09-09,00:00:00,Yes,0.1,21,,4.47,,6.4,,40,U,66,,0,\N,4.5,,8,,0,,0.04,,0.1,U,0.01,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2003-10-16,14:41:00,Yes,0.1,16,,4.41,,7,,40,U,58,,0,\N,2.6,,4.8,,0,,0.02,,0.3,,0.04,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2003-11-20,10:45:00,Yes,0.1,15,,4.16,,6.8,,40,U,640,,0,\N,7.6,,6.2,,0,,0.01,U,0.3,,0.07,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2003-12-18,15:36:00,Yes,0.1,8,,4.9,,9.2,,40,U,22,B1,0,\N,4.2,,2.2,,0,,0.01,U,0.2,,0.05,,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-01-19,00:00:00,Yes,0.1,9,,4.6,,9.1,,21.1,,24,B1,0,\N,2.6,,1.7,U,0,,0.07,,0.29,,0.1,U,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-02-13,00:59:00,Yes,0.1,8,,4.7,,9.3,,40,U,48,,0,\N,3.8,,5.9,,0,,0.13,,0.6,,0.1,U,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-03-12,14:31:00,Yes,0.1,12,,4.5,,9.3,,40,U,7,B1,0,\N,4,,2.6,,0,,0.03,,0.4,,0.1,U,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-04-09,16:29:00,Yes,0.1,17,,5.83,,8.4,,40,U,36,B1,0,\N,3.1,,12,,0,,0.15,,4.8,,0.48,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-05-06,17:39:00,Yes,0.1,20,,5,,3.3,,40,U,0,,0,\N,4,,4.3,,0,,0.01,U,0.7,,0.1,U,0.01,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-05-19,13:33:00,Yes,0.1,0,,0,,0,,0,,46,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-06-07,14:22:00,Yes,0.1,23,,5.4,,5.8,,40,U,230,,0,\N,2,,9.8,,0,,0.01,U,0.8,,0.1,U,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-07-27,00:31:00,Yes,0.1,23.5,,4.1,,8.5,,100,U,19,,0,\N,3,,5,,0,,0.02,U,0.4,,0.09,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-08-24,13:50:00,Yes,0.1,22.6,,3.6,,7.4,,103,U,67,,0,\N,3,,6,,0,,0.02,U,0.5,,0.04,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-09-03,00:16:00,Yes,0.1,21.8,,3.5,,5.7,,103,U,40,,0,\N,2,,2,,0,,0.02,U,0.5,,0.05,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-10-11,13:57:00,Yes,0.1,17.8,,4.1,,9.1,,47,U,200,B1,0,\N,2,,4,,0,,0.02,U,0.3,,0.06,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-11-10,14:39:00,Yes,0.1,11.5,,4,U,10.8,,47,U,58,,0,\N,2,,3,,0,,0.03,,0.2,,0.05,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2004-12-06,13:27:00,Yes,0.1,10,,3.66,,12,,47,U,20,,0,\N,2.3,,2,,0,,0.02,U,0.2,,0.08,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-01-07,00:17:00,Yes,0.1,13,,3.7,,10.4,,47,U,25,,0,\N,2.6,,4,,0,,0.02,U,0.2,U,0.06,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-02-07,13:09:00,Yes,0.1,7.8,,3.11,,12.3,,47,U,4,,0,\N,1.8,,3,,0,,0.02,U,0.2,U,0.09,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-03-03,00:16:00,Yes,0.1,7.3,,3.35,,11.1,,47,U,9,,0,\N,2.7,,1,,0,,0.02,U,0.3,,0.07,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-04-07,17:04:00,Yes,0.1,17.2,,3.68,,9.2,,47,U,35,,0,\N,4,,8,,0,,0.02,U,0.3,,0.07,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-05-04,13:53:00,Yes,0.1,15.2,,3.17,,9.6,,47,U,43,,0,\N,2.3,,9,,0,,0.02,U,0.3,,0.06,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-06-08,13:37:00,Yes,0.1,21,,3.64,,8.5,,47,U,3200,B1,0,\N,17,,20,,0,,0.02,U,0.4,,0.07,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-07-06,13:48:00,Yes,0.1,23.8,,3.63,,7.7,,47,U,1,U,0,\N,3.4,,8,,0,,0.02,U,0.4,,0.09,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-08-03,13:02:00,Yes,0.1,23.4,,3.88,,5.7,,47,U,58,,0,\N,3.2,,3,,0,,0.02,U,0.4,,0.06,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-09-09,14:16:00,Yes,0.1,20.5,,5.19,,8.8,,47,U,120,B1,0,\N,3.2,,6,,0,,0.02,U,0.4,,0.09,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-10-05,14:56:00,Yes,0.1,21.1,,5.14,,8.1,,47,U,181,,0,\N,2.9,,4,,0,,0.02,U,0.2,,0.12,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-11-03,00:58:00,Yes,0.1,12.3,,4.96,,10.8,,47,U,90,B4,0,\N,1.9,,1,U,0,,0.02,U,0.2,U,0.06,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2005-12-07,13:03:00,Yes,0.1,8.3,,3.63,,10.1,,47,U,65,,0,\N,3.2,,2,,0,,0.02,U,0.2,,0.04,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2006-01-09,00:35:00,Yes,0.1,8,,3.87,,12.2,,47,U,12,,0,\N,2.3,,1,U,0,,0.02,U,0.2,U,0.02,U,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2006-02-16,00:44:00,Yes,0.1,8.3,,3.83,,12.8,,47,U,10,,0,\N,2.3,,1,U,0,,0.02,U,0.2,U,0.12,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2006-03-15,00:58:00,Yes,0.1,14.2,,4.33,,9.6,,47,U,23,,0,\N,3.4,,1,,0,,0.02,U,0.2,U,0.06,,0.21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7679300,2006-04-19,00:53:00,Yes,0.1,16.5,,4.24,,9,,47,U,176,,0,\N,5.7,,4,,0,,0.02,U,0.2,U,0.08,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
