Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7700000/MCFRBA_12,3030004,34.96800,-79.11000,"Rockfish Creek at SR 1432 Golf Course Road nr Raeford","Hoke","5 mi dns Raeford WWTP; DWQ ambient stn; DWQ benthos stn","B",CPF15,yes

Query Results: 
Stations:B7700000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7700000,1998-07-14,00:40:00,Yes,0.1,22.6,,5.6,,5.6,,36,,160,,0,\N,7.5,,4.5,,0,,0.02,,0.42,,0.54,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1998-08-18,08:30:00,Yes,0.1,24.1,,5.2,,7.5,,22,,470,,0,\N,24.8,,10,,0,,0.02,,0.26,,0.31,,0.21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1998-09-09,10:30:00,Yes,0.1,21.4,,5.1,,6.3,,32,,580,,0,\N,5.2,,4.7,,0,,0.06,,0.39,,0.42,,0.24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1998-10-13,10:30:00,Yes,0.1,16.9,,5.3,,7.4,,33,,119,,0,\N,6.3,,5,,0,,0.01,,0.31,,0.47,,0.37,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1998-11-18,00:00:00,Yes,0.1,14.1,,5.3,,7.1,,34,,820,,0,\N,4.5,,2.6,,0,,0.01,<,0.27,,0.24,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1998-12-16,14:05:00,Yes,0.1,10,,5.3,,9.6,,32,,786,,0,\N,5,,4.7,,0,,0.09,,0.63,,0.37,,0.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1999-01-13,11:30:00,Yes,0.1,6.8,,5.6,,10.6,,30,,25,,0,\N,3.3,,2.6,,0,,0.06,,0.28,,0.39,,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1999-02-09,00:30:00,Yes,0.1,11.8,,4.7,,9.3,,26,,41,,0,\N,5.7,,6.2,,0,,0.06,,0.15,,0.15,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1999-03-10,10:10:00,Yes,0.1,7.4,,5.6,,10.6,,28,,2000,,0,\N,5.3,,6.3,,0,,0.12,,0.53,,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1999-04-14,11:15:00,Yes,0.1,15.8,,5.1,,8.2,,33,,54,,0,\N,6.3,,8.2,,0,,0.16,,0.58,,0.32,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1999-05-11,00:45:00,Yes,0.1,19,,5,,7.3,,39,,64,,0,\N,5.3,,5.2,,0,,0.24,,0.51,,0.45,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1999-06-08,10:45:00,Yes,0.1,22,,4.7,,6.6,,41,,152,,0,\N,5.9,,45.8,,0,,0.04,,0.44,,0.78,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7700000,1999-07-14,11:00:00,Yes,0.1,20.7,,5.5,,7.7,,31,,1200,,0,\N,8.8,,9.3,,0,,0.02,,0.52,,0.37,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
