Data was downloaded on July 6 2026 2:01 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8229000/MCFRBA_FORMER_13,3030004,34.95000,-78.86000,"ROCKFISH CRK AT SPECIAL FORCES CLUB","Cumberland","","C",CPF15,no

Query Results: 
Stations:B8229000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8229000,2000-09-26,13:20:00,Yes,0.1,22.9,,5.9,,10.6,,33,,172,,0,\N,13,,9.8,,0,,0.01,<,0.78,,0.15,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8229000,2000-10-17,14:00:00,Yes,0.1,17,,5.8,,9.7,,36,,26,,0,\N,4,,2.5,,0,,0.01,,0.9,,0.3,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8229000,2000-11-21,09:45:00,Yes,0.1,9.1,,6.6,,10.9,,33,,79,,0,\N,5.4,,7,,0,,0.01,,0.95,,0.3,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8229000,2000-12-13,00:40:00,Yes,0.1,6.9,,6.4,,11.9,,30,,13,,0,\N,3.9,,7,,0,,0.15,,0.33,,0.39,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8229000,2001-01-16,11:55:00,Yes,0.1,7.7,,6.9,,9.4,,28,,17,,0,\N,3,,2.5,,0,,0.06,,0.23,,0.49,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8229000,2001-01-23,13:00:00,Yes,0.1,8.2,,6.6,,10.2,,30,,10,,0,\N,5,,2.5,,0,,0.03,,0.43,,0.44,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8229000,2001-02-19,00:19:00,Yes,0.1,10.3,,6.9,,10.5,,32,,0.5,,0,\N,9.7,,7,,0,,0.05,,0.68,,0.43,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8229000,2001-03-07,11:28:00,Yes,0.1,8.4,,5.5,,10.8,,17,,20,,0,\N,4.9,,2.5,,0,,0.02,,0.19,,0.04,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8229000,2001-04-18,07:13:00,Yes,0.1,16.2,,6.2,,9,,120,,38,,0,\N,5.2,,6,,0,,0.07,,0.27,,0.26,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8229000,2001-05-08,00:15:00,Yes,0.1,19.8,,6.8,,10.8,,62,,50,,0,\N,6.3,,6.4,,0,,0.04,,0.59,,0.24,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
