Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8230000/MCFRBA_13,3030004,34.95608,-78.84405,"Rockfish Creek at NC 87 nr Fayetteville","Cumberland","Area w/excellent WQ; major tributary input; excellent IBI in 1998 an improvement since 1993","C",CPF15,yes

Query Results: 
Stations:B8230000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8230000,1998-07-14,13:25:00,Yes,0.1,25.9,,6.2,,5.8,,35,,34,,0,\N,6.9,,4,,0,,0.02,,0.48,,0.3,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8230000,1998-08-18,09:20:00,Yes,0.1,26.4,,6,,7.9,,31,,255,,0,\N,7.3,,6,,0,,0.01,,0.22,,0.43,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8230000,1998-09-09,09:40:00,Yes,0.1,23.4,,6,,6.7,,33,,88,,0,\N,5.8,,7.1,,0,,0.06,,0.4,,0.12,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8230000,1998-10-13,11:35:00,Yes,0.1,19.4,,6,,7.7,,36,,70,,0,\N,6.3,,6.3,,0,,0.01,<,0.37,,0.19,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8230000,1998-11-18,11:15:00,Yes,0.1,14,,6.5,,8.4,,41,,83,,0,\N,6.2,,5.6,,0,,0.01,<,0.26,,0.38,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8230000,1998-12-16,13:30:00,Yes,0.1,10.9,,6.2,,9.9,,37,,430,,0,\N,6.5,,5.9,,0,,0.01,<,0.25,,0.35,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8230000,1999-01-13,09:30:00,Yes,0.1,6,,6,,11.2,,34,,9,,0,\N,10.6,,12.9,,0,,0.01,<,0.32,,0.22,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8230000,1999-02-09,11:20:00,Yes,0.1,11.7,,5.3,,9.7,,37,,33,,0,\N,7,,5.5,,0,,0.13,,0.14,,0.16,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8230000,1999-03-10,14:40:00,Yes,0.1,9,,5.4,,10.9,,32,,22,,0,\N,5.4,,4.6,,0,,0.04,,0.23,,0.46,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8230000,1999-04-14,10:30:00,Yes,0.1,18.2,,6.4,,8.5,,36,,34,,0,\N,5,,8.2,,0,,0.06,,0.48,,0.27,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
