Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8290000/MCFRBA_14,3030005,34.84945,-78.82629,"Cape Fear River at Dupont water intake ups of L&D3","Cumberland","Dns Monsanto and Rockfish Creek WWTP; WQ at Lock 3","C",CPF16,yes

Query Results: 
Stations:B8290000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8290000,1998-07-13,16:00:00,Yes,0.1,31.6,,9,,7.2,,154,,3,,0,\N,9.4,,9.5,,32.98,,0.01,<,1.1,,0.19,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1998-07-29,14:18:00,Yes,0.1,32.1,,7.2,,8.3,,121,,0,,0,\N,0,,0,,33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1998-08-10,01:33:00,Yes,0.1,28.2,,8.8,,10.8,,130,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1998-08-19,03:00:00,Yes,0.1,29.8,,8.3,,9.9,,141,,14,,0,\N,7.4,,9.5,,56.83,,0.01,,0.3,,0.4,,0.31,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1998-09-08,16:05:00,Yes,0.1,26.8,,6.8,,6,,121,,27,,0,\N,8.7,,7.6,,80.6,,0.08,,0.46,,0.31,,0.37,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1998-09-21,17:21:00,Yes,0.1,28,,8.5,,9.4,,154,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1998-10-12,15:20:00,Yes,0.1,22.8,,7.3,,7.5,,157,,30,,0,\N,8.6,,5.2,,12.5,,0.01,<,0.38,,0.45,,0.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1998-10-29,09:16:00,Yes,0.1,16.7,,6.8,,8.4,,164,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1998-11-16,13:05:00,Yes,0.1,14.4,,7,,7.9,,182,,31,,0,\N,4.6,,3.3,,0,,0.01,<,0.57,,0.66,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1998-12-17,13:50:00,Yes,0.1,11.3,,7.1,,10.1,,140,,93,,0,\N,5.3,,4.7,,0,,0.02,,0.43,,0.74,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1999-01-11,13:40:00,Yes,0.1,6,,7,,10.7,,91,,160,,0,\N,38.6,,18.8,,0,,0.05,,0.57,,0.47,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1999-02-10,14:00:00,Yes,0.1,11.4,,6.4,,10.1,,118,,50,,0,\N,18,,11.4,,0,,0.09,,0.51,,0.35,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1999-03-08,13:10:00,Yes,0.1,10.6,,6.7,,11.3,,119,,18,,0,\N,8.6,,5.9,,0,,0.01,,0.42,,0.78,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1999-04-12,15:00:00,Yes,0.1,20.1,,6.2,,7.6,,114,,29,,0,\N,8.9,,8.9,,0,,0.08,,0.54,,0.36,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8290000,1999-05-10,15:45:00,Yes,0.1,23.1,,6.3,,9.2,,121,,80,,0,\N,10.7,,7.5,,3.83,,0.04,,0.53,,0.36,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
