Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8305000/MCFRBA_17,3030005,34.74477,-78.78563,"Cape Fear River at SR 1316 at Tar Heel","Bladen","Dns of Smithfield Foods; former DWQ ambient stn (ambient discontinued 01/07)","C",CPF16,yes

Query Results: 
Stations:B8305000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8305000,1998-07-13,14:25:00,Yes,0.1,31.4,,8.5,,7.1,,157,,7,,0,\N,11.3,,10,,0,,0.01,,1.02,,0.6,,0.43,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8305000,1998-07-29,13:13:00,Yes,0.1,30.2,,6.9,,6.4,,148,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8305000,1998-08-10,00:45:00,Yes,0.1,28.2,,6.9,,7.1,,137,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8305000,1998-08-19,01:30:00,Yes,0.1,29.3,,6.7,,7,,156,,310,,0,\N,7.5,,6.5,,0,,0.08,,0.38,,0.66,,0.35,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8305000,1998-09-08,13:40:00,Yes,0.1,26.8,,6.7,,5.9,,123,,48,,0,\N,1.3,,8.6,,0,,0.1,,0.56,,0.39,,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8305000,1998-09-21,15:56:00,Yes,0.1,26.9,,6.7,,6.2,,164,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8305000,1998-10-12,13:30:00,Yes,0.1,22.1,,7,,7,,161,,7,,0,\N,7.4,,6.2,,0,,0.02,,0.47,,0.52,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8305000,1998-10-29,10:12:00,Yes,0.1,16.7,,7,,8.6,,171,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8305000,1998-11-16,11:55:00,Yes,0.1,14,,7,,8.6,,173,,28,,0,\N,3.6,,2.5,,0,,0.03,,0.51,,0.84,,0.38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8305000,1998-12-17,00:45:00,Yes,0.1,11.5,,7.2,,9.7,,153,,41,,0,\N,4.4,,3.3,,0,,0.03,,0.46,,0.59,,0.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
