Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8339000/MCFRBA_21,3030005,34.62700,-78.57800,"Cape Fear River above Lock & Dam 2","Bladen","DWQ benthic and fish stn; dns Elizabethtown WWTP","C",CPF16,yes

Query Results: 
Stations:B8339000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8339000,1998-07-13,13:00:00,Yes,0.1,30.2,,6.7,,5.3,,130,,547,,0,\N,10.8,,7.5,,32.28,,0.02,,0.77,,0.38,,0.31,,0.1,<,10,,6,,5.6,,1.8,,14,,340,,480,,0,,0.2,<,4.1,,0,
B8339000,1998-07-29,00:01:00,Yes,0.1,30.6,,6.8,,5.8,,143,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8339000,1998-08-10,11:55:00,Yes,0.1,29.1,,6.7,,7.8,,141,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8339000,1998-08-19,00:15:00,Yes,0.1,30.1,,6.6,,6.7,,165,,14,,0,\N,5.5,,4,,9.21,,0.05,,0.27,,0.82,,0.33,,0.1,<,10,<,9,,1.3,,1,,49,,150,,390,,0,,0.2,<,3,,0,
B8339000,1998-09-08,00:00:00,Yes,0.1,27.4,,6.5,,5.1,,135,,66,,0,\N,13.6,,24,,3.52,,0.11,,0.8,,0.58,,0.38,,0.1,,10,<,3.6,,1.4,,0.8,,11,,190,,710,,0,,0.2,<,3,,0,
B8339000,1998-09-21,14:45:00,Yes,0.1,27.1,,6.5,,5.9,,131,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8339000,1998-10-12,00:05:00,Yes,0.1,22.8,,7,,6.2,,145,,48,,0,\N,5.7,,3,,1.69,,0.05,,0.48,,0.69,,0.38,,0.1,<,10,<,1,,1.5,,0.8,,5,<,140,,420,,69,,0.2,<,3,,0,
B8339000,1998-10-29,11:37:00,Yes,0.1,18.1,,6.8,,7.8,,175,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8339000,1998-11-16,10:50:00,Yes,0.1,14.1,,7,,7.9,,187,,33,,0,\N,4.9,,2.3,,0,,0.08,,0.53,,1.08,,0.45,,0.1,,10,<,5.9,,11,,0.8,,48.8,,160,,420,,0,,0.2,<,3,,0,
B8339000,1998-12-17,11:20:00,Yes,0.1,12.2,,7,,9.2,,160,,112,,0,\N,4.3,,2.9,,0,,0.06,,0.56,,0.51,,0.44,,0.1,<,10,<,1.6,,1.2,,0.7,,10,,100,,380,,0,,0.2,<,3,,0,
B8339000,1999-01-11,11:10:00,Yes,0.1,5.6,,6.2,,10.7,,89,,211,,0,\N,49.6,,22,,0,,0.06,,0.64,,0.42,,0.25,,0.1,<,10,<,4.8,,1.1,,1.7,,5,<,630,,810,,0,,0.2,<,3,,0,
B8339000,1999-02-10,11:10:00,Yes,0.1,11.5,,6.4,,9.8,,115,,46,,0,\N,24.8,,17.7,,0,,0.08,,0.32,,0.36,,0.11,,0.1,<,10,<,9.9,,2.8,,2.8,,22,,550,,900,,0,,0.2,<,3,,0,
B8339000,1999-03-08,11:00:00,Yes,0.1,10.9,,6.6,,11.1,,123,,16,,0,\N,9.2,,6.4,,0,,0.02,,0.47,,0.61,,0.53,,0.1,<,10,<,13,,11,,2.6,,35.4,,500,,670,,0,,0.2,<,3,,0,
