Data was downloaded on July 6 2026 2:01 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8340100/MCFRBA_C6,3030005,34.64700,-78.55670,"Turnbull Creek at US 701- NC 53- and NC 41 nr Elizabethtown","Bladen","voluntary station -- Significant tributary","C",CPF16,yes

Query Results: 
Stations:B8340100	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8340100,1996-07-16,00:00:00,Yes,0.1,25,,6.3,,0,,70,,340,,0,\N,0,,0,,0,,0.08,,1.3,,0.13,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1996-08-01,00:00:00,Yes,0.1,26.4,,0,,6.5,,100,,8,,0,\N,0,,0,,0,,0.03,,0.81,,0.12,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1996-09-19,00:00:00,Yes,0.1,21.7,,6.7,,5.2,,100,,47,,0,\N,0,,0,,0,,0.06,,1.2,,0.22,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1996-10-18,00:00:00,Yes,0.1,19.1,,6.8,,7.2,,100,,100,,0,\N,0,,0,,0,,0.1,,0.89,,0.42,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1996-11-13,00:00:00,Yes,0.1,8.2,,7.3,,9.7,,120,,81,,0,\N,0,,0,,0,,0.02,,0.64,,0.11,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1996-12-12,00:00:00,Yes,0.1,11.9,,7.2,,9.5,,90,,73,,0,\N,0,,0,,0,,0.03,,3.2,,0.36,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1997-01-09,00:00:00,Yes,0.1,6.6,,0,,9.3,,80,,370,R,0,\N,0,,0,,0,,0.05,,1.5,,0.45,,0.31,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1997-02-06,00:00:00,Yes,0.1,11.5,,0,,9.6,,110,,71,,0,\N,0,,0,,0,,0.01,,0.44,,0.34,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1997-03-13,00:00:00,Yes,0.1,15.6,,7.6,,9.9,,120,,120,,0,\N,0,,0,,0,,0.04,,0.55,,0.22,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1997-04-10,00:00:00,Yes,0.1,15.1,,0,,7.5,,127,,18,,0,\N,0,,0,,0,,0.14,,1.09,,0.34,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1997-05-08,00:00:00,Yes,0.1,19.1,,7.6,,6.1,,112,,150,,0,\N,0,,0,,0,,0.06,,0.62,,0.23,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1997-06-12,00:00:00,Yes,0.1,20.4,,7.2,,5.3,,177,,64,,0,\N,0,,0,,0,,0.07,,0.85,,0.1,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340100,1997-07-10,00:00:00,Yes,0.1,26.5,,7,,3.3,,213,,23,,0,\N,0,,0,,0,,0.1,,0.52,,0.03,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
