Data was downloaded on July 6 2026 2:00 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8348000/MCFRBA_24,3030005,34.47400,-78.36900,"Cape Fear River at SR 1730 -Elwell Ferry Rd.-nr Carvers","Bladen","DWQ benthic stn","WS-IV",CPF16,yes

Query Results: 
Stations:B8348000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8348000,1998-07-13,10:15:00,Yes,0.1,30.2,,6.7,,3.9,,137,,12,,0,\N,8.4,,3,<,0,,0.05,,0.76,,0.57,,0.24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1998-07-29,09:45:00,Yes,0.1,30.3,,6.7,,5.1,,158,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1998-08-10,10:16:00,Yes,0.1,29.4,,6.6,,5.6,,141,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1998-08-19,09:58:00,Yes,0.1,29.6,,6.6,,6.1,,149,,25,,0,\N,5.3,,3,<,0,,0.06,,0.32,,0.55,,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1998-09-08,09:40:00,Yes,0.1,27.4,,6.5,,5.1,,147,,5,,0,\N,5.1,,2.7,,0,,0.12,,0.72,,1.07,,0.47,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1998-09-21,00:56:00,Yes,0.1,27.5,,6.5,,5,,144,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1998-10-12,09:40:00,Yes,0.1,23.1,,6.9,,5.9,,162,,76,,0,\N,7.3,,3.5,,0,,0.05,,0.6,,0.66,,0.37,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1998-10-29,14:00:00,Yes,0.1,18.8,,6.8,,7.8,,154,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1998-11-16,08:15:00,Yes,0.1,14.8,,7.2,,7.8,,211,,31,,0,\N,2.5,,2.4,,0,,0.04,,0.44,,1.24,,0.44,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1998-12-17,09:30:00,Yes,0.1,12.3,,6.9,,9.1,,156,,92,,0,\N,3.9,,2.1,,0,,0.05,,0.46,,0.61,,0.37,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-01-11,09:50:00,Yes,0.1,5.7,,6.1,,10.4,,83,,290,,0,\N,64.6,,34.7,,0,,0.09,,0.8,,0.4,,0.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-02-10,09:55:00,Yes,0.1,11.4,,6,,9.7,,110,,58,,0,\N,26.2,,18.4,,0,,0.08,,0.31,,0.35,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-03-08,09:45:00,Yes,0.1,10.7,,5.9,,11.5,,110,,15,,0,\N,8.5,,7.3,,0,,0.01,,0.44,,0.52,,0.59,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-04-12,11:00:00,Yes,0.1,20.2,,6.1,,7.3,,117,,6,,0,\N,9.1,,6.2,,0,,0.13,,0.66,,0.52,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-05-10,11:25:00,Yes,0.1,19.9,,5.6,,7.2,,113,,70,,0,\N,13.2,,5.1,,0,,0.1,,0.5,,0.47,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-05-26,10:35:00,Yes,0.1,23.8,,6.4,,6.8,,90,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-06-07,09:50:00,Yes,0.1,27.1,,6,,6.2,,131,,2,,0,\N,6.3,,4.2,,0,,0.07,,0.66,,0.99,,0.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-06-24,14:15:00,Yes,0.1,25.7,,6.6,,6.2,,128,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-07-15,09:50:00,Yes,0.1,27,,6.6,,5.1,,149,,36,,0,\N,8.8,,5,,0,,0.33,,0.61,,0.79,,0.34,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-07-30,17:40:00,Yes,0.1,32.9,,7.7,,10.1,,131,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-08-11,09:15:00,Yes,0.1,30.1,,6.7,,4.9,,174,,15,,0,\N,6.7,,4,,0,,0.12,,0.48,,0.94,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-08-25,11:18:00,Yes,0.1,29.6,,6.9,,5.3,,167,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-09-13,00:45:00,Yes,0.1,24.4,,6.6,,6,,130,,42,,0,\N,17.5,,12,,0,,0.05,,0.37,,0.52,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-10-25,00:30:00,Yes,0.1,15.7,,6.1,,7.4,,61,,520,,0,\N,13.5,,15,,0,,0.03,,0.67,,0.33,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-11-04,09:45:00,Yes,0.1,15.5,,6.3,,8.5,,84,,32,,0,\N,8.4,,5,<,0,,0.04,,0.54,,0.6,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,1999-12-20,09:30:00,Yes,0.1,10.3,,6.3,,10.4,,105,,144,,0,\N,17.2,,12,,0,,0.02,,0.38,,0.57,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,2000-01-21,10:45:00,Yes,0.1,0,,0,,0,,0,,54,,0,\N,15.7,,6,,0,,0.07,,0.56,,0.67,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,2000-02-11,09:40:00,Yes,0.1,6.8,,6.6,,11.9,,71,,28,,0,\N,17.5,,14,,0,,0.06,,0.41,,0.57,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8348000,2000-03-21,09:45:00,Yes,0.1,13.9,,6.8,,9.6,,90,,336,,0,\N,13.9,,19,,0,,0.07,,0.74,,0.29,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
