Data was downloaded on June 30 2026 2:46 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8340050/LCFRP_BRN,3030005,34.6136,-78.5848,"Browns Creek at NC87 nr Elizabethtown",Bladen,hog farm area,C,CPF16,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B8340050	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8340050,7/16/96,0:00:00,Yes,0.1,25.5,,6.3,,0,,80,,636,,0,\N,0,,0,,0,,0.06,,1.1,,0.05,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340050,8/1/96,0:00:00,Yes,0.1,26.2,,0,,6.4,,90,,60,,0,\N,0,,0,,0,,0.06,,1,,0.09,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340050,9/19/96,0:00:00,Yes,0.1,21.1,,6.3,,5.3,,90,,47,,0,\N,0,,0,,0,,0.38,,1.8,,0.15,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340050,10/18/96,0:00:00,Yes,0.1,18.7,,6.4,,6.7,,80,,112,,0,\N,0,,0,,0,,0.1,,0.89,,0.31,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340050,11/13/96,0:00:00,Yes,0.1,8.2,,7.2,,10.2,,100,,83,,0,\N,0,,0,,0,,0.04,,0.64,,0.38,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340050,12/12/96,0:00:00,Yes,0.1,12.3,,7,,9,,80,,104,,0,\N,0,,0,,0,,0.05,,2.9,,0.74,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340050,1/9/97,0:00:00,Yes,0.1,6.4,,0,,10.3,,90,,270,R,0,\N,0,,0,,0,,0.05,,1.4,,0.56,,0.31,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340050,2/6/97,0:00:00,Yes,0.1,11,,0,,9.2,,90,,63,,0,\N,0,,0,,0,,0.07,,0.81,,0.65,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340050,3/13/97,0:00:00,Yes,0.1,15.5,,7.3,,9.1,,88,,33,,0,\N,0,,0,,0,,0.06,,0.62,,0.32,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340050,4/10/97,0:00:00,Yes,0.1,14.3,,0,,8.5,,89,,42,,0,\N,0,,0,,0,,0.04,,0.68,,0.33,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340050,5/8/97,0:00:00,Yes,0.1,19,,7.1,,7.3,,91,,64,,0,\N,0,,0,,0,,0.05,,0.68,,0.3,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
