Data was downloaded on July 1 2026 1:58 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8340200/LCFRP_HAM,3030005,34.5685,-78.5515,"Hammond Creek at SR 1704 nr Mt. Olive",Bladen,hog farm area,C,CPF16,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B8340200	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8340200,1/4/99,13:00:00,Yes,0.1,9,,5.8,,9,,82,,600,L,0,\N,0,,6,,0,,0.05,,0.72,,0.4,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340200,2/1/99,0:45:00,Yes,0.1,8.7,,6.1,,10.4,,99,,105,,0,\N,0,,1,K,0,,0.1,,0.47,,0.4,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340200,3/1/99,0:45:00,Yes,0.1,11.3,,5.9,,10.7,,106,,50,,0,\N,0,,1,K,0,,0.07,,0.39,,0.21,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340200,4/12/99,11:36:00,Yes,0.1,20.2,,6.6,,6,,135,,358,,0,\N,0,,6,,0,,0.2,,0.64,,0.12,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340200,5/12/99,13:35:00,Yes,0.1,21.2,,6.1,,6.9,,118,,57,,0,\N,0,,1,K,0,,0.07,,0.47,,0.24,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340200,6/7/99,14:30:00,Yes,0.1,23.7,,6.3,,5.7,,169,,20,,0,\N,0,,1,K,0,,0.07,,0.4,,0.02,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340200,7/13/99,13:32:00,Yes,0.1,21.4,,6.3,,3.9,,196,,140,,0,\N,0,,5,,0,,0.01,<,0.4,,0.05,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340200,8/10/99,13:20:00,Yes,0.1,25.7,,6.3,,3.5,,225,,24,,0,\N,0,,11,,0,,0.03,,0.56,,0.01,K,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340200,9/7/99,13:30:00,Yes,0.1,24.2,,6,,5.7,,128,,1,K,0,\N,0,,1,K,0,,0.08,,0.61,,0.15,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340200,10/7/99,15:15:00,Yes,0.1,17.8,,5.6,,7.7,,94,,130,,0,\N,0,,4,,0,,0.06,,0.75,,0.06,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340200,11/2/99,13:05:00,Yes,0.1,18,,5.8,,7.3,,105,,600,L,0,\N,0,,4,,0,,0.04,,0.45,,0.11,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
