Data was downloaded on July 1 2026 1:59 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8360000/LCFRP_NC 11,3030005,34.3969,-78.2675,"Cape Fear River at NC 11 nr East Arcadia",Bladen,former ambient station (ambient discontinued 01/07); just downstm Lock and Dam 1,WS-IV Sw,CPF16,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B8360000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8360000,3/6/96,0:00:00,Yes,3,11.7,,6.7,,9.9,,106,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,4/9/96,0:00:00,Yes,4,13.8,,6,,11.5,,104,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,5/2/96,0:00:00,Yes,5,19.5,,6.2,,8.4,,106,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,6/4/96,0:00:00,Yes,3,23.7,,6.2,,6.9,,109,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,6/10/96,0:00:00,Yes,0.1,25.7,,6,,6.7,,145,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,6/17/96,0:00:00,Yes,0.1,27.3,,6.5,,6.2,,116,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,6/28/96,0:00:00,Yes,0.1,29.6,,6.1,,7,,129,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,7/4/96,0:00:00,Yes,0.1,29.2,,5.7,,5.8,,115,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,7/9/96,0:00:00,Yes,3,28.3,,0,,6.5,,137,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,7/9/96,0:00:00,Yes,0.1,28.8,,6.6,,6.5,,140,,3,,0,\N,22,,0,,18.7,,0.04,,0.85,,1,,0.28,,2,K,5,K,2,K,10,K,10,K,18,,220,,1420,,0,,0.9,,34,,0,
B8360000,7/15/96,0:00:00,Yes,0.1,27.2,,6.4,,5.9,,136,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,7/25/96,0:00:00,Yes,0.1,28.8,,6.3,,5.6,,110,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,7/30/96,0:00:00,Yes,0.1,28.7,,0,,6.4,,140,,5,,0,\N,18,,0,,8.3,,0.04,,0.97,,0.65,,0.27,,2,K,5,K,2,K,10,K,10,K,10,K,180,,780,,0,,2,,10,K,0,
B8360000,7/30/96,0:00:00,Yes,3,28.7,,0,,6.4,,135,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,8/10/96,0:00:00,Yes,0.1,27.2,,6.5,,5,,114,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,8/12/96,0:00:00,Yes,0.1,26.3,,0,,5,,113,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,8/23/96,0:00:00,Yes,0.1,26.4,,6.5,,7.7,,111,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,8/28/96,0:00:00,Yes,0.1,27.2,,6.5,,6,,135,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,9/13/96,0:00:00,Yes,0.1,24.1,,5.5,,1.9,,66,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,9/17/96,0:00:00,Yes,6,23.2,,6.3,,3.3,,70,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,9/17/96,0:00:00,Yes,8,23.2,,6.3,,3.5,,70,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,9/17/96,0:00:00,Yes,0.1,23.3,,6.4,,3.2,,70,,44,,0,\N,34,,0,,2.2,,0.08,,0.97,,0.27,,0.2,,2,K,16,,10,,10,K,10,K,18,,410,,1300,,0,,0,,10,K,0,
B8360000,9/24/96,0:00:00,Yes,0.1,22.4,,6.3,,5.7,,95,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,10/15/96,0:00:00,Yes,6,16.5,,6.2,,6.6,,69,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,10/15/96,0:00:00,Yes,0.1,16.5,,6.3,,6.2,,70,,91,,0,\N,11,,0,,2.4,,0.04,,0.97,,0.39,,0.14,,2,K,5,K,2,K,10,K,10,K,10,K,410,,1100,,0,,0,,10,K,0,
B8360000,11/12/96,0:00:00,Yes,0.1,14.1,,7,,8.6,,100,,40,,0,\N,7.6,,0,,1.3,,0.06,,0.97,,0.46,,0.27,,2,K,23,,2,K,10,K,10,K,10,K,260,,880,,0,,0,,10,K,0,
B8360000,11/12/96,0:00:00,Yes,4,14.1,,7,,8.7,,96,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,12/10/96,0:00:00,Yes,0.1,8.2,,7.2,,10,,100,,160,,0,\N,19.8,,0,,3.9,,0.05,,1.2,,0.39,,0.19,,2,K,5,K,2,K,10,K,10,K,270,,540,,1300,,0,,0,,10,K,0,
B8360000,12/10/96,0:00:00,Yes,5,8.2,,7.2,,10,,99,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,1/7/97,0:00:00,Yes,0.1,10.7,,7.2,,9.8,,100,,40,,0,\N,7,,0,,2.6,,0.04,,0.66,,0.67,,0.16,,2,K,5,K,2,K,10,K,10,K,34,,270,,1000,,0,,0.2,,10,K,0,
B8360000,1/7/97,0:00:00,Yes,3,10.7,,7.1,,9.9,,97,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,2/4/97,0:00:00,Yes,3,8,,0,,10.7,,98,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,2/4/97,0:00:00,Yes,0.1,8,,0,,10.7,,100,,31,,0,\N,8,,0,,9.2,,0.04,,0.7,,0.59,,0.1,,2,K,23,,2,K,10,K,10,K,25,,330,,1000,,0,,0.2,K,10,K,0,
B8360000,3/11/97,0:00:00,Yes,0.1,14.5,,7.6,,9,,100,,44,,0,\N,33,,0,,6.4,,0.05,,0.9,,0.58,,0.15,,1,K,5,K,2,K,10,K,10,K,62,,390,,740,,0,,0.2,K,10,K,0,
B8360000,3/11/97,0:00:00,Yes,5,14.5,,7.7,,9.5,,101,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,4/8/97,0:00:00,Yes,3,18.3,,6.7,,7.2,,85,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,5/6/97,0:00:00,Yes,0.1,17.6,,6.8,,6.8,,70,,72,,0,\N,24,,0,,4.4,,0.06,,1,,0.46,,0.18,,2,K,5,K,5,,10,K,10,K,15,,1100,,2000,,0,,0.2,K,10,K,0,
B8360000,5/6/97,0:00:00,Yes,6,17.5,,6.8,,7.1,,70,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,6/4/97,0:00:00,Yes,0.1,23.5,,6.6,,6.3,,110,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,6/10/97,0:00:00,Yes,0.1,20.7,,7.1,,6.9,,131,,5,,0,\N,6,,0,,7.8,,0.07,,0.74,,0.86,,0.09,,2,K,5,K,2,,10,K,10,K,10,K,130,,930,,0,,0.2,K,10,K,0,
B8360000,6/10/97,0:00:00,Yes,3.5,20.7,,7,,7.2,,131,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,6/18/97,0:00:00,Yes,0.1,24.2,,7.1,,6.5,,122,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8360000,6/18/97,0:00:00,Yes,2,24.1,,6.8,,6.6,,121,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
