Data was downloaded on July 1 2026 1:58 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8441000/LCFRP_LVC2,3030005,34.3353,-78.2011,"Livingston Creek at Wright Corp. Walkway nr Acme",Columbus,DWQ ambient stn; dns Wright Corp.,C Sw,CPF17,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B8441000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8441000,1/12/05,16:02:00,Yes,0.1,13.9,,6.5,,6.3,,134,,45,,0,\N,0,,3,U,0,,0.15,,0.7,,0.2,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8441000,2/9/05,13:55:00,Yes,0.1,9.5,,5.6,,10.1,,121,,25,A,0,\N,0,,3,U,0,,0.02,U,0.31,,0.09,,0.02,,2,U,25,U,2,U,10,U,10,U,10,U,107,,436,,0,,0.2,U,10,U,0,
B8441000,3/9/05,13:30:00,Yes,0.1,10.2,,6,,8.5,,124,,23,,0,\N,0,,3,U,0,,0.1,,0.52,,0.03,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8441000,4/6/05,10:35:00,Yes,0.1,17.3,,6.5,,6.5,,100,U,30,,0,\N,0,,3,U,0,,0.02,U,0.49,,0.01,U,0.01,,2,U,25,U,2,U,10,U,10,U,10,U,377,,712,,0,,0.2,U,10,U,0,
B8441000,5/4/05,14:08:00,Yes,0.1,19.3,,6.5,,3.6,,146,,28,,0,\N,0,,4,,0,,0.02,U,0.66,,0.28,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8441000,6/8/05,14:03:00,Yes,0.1,24.6,,6,,5.1,,100,U,49,,0,\N,0,,3,,0,,0.06,,0.63,,0.04,,0.01,,2,U,25,U,2,U,10,U,10,U,10,U,389,,933,,0,,0.2,U,10,U,0,
B8441000,7/13/05,11:14:00,Yes,0.1,27.6,,6.3,,2.3,,144,,58,,0,\N,0,,3,,0,,0.34,,1.03,,0.45,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8441000,8/3/05,10:44:00,Yes,0.1,26,,5.9,,3.3,,100,,91,,0,\N,0,,2,,0,,0.09,,1.4,,0.15,,0.14,,2,U,25,U,2,U,10,U,10,U,10,U,413,,1390,,0,,0.2,U,10,U,0,
B8441000,9/7/05,11:02:00,Yes,0.1,25.3,,6.4,,3.3,,110,,64,,0,\N,0,,4,,0,,0.3,,1.16,,0.22,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8441000,12/14/05,13:52:00,Yes,0.1,7,,6,,9.6,,100,U,45,,0,\N,0,,1,U,0,,0.11,,1.26,,0.08,,0.02,U,2,U,25,U,2,U,10,U,10,U,10,U,119,,499,,0,,0.2,U,10,U,0,
