Data was downloaded on July 1 2026 2:00 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8470000/LCFRP_SR,3030006,35.156,-78.6401,"South River at US 13 nr Cooper",Sampson,dns Dunn runoff,C Sw,CPF18,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B8470000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8470000,7/16/96,0:00:00,Yes,0.1,24.2,,6.2,,3,,60,,46,,0,\N,0,,0,,0,,0.02,,1.1,,0.05,K,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8470000,8/1/96,0:00:00,Yes,0.1,23.9,,0,,2.4,,70,,150,,0,\N,0,,0,,0,,0.05,,1.4,,0.09,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8470000,9/19/96,0:00:00,Yes,0.1,22,,6,,2.3,,50,,76,,0,\N,0,,0,,0,,0.04,,1.1,,0.05,K,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8470000,10/18/96,0:00:00,Yes,0.1,18.7,,6.3,,3.9,,60,,90,,0,\N,0,,0,,0,,0.05,,0.89,,0.12,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8470000,11/13/96,0:00:00,Yes,0.1,7,,6.8,,7.8,,70,,17,,0,\N,0,,0,,0,,0.04,,0.97,,0.13,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8470000,12/12/96,0:00:00,Yes,0.1,9.4,,7.1,,9.7,,70,,160,,0,\N,0,,0,,0,,0.01,K,1.5,,0.44,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8470000,1/9/97,0:00:00,Yes,0.1,6.3,,0,,8.7,,70,,170,,0,\N,0,,0,,0,,0.02,,0.81,,0.32,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8470000,2/6/97,0:00:00,Yes,0.1,9.3,,0,,9.6,,70,,20,,0,\N,0,,0,,0,,0.01,K,0.59,,0.16,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8470000,3/13/97,0:00:00,Yes,0.1,15,,7.5,,8.9,,65,,20,,0,\N,0,,0,,0,,0.01,K,0.62,,0.05,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8470000,4/10/97,0:00:00,Yes,0.1,13.9,,0,,3.9,,65,,12,,0,\N,0,,0,,0,,0.02,,0.78,,0.08,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8470000,5/8/97,0:00:00,Yes,0.1,18,,6.4,,4.6,,68,,33,,0,\N,0,,0,,0,,0.04,,0.88,,0.22,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
