Data was downloaded on June 30 2026 2:46 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8604000/LCFRP_GCO,3030006,34.9186,-78.3887,"Great Coharie Creek at SR 1214 nr Butler Crossroads",Sampson,8 miles dns Clinton WWTP; nonpoint impacts,C Sw,CPF19,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B8604000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8604000,7/16/96,0:00:00,Yes,0.1,24.8,,6.1,,3.6,,70,,50,,0,\N,0,,0,,0,,0.04,,1.4,,0.05,K,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,8/1/96,0:00:00,Yes,0.1,25.2,,0,,5.2,,90,,20,,0,\N,0,,0,,0,,0.06,,0.81,,0.17,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,9/19/96,0:00:00,Yes,0.1,22.1,,6,,2.2,,60,,26,,0,\N,0,,0,,0,,0.13,,1.4,,0.06,,0.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,10/18/96,0:00:00,Yes,0.1,18.6,,6.3,,5.2,,60,,42,,0,\N,0,,0,,0,,0.07,,0.9,,0.14,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,11/13/96,0:00:00,Yes,0.1,6.8,,6.9,,8.8,,90,,35,,0,\N,0,,0,,0,,0.06,,0.97,,0.43,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,12/12/96,0:00:00,Yes,0.1,9.4,,7.1,,9.5,,90,,42,,0,\N,0,,0,,0,,0.01,K,3.4,,0.88,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,1/9/97,0:00:00,Yes,0.1,6.7,,0,,9,,90,,94,,0,\N,0,,0,,0,,0.01,K,0.81,,0.82,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,2/6/97,0:00:00,Yes,0.1,10.1,,0,,9.6,,90,,46,,0,\N,0,,0,,0,,0.01,K,0.66,,1.1,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,3/13/97,0:00:00,Yes,0.1,14.5,,7.1,,7.4,,91,,23,,0,\N,0,,0,,0,,0.02,,0.81,,0.39,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,4/10/97,0:00:00,Yes,0.1,14.3,,0,,6.2,,83,,10,,0,\N,0,,0,,0,,0.02,,0.81,,0.2,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,5/8/97,0:00:00,Yes,0.1,18.3,,6.6,,5.6,,83,,44,,0,\N,0,,0,,0,,0.05,,0.79,,0.14,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,6/12/97,0:00:00,Yes,0.1,21.1,,7,,5.6,,122,,39,,0,\N,0,,0,,0,,0.05,,1.21,,0.37,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,7/10/97,0:00:00,Yes,0.1,26.2,,6.9,,3.5,,249,,22,,0,\N,0,,0,,0,,0.13,,0.85,,0.31,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,8/7/97,0:00:00,Yes,0.1,24.5,,6.4,,5.4,,58,,18,,0,\N,0,,0,,0,,0.06,,2.1,,0.11,,0.21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,9/5/97,0:00:00,Yes,0.1,20,,7,,6.2,,164,,37,,0,\N,0,,0,,0,,0.05,,1.3,,0.2,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,9/29/97,0:00:00,Yes,0.1,21,,7,,6.3,,165,,71,,0,\N,0,,0,,0,,0.01,K,1.48,,0.35,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,11/10/97,0:00:00,Yes,0.1,11.6,,6.1,,7.8,,125,,23,,0,\N,0,,0,,0,,0.03,,1.08,,0.13,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,12/1/97,0:00:00,Yes,0.1,12.9,,6.3,,6.4,,119,,52,R,0,\N,0,,0,,0,,0.01,K,0.72,,0.15,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,1/5/98,0:00:00,Yes,0.1,8.7,,6.6,,9.7,,100,,39,,0,\N,0,,0,,0,,0,,0.66,,0.5,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8604000,2/9/98,0:00:00,Yes,0.1,6.8,,6.1,,10.3,,61,,44,,0,\N,0,,0,,0,,0,,0.51,,0.93,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
