Data was downloaded on July 1 2026 1:58 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8610001/LCFRP_LCO,3030006,34.8347,-78.3709,"Little Coharie Creek at SR 1207 nr Ingold",Sampson,Just ups Great Coharie Ck; hog ops in watershed,C Sw,CPF19,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B8610001	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8610001,7/16/96,0:00:00,Yes,0.1,24.6,,5.9,,4.7,,60,,139,,0,\N,0,,0,,0,,0.03,,1.4,,0.05,K,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,8/1/96,0:00:00,Yes,0.1,25,,0,,4.6,,60,,44,,0,\N,0,,0,,0,,0.03,,1.4,,0.07,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,9/19/96,0:00:00,Yes,0.1,21.1,,5.6,,2.6,,60,,16,,0,\N,0,,0,,0,,0.03,,1.4,,0.05,K,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,10/18/96,0:00:00,Yes,0.1,17.6,,5.6,,5.3,,50,,13,,0,\N,0,,0,,0,,0.06,,0.97,,0.17,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,11/13/96,0:00:00,Yes,0.1,7.5,,6.3,,9,,60,,20,,0,\N,0,,0,,0,,0.02,,0.81,,0.16,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,12/12/96,0:00:00,Yes,0.1,9.1,,6.6,,9.6,,70,,22,,0,\N,0,,0,,0,,0.01,K,2.8,,0.33,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,1/9/97,0:00:00,Yes,0.1,7.5,,0,,8.5,,60,,40,,0,\N,0,,0,,0,,0.01,,1.2,,0.44,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,2/6/97,0:00:00,Yes,0.1,10.3,,0,,8.6,,60,,37,,0,\N,0,,0,,0,,0.01,K,0.51,,0.5,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,3/13/97,0:00:00,Yes,0.1,15.1,,6.7,,6.9,,62,,19,,0,\N,0,,0,,0,,0.1,,1.04,,0.23,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,4/10/97,0:00:00,Yes,0.1,15.6,,0,,6.6,,60,,13,,0,\N,0,,0,,0,,0.05,,0.84,,0.32,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,5/8/97,0:00:00,Yes,0.1,18.6,,6.4,,5.8,,57,,46,,0,\N,0,,0,,0,,0.05,,0.88,,0.16,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,6/12/97,0:00:00,Yes,0.1,20.1,,6.9,,6.4,,63,,40,,0,\N,0,,0,,0,,0.11,,1.35,,0.33,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,7/10/97,0:00:00,Yes,0.1,26.3,,6.5,,4.9,,78,,33,,0,\N,0,,0,,0,,0.13,,1.04,,0.37,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,8/7/97,0:00:00,Yes,0.1,24.5,,6.1,,5.1,,59,,50,,0,\N,0,,0,,0,,0.05,,1.7,,0.04,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,9/5/97,0:00:00,Yes,0.1,20.3,,6.6,,6.7,,62,,54,,0,\N,0,,0,,0,,0.55,,0.89,,0.31,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8610001,9/29/97,0:00:00,Yes,0.1,20.6,,6.5,,6.9,,66,,167,,0,\N,0,,0,,0,,0.01,K,1.34,,0.2,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
