Data was downloaded on July 1 2026 2:00 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8920000/LCFRP_SRWC,3030006,34.6402,-78.3116,"South River at SR 1007 nr Kerr",Sampson,Ups of Black River,C Sw ORW +,CPF18,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B8920000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8920000,3/27/13,11:50:00,Yes,0.1,8.5,,5.9,,10.3,,81,,19,,0,,2.1,,0,,0,,0.09,,0.3,,0.19,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,4/25/13,12:00:00,Yes,0.1,16.8,,6.2,,7.8,,81,,55,,0,,4.3,,0,,0,,0.08,,0.6,,0.15,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,5/30/13,12:05:00,Yes,0.1,20.3,,6.4,,7.1,,72,,28,,0,,2.8,,0,,0,,0.05,,0.7,,0.07,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,6/11/13,11:46:00,Yes,0.1,22.9,,5.6,,6,,62,,1270,,0,,23,,0,,0,,0.09,,0.5,,0.17,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,7/17/13,12:20:00,Yes,0.1,25,,3.9,,3.2,,73,,5900,,0,,1.7,,0,,0,,0.06,,0.1,,0.08,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,8/15/13,12:00:00,Yes,0.1,24.5,,5.9,,5.4,,68,,136,,0,,4.6,,0,,0,,0.09,,0.1,U,0.28,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,9/12/13,10:35:00,Yes,0.1,23.3,,6.1,,6.4,,74,,64,,0,,3.4,,0,,0,,0.05,,0.1,U,0.24,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,10/16/13,12:05:00,Yes,0.1,18.9,,6.6,,7.4,,84,,154,,0,,2.2,,0,,0,,0.03,,0.1,U,0.02,U,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,11/4/13,11:40:00,Yes,0.1,14.4,,6.1,,7.9,,85,,118,,0,,2.2,,0,,0,,0.04,,0.1,U,0.02,U,0.23,Q2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,12/18/13,12:00:00,Yes,0.1,7.8,,5.2,,10.3,,82,,250,,0,,3.2,,0,,0,,0.02,,0.1,U,0.36,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,1/22/14,11:30:00,No,0.1,6,,5.3,,11.1,,63,,73,,0,\N,4.1,,0,,0,,0.02,,1.5,,0.26,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,2/19/14,12:00:00,No,0.1,7.3,,5.4,,10.6,J12,71,,118,,0,\N,1.7,,0,,0,,0.02,U,0.3,,0.34,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,4/3/14,12:14:00,No,0.1,15.3,,6,,8.9,,66,,154,,0,\N,1.8,,0,,0,,0.02,U,0.7,,0.11,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,5/13/14,12:10:00,No,0.1,12,,5.8,,8.9,,66,,199,,0,\N,1.4,,0,,0,,0.02,U,0.4,,0.25,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,5/28/14,11:30:00,No,0.1,22,,6.1,,6.3,,58,,82,,0,\N,2.6,,0,,0,,0.02,,0.8,,0.15,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,6/12/14,12:25:00,No,0.1,25.4,,6.4,,5.6,,80,,91,,0,\N,3,,0,,0,,0.09,,0.6,,0.02,U,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,7/9/14,11:45:00,No,0.1,26.3,,6.5,,5.7,,91,,91,,0,\N,3.4,,0,,0,,0.04,,0.7,,0.46,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,8/7/14,11:55:00,No,0.1,23.9,,5.2,,6.4,,67,,172,,0,\N,2.6,,0,,0,,0.06,,0.6,,0.3,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,9/10/14,11:20:00,No,0.1,23.5,,6.4,,6.3,,95,,119,,0,\N,4.2,,0,,0,,0.02,U,0.4,,0.56,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,10/8/14,12:20:00,No,0.1,18,,6,,7.8,,74,,64,,0,\N,2.8,,0,,0,,0.05,,0.6,,0.07,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,11/12/14,12:15:00,No,0.1,13.6,,5.9,,8.5,,86,,118,,0,\N,2,,0,,0,,0.02,U,0.5,,0.26,,0.04,Q,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,12/15/14,11:25:00,No,0.1,5.2,,6.4,,11.4,,83,,127,,0,\N,1.8,,0,,0,,0.02,U,0.5,,0.15,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,1/16/15,11:20:00,No,0.1,5.2,,5.3,,10.9,,64,,163,,0,,4.4,,0,,0,,0.02,U,0.5,,0.36,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,2/18/15,11:50:00,No,0.1,2.5,,6.1,,12.7,,68,,118,,0,,2.4,,0,,0,,0.02,,0.3,,0.35,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,3/12/15,10:41:00,No,0.1,13.9,,5.8,,8.7,,63,,1000,,0,,2.1,,0,,0,,0.02,U,1,,0.02,U,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,4/8/15,11:30:00,No,0.1,17.4,,6.1,,7.7,,66,,37,,0,,2.3,,0,,0,,0.04,,1.3,,0.02,U,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,5/14/15,10:26:00,No,0.1,21.5,,6,,6.5,,61,,55,,0,,4,,0,,0,,0.02,U,1.3,,0.24,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,6/23/15,11:20:00,No,0.1,28.2,,6.7,,5.6,,70,,55,,0,,4.5,,0,,0,,0.02,,0.5,,0.36,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,7/30/15,10:56:00,No,0.1,26.1,,6.2,,4.8,,89,,145,,0,,3.1,,0,,0,,0.12,,1.3,,0.57,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,8/13/15,10:35:00,No,0.1,24.6,,5.5,,5.8,,74,,1180,,0,,3.4,,0,,0,,0.03,,1.2,,0.33,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,9/24/15,10:25:00,No,0.1,22.2,,6,,5.9,,50,U,100,,0,,2.4,,0,,0,,0.05,,1.5,,0.35,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,10/22/15,10:35:00,No,0.1,13.2,,8.8,,5.4,,83,,28,,0,,2.3,,0,,0,,0.03,,1.1,,0.16,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,11/5/15,11:20:00,No,0.1,18,,5.3,,7.1,,79,,1460,,0,,3.5,,0,,0,,0.02,U,2.1,,0.22,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8920000,12/3/15,10:05:00,No,0.1,13.6,,5.4,,7.6,,71,,46,,0,,1.6,,0,,0,,0.03,,0.2,,0.15,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
