Data was downloaded on June 30 2026 2:46 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B8981000/LCFRP_COL,3030006,34.46411,-78.25692,"Colly Creek at NC 53 at Colly",Bladen,Hog operations in watershed,C Sw,CPF20,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B8981000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8981000,7/16/96,0:00:00,Yes,0.1,23.9,,5.2,,5.3,,60,,27,,0,\N,0,,0,,0,,0.07,,1.8,,0.05,K,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,8/1/96,0:00:00,Yes,0.1,26,,0,,3.3,,60,,52,,0,\N,0,,0,,0,,0.06,,1.7,,0.05,K,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,9/19/96,0:00:00,Yes,0.1,21.8,,4.1,,0.8,,60,,9,,0,\N,0,,0,,0,,0.12,,2.2,,0.05,K,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,10/18/96,0:00:00,Yes,0.1,18.2,,4.2,,4,,50,,20,,0,\N,0,,0,,0,,0.1,,1.4,,0.05,K,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,11/13/96,0:00:00,Yes,0.1,7.6,,4.3,,7.9,,50,,21,,0,\N,0,,0,,0,,0.09,,2.4,,0.05,K,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,12/12/96,0:00:00,Yes,0.1,10.5,,4.2,,7.7,,50,,40,,0,\N,0,,0,,0,,0.06,,3.3,,0.39,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,1/9/97,0:00:00,Yes,0.1,7.3,,0,,7.9,,50,,94,,0,\N,0,,0,,0,,0.07,,1.3,,0.21,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,2/6/97,0:00:00,Yes,0.1,11.1,,0,,7.3,,50,,11,,0,\N,0,,0,,0,,0.07,,1.1,,0.08,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,3/13/97,0:00:00,Yes,0.1,16.2,,5.1,,6.3,,53,,11,,0,\N,0,,0,,0,,0.16,,1.6,,0.05,K,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,4/10/97,0:00:00,Yes,0.1,14.1,,0,,6.5,,50,,15,,0,\N,0,,0,,0,,0.15,,2.14,,0.05,K,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,5/8/97,0:00:00,Yes,0.1,18.6,,4.5,,5.3,,52,,22,,0,\N,0,,0,,0,,0.16,,1.53,,0.05,K,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,6/12/97,0:00:00,Yes,0.1,20.2,,4.2,,4.9,,55,,70,,0,\N,0,,0,,0,,0.31,,3.26,,0.05,K,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,7/10/97,0:00:00,Yes,0.1,26.3,,4.4,,3.2,,63,,33,,0,\N,0,,0,,0,,1.6,,2.46,,0.02,,0.37,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,8/7/97,0:00:00,Yes,0.1,24.4,,4.3,,5.5,,55,,600,,0,\N,0,,0,,0,,0.98,,3.6,,0.04,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,9/5/97,0:00:00,Yes,0.1,18.6,,4.3,,5.1,,76,,18,,0,\N,0,,0,,0,,0.22,,1.73,,0.06,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,9/29/97,0:00:00,Yes,0.1,21.7,,3.9,,5.8,,138,,176,,0,\N,0,,0,,0,,0.01,,1.22,,0.05,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,11/10/97,0:00:00,Yes,0.1,12.1,,3.7,,7.4,,93,,35,,0,\N,0,,0,,0,,0.03,,1.4,,0.01,K,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,12/1/97,0:00:00,Yes,0.1,13,,4.1,,5.6,,89,,84,R,0,\N,0,,0,,0,,0.01,K,0.99,,0.01,K,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,1/5/98,0:00:00,Yes,0.1,9.6,,4.1,,9.1,,82,,20,,0,\N,0,,0,,0,,0,,0.77,,0.01,K,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,2/9/98,0:00:00,Yes,0.1,7.8,,4.2,,9.4,,70,,5,,0,\N,0,,0,,0,,0,,0.65,,0.01,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,3/9/98,0:00:00,Yes,0.1,18,,4,,6.2,,56,,18,,0,\N,0,,0,,0,,0,,0.71,,0.01,K,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,4/6/98,0:00:00,Yes,0.1,15.1,,4,,7.2,,62,,9,,0,\N,0,,0,,0,,0,,0.79,,0.01,K,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,5/4/98,0:00:00,Yes,0.1,18,,4,,6.6,,63,,30,,0,\N,0,,1,K,0,,0,,0.8,,0.01,K,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8981000,6/8/98,0:00:00,Yes,0.1,19.9,,4,,5.9,,62,,28,,0,\N,0,,2,,0,,0.17,,1.24,,0.01,K,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
