Data was downloaded on July 1 2026 1:59 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9090000/LCFRP_NC403,3030007,35.1784,-77.9807,"Northeast Cape Fear River at NC 403 nr Williams",Duplin,Dns Mt. Olive WWTP; DWQ ambient stn,C Sw,CPF21,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B9090000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B9090000,5/7/97,0:00:00,Yes,0.1,20.5,,6.2,,2,,752,,21,,0,\N,0,,0,,0,,0.06,,0.88,,0.25,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,6/11/97,0:00:00,Yes,0.1,20.5,,6.2,,2,,752,,21,,0,\N,0,,0,,0,,0.06,,0.88,,0.25,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,7/9/97,0:00:00,Yes,0.1,26.8,,6.1,,0.8,,788,,118,,0,\N,0,,0,,0,,0.37,,2.04,,0.11,,0.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,8/7/97,0:00:00,Yes,0.1,23.6,,6.5,,0.6,,1020,,200,,0,\N,0,,0,,0,,0.36,,1.5,,0.08,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,9/4/97,0:00:00,Yes,0.1,22.3,,6.4,,0.6,,834,,940,,0,\N,0,,0,,0,,0.37,,2.13,,0.03,,0.98,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,10/2/97,0:00:00,Yes,0.1,17.8,,6.3,,2.1,,738,,74,,0,\N,0,,0,,0,,0.12,,1.42,,0.01,,0.42,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,11/13/97,0:00:00,Yes,0.1,11.8,,6.8,,4.9,,398,,178,,0,\N,0,,0,,0,,0.07,,1.3,,0.14,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,12/4/97,0:00:00,Yes,0.1,11.8,,5.7,,4.5,,366,,21,,0,\N,0,,0,,0,,0.02,,2.06,,0.12,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,1/6/98,0:00:00,Yes,0.1,11.9,,6.5,,8.3,,288,,23,,0,\N,0,,0,,0,,0,,0.69,,1.4,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,2/12/98,0:00:00,Yes,0.1,11,,6.4,,8.5,,182,,12,,0,\N,0,,0,,0,,0,,0.46,,1.88,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,3/12/98,0:00:00,Yes,0.1,8.7,,6.4,,10,,125,,21,,0,\N,0,,0,,0,,0,,0.65,,1.44,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,4/9/98,0:00:00,Yes,0.1,18.6,,6.4,,4.5,,165,,260,,0,\N,0,,0,,0,,0,,0.64,,0.42,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,5/7/98,0:00:00,Yes,0.1,20.5,,6.3,,5.4,,210,,26,,0,\N,0,,3,,0,,0,,0.57,,0.31,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9090000,6/11/98,0:00:00,Yes,0.1,22.9,,6.1,,0.8,,402,,55,,0,\N,0,,15,,0,,0.09,,0.66,,0.01,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
