Data was downloaded on July 1 2026 1:59 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9130000/LCFRP_PB,3030007,35.1345,-78.1363,"Panther Branch nr Faison",Duplin,"Sample from Dean Foods access Rd, dns Dean wwtp",C Sw,CPF22,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B9130000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B9130000,7/31/96,0:00:00,Yes,0.1,28.3,,0,,4.7,,1900,,140,,0,\N,0,,0,,0,,0.07,,1.1,,0.06,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,9/18/96,0:00:00,Yes,0.1,23.3,,6.4,,3.9,,260,,91,,0,\N,0,,0,,0,,0.16,,1.8,,0.32,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,10/16/96,0:00:00,Yes,0.1,18.1,,6.7,,6.8,,730,,127,,0,\N,0,,0,,0,,0.08,,0.72,,0.53,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,11/14/96,0:00:00,Yes,0.1,6.7,,7.2,,8.8,,810,,63,,0,\N,0,,0,,0,,0.04,,1,,0.84,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,12/11/96,0:00:00,Yes,0.1,8.2,,7.4,,10.3,,720,,19,,0,\N,0,,0,,0,,0.05,,0.81,,1.8,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,1/8/97,0:00:00,Yes,0.1,6.7,,7.3,,8.3,,980,,54,,0,\N,0,,0,,0,,0.02,,0.81,,0.96,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,2/5/97,0:00:00,Yes,0.1,13.2,,0,,9.5,,1330,,37,,0,\N,0,,0,,0,,0.02,,0.74,,1.5,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,3/12/97,0:00:00,Yes,0.1,15,,0,,8.6,,1600,,98,,0,\N,0,,0,,0,,0.04,,0.87,,0.05,K,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,4/9/97,0:00:00,Yes,0.1,17.1,,6.4,,4.3,,1500,,36,,0,\N,0,,0,,0,,0.04,,0.62,,0.05,K,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,5/7/97,0:00:00,Yes,0.1,19.3,,6.5,,3.8,,2072,,78,,0,\N,0,,0,,0,,0.04,,0.5,,0.05,K,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,6/11/97,0:00:00,Yes,0.1,21.2,,6.5,,3.7,,4300,,25,,0,\N,0,,0,,0,,0.02,,1.32,,0.09,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,7/9/97,0:00:00,Yes,0.1,28.6,,6.6,,5.2,,6800,,70,,0,\N,0,,0,,0,,0.15,,1.74,,0.01,K,0.39,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,8/7/97,0:00:00,Yes,0.1,24.8,,6.5,,2.8,,3530,,54,,0,\N,0,,0,,0,,0.1,,1.2,,0.19,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9130000,9/4/97,0:00:00,Yes,0.1,23.3,,6.5,,1,,6100,,143,,0,\N,0,,0,,0,,0.23,,1.33,,0.31,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
