Data was downloaded on June 30 2026 2:47 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9191000/LCFRP_GS,3030007,35.02808,-77.8516,"Goshen Swamp at NC 11 and NC 903 nr Kornegay",Duplin,Major trib to NE CFR; Ag. and Hog ops in watershed,C Sw,CPF22,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B9191000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B9191000,1/5/99,11:50:00,Yes,0.1,2.8,,0,,12.6,,164,,56,,0,\N,0,,2,,0,,0.02,,0.44,,0.12,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,2/2/99,10:10:00,Yes,0.1,11.2,,5.9,,8.9,,101,,130,,0,\N,0,,1,K,0,,0.04,,0.56,,0.53,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,3/4/99,10:50:00,Yes,0.1,8,,5.8,,12.3,,119,,16,,0,\N,0,,1,K,0,,0.04,,0.68,,0.01,K,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,4/15/99,0:00:00,Yes,0.1,16.4,,6.5,,7.1,,142,,27,,0,\N,0,,1,K,0,,0.1,,0.84,,0.01,K,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,5/13/99,11:08:00,Yes,0.1,21.4,,5.9,,4.6,,179,,58,,0,\N,0,,1,K,0,,0.1,,0.83,,0.06,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,6/10/99,0:25:00,Yes,0.1,26.4,,6.6,,4.9,,208,,600,L,0,\N,0,,18,,0,,0.14,,1.6,,0.06,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,7/12/99,11:00:00,Yes,0.1,24.4,,6.1,,0.4,,234,,600,L,0,\N,0,,6,,0,,1.1,,2.06,,0.01,K,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,8/9/99,10:05:00,Yes,0.1,27.1,,6.3,,3,,171,,146,,0,\N,0,,6,,0,,0.15,,1.74,,0.01,K,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,9/9/99,11:35:00,Yes,0.1,25.3,,5.8,,2.2,,120,,75,,0,\N,0,,1,K,0,,0.04,,1.11,,0.01,K,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,10/4/99,10:00:00,Yes,0.1,21,,5.3,,3.4,,73,,19,,0,\N,0,,1,K,0,,0.09,,0.85,,0.05,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,11/1/99,0:27:00,Yes,0.1,19,,5.9,,6.7,,31,,23,,0,\N,0,,1,K,0,,0.07,,0.62,,0.31,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,12/9/99,11:50:00,Yes,0.1,7.4,,5.3,,10.7,,130,,34,,0,\N,0,,1,K,0,,0.08,,0.55,,0.18,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,1/6/00,10:45:00,Yes,0.1,7.3,,5.6,,9.9,,136,,29,,0,\N,0,,1,K,0,,0.04,,0.52,,0.17,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,2/10/00,11:26:00,Yes,0.1,8.2,,6.2,,12.6,,92,,15,,0,\N,0,,1,K,0,,0.04,,0.39,,1.18,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,3/9/00,10:15:00,Yes,0.1,16.1,,6.5,,6.2,,125,,6,,0,\N,0,,1,K,0,,0.07,,0.7,,0.05,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,4/6/00,11:35:00,Yes,0.1,14,,6.5,,9.2,,124,,15,,0,\N,0,,1,K,0,,0.07,,0.76,,0.28,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,5/1/00,11:00:00,Yes,0.1,18.5,,6.4,,7.8,,104,,15,,0,\N,0,,1,K,0,,0.17,,0.52,,0.19,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,6/12/00,10:30:00,Yes,0.1,24.2,,6.6,,4.2,,164,,104,,0,\N,0,,5,,0,,0.04,,0.65,,0.01,K,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,7/10/00,11:15:00,Yes,0.1,25.4,,6.4,,3.1,,205,,128,,0,\N,0,,1,K,0,,0.13,,0.87,,0.07,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,8/7/00,11:30:00,Yes,0.1,27.5,,6.2,,3.4,,194,,70,,0,\N,0,,1,K,0,,0.03,,1.84,,0.01,K,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,9/7/00,0:50:00,Yes,0.1,21.4,,6.1,,5,,153,,390,,0,\N,0,,1,K,0,,0.11,,0.71,,0.01,K,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,10/10/00,13:20:00,Yes,0.1,12.5,,6.7,,8.6,,134,,44,,0,\N,0,,1,K,0,,0.02,,0.67,,0.01,K,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,11/8/00,0:45:00,Yes,0.1,17,,6.4,,5.9,,163,,82,,0,\N,0,,6,,0,,0.04,,0.7,,0.01,K,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,12/5/00,11:15:00,Yes,0.1,2.1,,6.7,,11.9,,163,,102,,0,\N,0,,1,K,0,,0.02,,0.63,,0.01,K,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,1/9/01,10:55:00,Yes,0.1,4,,6.5,,11.6,,132,,57,,0,\N,0,,2,,0,,0.01,K,0.38,,0.01,K,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,2/5/01,11:45:00,Yes,0.1,7.6,,6.6,,10.6,,139,,120,,0,\N,0,,2,,0,,0.05,,0.57,,0.01,K,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,3/5/01,0:05:00,Yes,0.1,11.6,,6.8,,9.1,,102,,40,,0,\N,0,,1,K,0,,0.05,,0.67,,0.11,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9191000,4/2/01,11:15:00,Yes,0.1,11.7,,6.6,,10.8,,95,,23,,0,\N,0,,1,K,0,,0.03,,0.59,,0.3,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
