Data was downloaded on July 1 2026 2:00 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9191500/LCFRP_SAR,3030007,34.9801,-77.8622,"Northeast Cape Fear River SR 1700 nr Sarecta",Duplin,Dns Guilford Mills and Cogentrix WWTPs,C Sw,CPF22,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B9191500	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B9191500,7/8/96,0:00:00,Yes,0.1,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,2,K,5,K,4,,10,K,10,K,17,,300,,1710,,0,,2.4,,29,,0,
B9191500,7/31/96,0:00:00,Yes,0.1,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.1,,0,,0,,0,,2,K,5,K,2,K,10,K,10,K,24,,260,,1900,,0,,0.2,,10,K,0,
B9191500,9/18/96,0:00:00,Yes,0.1,0,,0,,0,,90,,0,,0,\N,0,,0,,0,,0.05,,0,,0,,0,,2,K,5,K,6,,10,K,10,K,12,,400,,1800,,0,,0,,10,K,0,
B9191500,10/16/96,0:00:00,Yes,0.1,0,,0,,4,,90,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,2,K,5,K,2,K,10,K,10,K,10,K,390,,1000,,0,,0,,10,K,0,
B9191500,11/14/96,0:00:00,Yes,0.1,0,,6.9,,0,,120,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,2,K,5,K,2,K,10,K,10,K,180,,410,,1100,,0,,0,,10,K,0,
B9191500,12/11/96,0:00:00,Yes,0.1,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0,,0,,0,,0.07,,2,K,5,K,2,K,10,K,10,K,36,,220,,760,,0,,0,,10,K,0,
B9191500,1/8/97,0:00:00,Yes,0.1,0,,0,,0,,120,,0,,0,\N,0,,0,,0,,0,,0,,0.58,,0,,2,K,5,K,2,K,10,K,10,K,82,,260,,940,,0,,0.4,,10,K,0,
B9191500,2/5/97,0:00:00,Yes,0.1,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0.02,,0.81,,0,,0,,2,K,5,K,2,K,10,K,10,K,10,K,220,,910,,0,,0.2,K,10,K,0,
B9191500,3/12/97,0:00:00,Yes,0.1,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,1,K,5,K,2,K,10,K,10,K,10,K,320,,1400,,0,,0.2,K,10,K,0,
B9191500,4/9/97,0:00:00,Yes,0.1,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,2,K,5,K,6,,10,K,10,K,14,,300,,1400,,0,,0.2,K,10,K,0,
B9191500,5/7/97,0:00:00,Yes,0.1,0,,0,,0,,0,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,2,K,5,K,2,,10,K,10,K,10,K,180,,1200,,0,,0.2,K,10,K,0,
