Data was downloaded on July 1 2026 2:00 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9430000/LCFRP_ROC,3030007,34.7168,-77.9795,"Rockfish Creek at US 117 nr Wallace",Duplin,Ups Wallace WWTP2,C Sw,CPF22,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B9430000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B9430000,7/8/96,0:00:00,Yes,0.1,24.6,,6.6,,6.2,,120,,34,,0,\N,0,,0,,0,,0.04,,1.2,,0.77,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,7/31/96,0:00:00,Yes,0.1,26,,0,,3.7,,80,,100,,0,\N,0,,0,,0,,0.08,,0.97,,0.17,,0.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,9/18/96,0:00:00,Yes,0.1,23.5,,6.2,,0.9,,80,,21,,0,\N,0,,0,,0,,0.46,,2.5,,0.07,,0.49,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,10/16/96,0:00:00,Yes,0.1,18,,6.3,,4.7,,80,,56,,0,\N,0,,0,,0,,0.13,,1.1,,0.51,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,11/14/96,0:00:00,Yes,0.1,8.3,,7.1,,9.5,,130,,110,,0,\N,0,,0,,0,,0.04,,0.72,,0.82,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,12/11/96,0:00:00,Yes,0.1,7.7,,7.3,,10.1,,90,,169,,0,\N,0,,0,,0,,0.01,K,1,,0.63,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,1/8/97,0:00:00,Yes,0.1,10.2,,7.3,,8.7,,100,,70,,0,\N,0,,0,,0,,0.03,,0.96,,0.8,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,2/5/97,0:00:00,Yes,0.1,12.3,,0,,8.8,,100,,60,,0,\N,0,,0,,0,,0.01,,0.74,,0.68,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,3/12/97,0:00:00,Yes,0.1,16.8,,0,,7.2,,105,,72,,0,\N,0,,0,,0,,0.11,,1.04,,0.73,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,4/9/97,0:00:00,Yes,0.1,17.6,,6.8,,5.9,,106,,13,,0,\N,0,,0,,0,,0.02,,0.73,,0.73,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,5/7/97,0:00:00,Yes,0.1,19.6,,6.8,,6.2,,102,,19,,0,\N,0,,0,,0.5,,0.05,,0.76,,0.25,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,6/11/97,0:00:00,Yes,0.1,20.6,,7,,6.5,,172,,35,,0,\N,0,,0,,0,,0.03,,0.94,,0.68,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,7/9/97,0:00:00,Yes,0.1,28,,7.2,,5.9,,207,,56,,0,\N,0,,0,,0,,0.1,,0.91,,0.09,,0.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,8/7/97,0:00:00,Yes,0.1,24.4,,6.7,,4.7,,143,,12,,0,\N,0,,0,,0,,0.1,,1.2,,0.71,,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,9/4/97,0:00:00,Yes,0.1,26.5,,6.1,,3.6,,307,,9,,0,\N,0,,0,,0,,0.4,,1.78,,1.1,,0.46,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,10/2/97,0:00:00,Yes,0.1,20.2,,6.3,,4.7,,82,,88,,0,\N,0,,0,,0,,0.03,,1.36,,0.16,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,11/13/97,0:00:00,Yes,0.1,12.6,,7.3,,7.8,,146,,600,L,0,\N,0,,0,,0,,0.13,,1.31,,0.67,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,12/4/97,0:00:00,Yes,0.1,11.2,,5.6,,7,,104,,110,,0,\N,0,,0,,0,,0.03,,1.39,,0.25,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,1/6/98,0:00:00,Yes,0.1,11,,6.6,,10.1,,103,,40,,0,\N,0,,0,,0,,0,,0.67,,0.73,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9430000,2/12/98,0:00:00,Yes,0.1,11.6,,6.6,,8.6,,72,,180,,0,\N,0,,0,,0,,0,,0.63,,0.74,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
