Data was downloaded on July 1 2026 1:58 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9460000/LCFRP_LRC,3030007,34.7224,-77.9814,"Little Rockfish Creek at NC 11 nr Wallace",Duplin,Ups Wallace WWTP1; benthic stn,C Sw,CPF22,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B9460000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B9460000,7/8/96,0:00:00,Yes,0.1,26.6,,7.4,,7.5,,1200,,251,,0,\N,1.3,,0,,6.1,,0.12,,2.8,,4.7,,1.1,,2,K,5,K,23,,10,K,10,K,52,,110,,1370,,0,,0.7,,36,,0,
B9460000,7/31/96,0:00:00,Yes,0.1,26.6,,0,,5.7,,690,,250,,0,\N,13.5,,0,,10.4,,0.17,,2.4,,0.24,,0.61,,2,K,5,K,6,,10,K,10,K,19,,200,,1500,,0,,0.2,,10,K,0,
B9460000,9/18/96,0:00:00,Yes,0.1,23.7,,7.1,,5.5,,590,,1100,,0,\N,13,,0,,3.2,,0.19,,2.1,,0.43,,0.59,,2,K,5,K,13,,10,K,10,K,20,,520,,2500,,0,,0,,10,K,0,
B9460000,10/16/96,0:00:00,Yes,0.1,20.3,,7.2,,7.1,,880,,107,,0,\N,4.3,,0,,1.8,,0.23,,1.9,,0.54,,0.64,,2,K,5,K,2,K,10,K,10,K,10,K,360,,1000,,0,,0,,10,K,0,
B9460000,11/14/96,0:00:00,Yes,0.1,13.6,,8,,6.9,,1890,,240,L,0,\N,4,,0,,4.5,,0.69,,5.9,,0.2,,1.3,,2,K,37,,41,,10,K,10,K,180,,160,,800,,0,,0,,10,K,0,
B9460000,12/11/96,0:00:00,Yes,0.1,10.5,,7.9,,9.6,,780,,28,,0,\N,4.9,,0,,0.8,,0.07,,1.9,,0.87,,0.51,,2,K,5,K,20,,10,K,10,K,44,,210,,950,,0,,0,,10,K,0,
B9460000,1/8/97,0:00:00,Yes,0.1,10.6,,7.8,,9,,570,,78,,0,\N,3,,0,,1.7,,0.06,,1.6,,1.2,,0.68,,2,K,5,K,2,K,10,K,10,K,21,,190,,780,,0,,0.2,,10,K,0,
B9460000,2/5/97,0:00:00,Yes,0.1,13.9,,0,,8.6,,610,,120,,0,\N,4,,0,,2,,0.04,,1.7,,0.48,,0.62,,2,K,5,K,2,K,10,K,10,K,27,,250,,1000,,0,,0.2,K,10,K,0,
B9460000,3/12/97,0:00:00,Yes,0.1,18.5,,0,,8.4,,1233,,1280,L,0,\N,3.1,,0,,7.3,,0.08,,3.32,,1.9,,1.2,,1,K,5,K,22,,10,K,10,K,41,,160,,1100,,0,,0.2,K,10,K,0,
B9460000,4/9/97,0:00:00,Yes,0.1,18.1,,7.8,,7.2,,2950,,300,L,0,\N,7.7,,0,,1.3,,0.11,,7.6,,7.3,,2.3,,2,K,5,K,56,,10,K,10,K,67,,140,,1300,,0,,0.2,K,10,K,0,
