Data was downloaded on June 30 2026 2:46 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9500000/LCFRP_BCRR,3030007,34.56334,-77.93481,"Burgaw Creek at SR 1345 Wright St. at Burgaw",Pender,Ups Burgaw WWTP,C Sw,CPF23,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B9500000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B9500000,7/8/96,0:00:00,Yes,0.1,25.3,,6.3,,6.7,,50,,178,,0,\N,28,,0,,1.1,,0.03,,1.1,,0.06,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,7/31/96,0:00:00,Yes,0.1,26.4,,0,,5.5,,60,,130,,0,\N,26,,0,,1.7,,0.06,,1.6,,0.12,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,9/18/96,0:00:00,Yes,0.1,22.4,,5.9,,4.3,,70,,69,,0,\N,20,,0,,0.6,,0.06,,1.5,,0.11,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,10/16/96,0:00:00,Yes,0.1,18,,6.5,,7,,70,,73,,0,\N,13,,0,,0.6,,0.14,,0.97,,0.29,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,11/14/96,0:00:00,Yes,0.1,8.3,,7.2,,9.5,,110,,120,,0,\N,30,,0,,1.1,,0.14,,0.56,,0.09,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,12/11/96,0:00:00,Yes,0.1,10.3,,7.3,,9.9,,150,,245,,0,\N,71,,0,,1.1,,0.1,,1.5,,0.73,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,1/8/97,0:00:00,Yes,0.1,7.3,,7.4,,10.6,,140,,40,,0,\N,15.6,,0,,0.9,,0.08,,0.66,,0.26,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,2/5/97,0:00:00,Yes,0.1,14.6,,0,,9.1,,160,,180,,0,\N,12,,0,,3.5,,0.08,,0.66,,1.2,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,3/12/97,0:00:00,Yes,0.1,15.3,,0,,8.2,,141,,2200,L,0,\N,17,,0,,1.4,,0.33,,0.87,,0.17,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,4/9/97,0:00:00,Yes,0.1,15,,6.6,,4.4,,185,,300,L,0,\N,26,,0,,4.4,,0.18,,1.01,,0.18,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,5/7/97,0:00:00,Yes,0.1,19.7,,7.1,,6.8,,199,,238,,0,\N,25,,0,,3.1,,0.16,,1.12,,0.31,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,6/11/97,0:00:00,Yes,0.1,18,,7,,3.7,,230,,3200,,0,\N,0,,0,,23.9,,0.19,,1.35,,0.2,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,7/9/97,0:00:00,Yes,0.1,24.7,,7.6,,1.2,,611,,40,,0,\N,7.8,,0,,103.7,,0.98,,2.34,,0.01,,0.41,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,8/7/97,0:00:00,Yes,0.1,23.9,,7,,4.1,,166,,600,,0,\N,15,,0,,4.1,,0.28,,1.4,,0.11,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,9/4/97,0:00:00,Yes,0.1,23.3,,7.4,,1.6,,291,,4800,L,0,\N,35.1,,0,,6.5,,0.2,,1.57,,0.36,,0.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,10/2/97,0:00:00,Yes,0.1,18.3,,6.5,,6.8,,64,,52,,0,\N,24.1,,0,,2.4,,0.1,,1.22,,0.06,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,11/13/97,0:00:00,Yes,0.1,12.3,,7.3,,7.9,,190,,2100,,0,\N,31.2,,0,,1.7,,0.16,,1.23,,0.23,,0.24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,12/4/97,0:00:00,Yes,0.1,13,,6.4,,7.3,,133,,42,,0,\N,40,,0,,0.6,,0.04,,1.84,,0.19,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,1/6/98,0:00:00,Yes,0.1,12.9,,6.6,,8.8,,90,,7,,0,\N,16,,0,,0.5,,0,,0.73,,0.03,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,2/12/98,0:00:00,Yes,0.1,14.3,,6.6,,8.8,,83,,65,,0,\N,17.5,,0,,1.2,,0,,0.49,,0.13,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,3/12/98,0:00:00,Yes,0.1,6.8,,6.1,,10.5,,60,,42,,0,\N,14,,0,,1.1,,0,,0.53,,0.58,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,4/9/98,0:00:00,Yes,0.1,20.7,,6.9,,7.2,,120,,2200,,0,\N,35,,0,,10.2,,0,,1.05,,0.11,,0.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,5/7/98,0:00:00,Yes,0.1,21.1,,7.1,,8.6,,102,,66,,0,\N,17,,9,,16,,0,,0.49,,0.23,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,6/11/98,0:00:00,Yes,0.1,22.9,,7,,4.3,,283,,600,L,0,\N,33,,9,,7.9,,0.1,,0.63,,0.26,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,7/9/98,0:00:00,Yes,0.1,26.6,,7.5,,4.6,,159,,200,,0,\N,22,,5,,9.2,,0.1,,0.57,,0.01,K,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,8/10/98,0:00:00,Yes,0.1,26.3,,7.6,,4.5,,231,,600,L,0,\N,52,,10,,6.7,,0.06,,0.81,,0.24,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,9/3/98,0:00:00,Yes,0.1,24.4,,6.5,,6.5,,74,,600,L,0,\N,6.2,,17,,3.7,,0.08,,1.02,,0.01,K,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9500000,10/8/98,0:00:00,Yes,0.1,21.6,,7.4,,2.4,,488,,115,,0,\N,20,,4,,52.1,,0.05,,1.04,,0.02,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
