Data was downloaded on June 30 2026 2:43 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9520000/LCFRP_BC117,3030007,34.5637,-77.922,"Burgaw Creek at US 117 at Burgaw",Pender,DWQ ambient stn; dns Burgaw WWTP,C Sw,CPF23,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B9520000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B9520000,7/8/96,0:00:00,Yes,0.1,25.6,,6.9,,6.6,,290,,83,,0,\N,26.5,,0,,1,,1.1,,2.9,,1.4,,0.6,,2,K,5,K,2,,10,K,10,K,27,,310,,1480,,0,,0.9,,33,,0,
B9520000,7/31/96,0:00:00,Yes,0.1,26.1,,0,,5.9,,110,,91,,0,\N,26,,0,,1.2,,0.11,,1,,0.44,,0.23,,2,K,5,K,2,K,10,K,10,K,15,,820,,2000,,0,,0.8,,10,K,0,
B9520000,9/18/96,0:00:00,Yes,0.1,22.7,,6.9,,4.9,,150,,51,,0,\N,17,,0,,0.6,,0.09,,1.5,,0.47,,0.28,,2,K,5,K,13,,10,K,10,K,130,,700,,2500,,0,,0,,10,K,0,
B9520000,10/16/96,0:00:00,Yes,0.1,18.7,,7.2,,6.7,,180,,720,,0,\N,280,,0,,1,,0.31,,1.5,,0.99,,0.24,,2,K,5,K,2,K,10,K,10,K,10,K,1800,,2500,,0,,0,,10,K,0,
B9520000,11/14/96,0:00:00,Yes,0.1,11,,7.6,,9.4,,480,,148,,0,\N,14.6,,0,,1.8,,0.35,,1.5,,1.7,,0.67,,2,K,30,,2,K,10,K,10,K,210,,490,,1600,,0,,0,,10,K,0,
B9520000,12/11/96,0:00:00,Yes,0.1,11,,7.5,,9.9,,240,,76,,0,\N,14.2,,0,,0.8,,0.1,,1.1,,0.61,,0.19,,2,K,5,K,2,K,10,K,10,K,36,,330,,1200,,0,,0,,10,K,0,
B9520000,1/8/97,0:00:00,Yes,0.1,8.8,,7.5,,9.7,,250,,240,L,0,\N,13.8,,0,,1.8,,0.27,,0.96,,0.8,,0.26,,2,K,5,K,2,K,10,K,10,K,30,,460,,1500,,0,,0.2,K,10,K,0,
B9520000,2/5/97,0:00:00,Yes,0.1,14.8,,0,,8.6,,240,,45,,0,\N,14,,0,,2.4,,0.21,,1,,0.86,,0.23,,2,K,5,K,2,K,10,K,10,K,21,,610,,1400,,0,,0.2,K,10,K,0,
B9520000,3/12/97,0:00:00,Yes,0.1,20.7,,0,,7.8,,562,,2,K,0,\N,14,,0,,3.2,,2,,3.3,,1.7,,0.95,,1,K,5,K,2,K,10,K,10,K,25,,260,,1500,,0,,0.2,K,10,K,0,
B9520000,4/9/97,0:00:00,Yes,0.1,15.5,,7.2,,1.1,,602,,300,L,0,\N,11,,0,,14.2,,4,,5.3,,1.5,,1.5,,2,K,5,K,5,,10,K,10,K,20,,320,,1500,,0,,0.2,K,10,K,0,
B9520000,5/7/97,0:00:00,Yes,0.1,24.2,,7.5,,5.7,,578,,20,,0,\N,16,,0,,4.2,,4.2,,4.3,,3.3,,0.99,,2,K,5,K,6,,10,K,10,K,29,,560,,1700,,0,,0.2,K,10,K,0,
B9520000,6/11/97,0:00:00,Yes,0.1,26.6,,7.9,,6.5,,840,,2,K,0,\N,7.2,,0,,5.2,,1.1,,3.11,,1.5,,2.1,,2,K,5,K,8,,10,K,10,K,42,,240,,1100,,0,,0.2,K,10,K,0,
B9520000,7/9/97,0:00:00,Yes,0.1,31,,7.9,,4.2,,1053,,920,L,0,\N,9,,0,,12.4,,9.9,,10.5,,0.25,,2.5,,2,K,5,K,5,,10,K,5,K,22,,210,,690,,0,,0.2,K,10,K,0,
B9520000,8/7/97,0:00:00,Yes,0.1,25.6,,7.8,,4.9,,805,,16,,0,\N,16,,0,,2.7,,5,,7.2,,1.4,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2,K,0,,0,
B9520000,9/4/97,0:00:00,Yes,0.1,25,,7.8,,4.4,,840,,4,K,0,\N,18.3,,0,,1.6,,2.6,,5.09,,4,,4,,0,,0,,0,,0,,0,,36,,0,,0,,0,,0.2,K,0,,0,
B9520000,10/2/97,0:00:00,Yes,0.1,20.6,,7.6,,6.5,,483,,90,,0,\N,14.9,,0,,1.7,,0.57,,1.77,,4.6,,0.24,,0,,0,,0,,0,,0,,26,,0,,0,,0,,0.2,K,0,,0,
B9520000,11/13/97,0:00:00,Yes,0.1,12.7,,7.3,,8.4,,224,,2500,L,0,\N,28.8,,0,,1.8,,0.06,,1.21,,1.6,,0.51,,2,K,5,K,5,K,5,K,5,K,22,,470,,1060,,0,,0.2,K,5,K,0,
B9520000,12/4/97,0:00:00,Yes,0.1,12.8,,5.9,,7.5,,147,,91,,0,\N,12.7,,0,,0.5,,0.04,,0.87,,0.82,,0.13,,2,K,5,K,5,K,5,K,5,K,27,,470,,560,,0,,0.2,K,5,K,0,
