Data was downloaded on July 1 2026 1:59 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9580000/LCFRP_NCF117,3030007,34.36368,-77.89651,"Northeast Cape Fear River at US 117 at Castle Hayne",New Hanover,DWQ ambient stn; dns Elementis Chromium wwtp; sample at dock,B Sw,CPF23,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B9580000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B9580000,7/9/96,0:00:00,Yes,0.1,27.7,,0,,6.2,,0,,14,,0,\N,0,,0,,0,,0.03,,1.4,,0.32,,0.21,,2,K,5,K,2,K,10,K,10,K,10,K,540,,1380,,0,,0.6,,30,,0,
B9580000,7/30/96,0:00:00,Yes,0.1,27.5,,0,,3,,0,,63,,0,\N,0,,0,,0,,0.07,,1.4,,0.11,,0.11,,2,K,5,K,2,K,10,K,10,K,10,K,470,,1400,,0,,0.2,,10,K,0,
B9580000,9/17/96,0:00:00,Yes,0.1,23.9,,5.9,,0.4,,90,,34,,0,\N,0,,0,,0,,0.14,,2.3,,0.06,,0.38,,2,K,5,K,7,,10,K,10,K,16,,640,,2100,,0,,0,,10,K,0,
B9580000,10/15/96,0:00:00,Yes,0.1,19,,0,,4.5,,0,,40,,0,\N,0,,0,,0,,0.03,,1,,0.25,,0.12,,2,K,5,K,2,K,10,K,10,K,10,K,450,,750,,0,,0,,10,K,0,
B9580000,11/12/96,0:00:00,Yes,0.1,14.8,,0,,6,,0,,47,,0,\N,0,,0,,0,,0.09,,1,,0.14,,0.13,,2,K,5,K,2,K,10,K,10,K,52,,400,,1200,,0,,0,,10,K,0,
B9580000,12/10/96,0:00:00,Yes,0.1,9.5,,0,,8.8,,0,,33,,0,\N,0,,0,,0,,0.01,K,1.1,,0.27,,0.09,,2,K,5,K,2,K,10,K,10,K,10,K,340,,910,,0,,0,,10,K,0,
B9580000,1/7/97,0:00:00,Yes,0.1,12.7,,0,,7.9,,0,,47,,0,\N,0,,0,,0,,0.02,,0.81,,0.47,,0.1,,2,K,5,K,2,K,10,K,10,K,10,K,290,,650,,0,,0.3,,10,K,0,
B9580000,2/4/97,0:00:00,Yes,0.1,9.8,,0,,9.5,,0,,20,,0,\N,0,,0,,0,,0.01,K,0.96,,0.47,,0.05,,2,K,5,K,2,K,10,K,10,K,57,,340,,970,,0,,0.2,K,10,K,0,
B9580000,3/11/97,0:00:00,Yes,0.1,17.1,,0,,6.2,,0,,113,,0,\N,0,,0,,0,,0.01,,0.7,,0.24,,0.05,,1,K,5,K,2,K,10,K,10,K,10,K,410,,860,,0,,0.2,K,10,K,0,
B9580000,5/6/97,0:00:00,Yes,0.1,19.5,,0,,5.6,,0,,27,,0,\N,0,,0,,0,,0.05,,0.97,,0.48,,0.08,,2,K,5,K,2,,10,K,10,K,21,,320,,1200,,0,,0.2,K,10,K,0,
