Data was downloaded on July 1 2026 2:00 pm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The data contains the remarks code. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station Info:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B9980000/LCFRP_SPD,3030005,33.9173,-78.0379,"Intracoastal Waterway nr Southport",Brunswick,1000 ft W. Southport discharge,SA HQW,CPF17,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stations:B9980000	 Time Period: 1996-01-01-2026-06-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B9980000,3/10/98,0:00:00,Yes,2,14.1,,7.7,,8.9,,28200,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9980000,3/10/98,0:00:00,Yes,4,14.1,,7.7,,8.9,,28300,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9980000,3/10/98,0:00:00,Yes,0.1,14,,7.7,,8.8,,27300,,30,,0,\N,0,,0,,0,,0,,0.48,,0.08,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9980000,4/7/98,0:00:00,Yes,0.1,17.2,,7.5,,7.6,,22300,,8,,0,\N,0,,0,,0,,0,,0.48,,0.18,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9980000,4/7/98,0:00:00,Yes,2,17.1,,7.5,,7.5,,22800,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9980000,4/7/98,0:00:00,Yes,4,17,,7.5,,7.5,,22900,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9980000,5/5/98,0:00:00,Yes,0.1,23.3,,7.7,,7.3,,34700,,12,,0,\N,0,,29,,0,,0,,0.59,,0.14,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9980000,5/5/98,0:00:00,Yes,2,22.2,,7.7,,6.7,,36500,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9980000,5/5/98,0:00:00,Yes,4,22,,7.7,,6.6,,37000,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9980000,6/9/98,0:00:00,Yes,4,26,,7.7,,6.9,,43100,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B9980000,6/9/98,0:00:00,Yes,0.1,26.1,,7.7,,7.2,,43000,,27,,0,\N,0,,33,,0,,0.01,K,0.6,,0.01,K,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
