Data was downloaded on July 6 2026 1:57 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6160000/MCFRBA_01,3030004,35.54905,-79.02463,"Cape Fear River at NC 42 nr Corinth","Chatham","Above Buckhorn dam; WQ problems; former DWQ ambient stn (ambient discontinued 01/07); downstream of the Progress Energy facility","WS-IV CA",CPF07,yes

Query Results: 
Stations:B6160000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6160000,1998-07-15,00:05:00,Yes,0.1,30,,8.7,,9.5,,165,,4,,0,\N,4.6,,4.5,,30.5,,0.01,<,0.71,,0.04,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1998-07-23,17:30:00,Yes,0.1,31.9,,8.9,,7.9,,139,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1998-08-14,11:14:00,Yes,0.1,28.7,,8.7,,9.9,,173,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1998-08-17,11:35:00,Yes,0.1,29.3,,9,,11.2,,182,,28,,0,\N,4.5,,5,,35.48,,0.01,<,0.36,,0.01,<,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1998-09-10,11:05:00,Yes,0.1,25,,6.9,,5.6,,153,,12,,0,\N,12.9,,8.8,,11.3,,0.04,,0.76,,0.48,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1998-09-22,19:22:00,Yes,0.1,28.5,,9,,12.8,,220,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1998-10-14,13:15:00,Yes,0.1,22.3,,8,,9.8,,202,,19,,0,\N,11.3,,8.6,,4.32,,0.01,<,0.85,,0.43,,0.21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1998-10-26,09:45:00,Yes,0.1,17.8,,7.2,,7.4,,201,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1998-11-19,00:20:00,Yes,0.1,15.6,,7.8,,10.4,,190,,8,,0,\N,5.3,,6.2,,0,,0.01,<,0.8,,0.33,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1998-12-14,00:15:00,Yes,0.1,12.7,,7,,8,,241,,4,,0,\N,8.1,,8.4,,0,,0.05,,0.76,,0.62,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-01-12,13:30:00,Yes,0.1,5.3,,7.1,,11.1,,110,,340,,0,\N,58.4,,21.2,,0,,0.14,,0.88,,0.43,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-02-08,14:00:00,Yes,0.1,10.2,,6.4,,11.3,,145,,40,,0,\N,29.6,,22.8,,0,,0.06,,0.43,,0.33,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-03-09,11:40:00,Yes,0.1,9.2,,7,,11.2,,134,,8,,0,\N,11.6,,9.4,,0,,0.03,,0.74,,0.68,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-04-13,10:30:00,Yes,0.1,16.7,,6.9,,10.8,,134,,11,,0,\N,14.4,,14.4,,0,,0.11,,0.69,,0.35,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-05-12,10:55:00,Yes,0.1,23.7,,8.1,,10.7,,108,,11,,0,\N,9,,9.1,,2.03,,0.01,<,0.9,,0.25,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-05-24,17:45:00,Yes,0.1,24.4,,6.2,,9.7,,160,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-06-09,09:45:00,Yes,0.1,28.3,,6.4,,8.7,,160,,2,,0,\N,4.8,,4.9,,12.5,,0.02,,0.77,,0.01,<,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-06-21,14:00:00,Yes,0.1,23.5,,7,,7.1,,166,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-07-13,13:30:00,Yes,0.1,25.4,,7.1,,5.4,,226,,12,,0,\N,5.8,,6.1,,1.71,,0.13,,1.08,,0.04,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-07-28,00:00:00,Yes,0.1,31.3,,9.2,,10.2,,223,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-08-03,11:35:00,Yes,0.1,30.3,,8.9,,8.7,,218,,2,<,0,\N,5.4,,8.1,,6.48,,0.03,,0.87,,0.01,<,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-08-22,14:00:00,Yes,0.1,26.7,,8.7,,9.9,,222,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-09-08,00:40:00,Yes,0.1,22.8,,6.7,,7.9,,81,,370,,0,\N,45.3,,25.5,,3.54,,0.11,,0.81,,0.57,,0.21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-10-12,11:45:00,Yes,0.1,20.4,,6.8,,7.6,,94,,30,,0,\N,14,,6,,2.43,,0.3,,0.49,,0.43,,0.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-11-10,00:45:00,Yes,0.1,15.8,,7,,9.9,,123,,11,,0,\N,7.7,,5,,0,,0.17,,0.18,,0.36,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,1999-12-09,10:50:00,Yes,0.1,10.5,,7,,10.8,,114,,44,,0,\N,12.9,,9,,0,,0.11,,0.75,,0.41,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,2000-01-10,14:20:00,Yes,0.1,11.9,,7,,11.3,,132,,116,,0,\N,24.4,,15,,0,,0.02,,0.72,,0.58,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,2000-02-14,00:06:00,Yes,0.1,7.5,,6.9,,11.9,,69,,2100,>,0,\N,55,,53,,0,,0.03,,0.78,,0.55,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6160000,2000-03-17,10:57:00,Yes,0.1,13.1,,6.9,,10.8,,128,,98,,0,\N,8.2,,12,,0,,0.07,,0.36,,0.28,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
