Data was downloaded on July 6 2026 2:00 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6252000/MCFRBA_26,3030004,35.42810,-78.82400,"Neills Creek at US 401 nr Lillington","Harnett","Dns Kenneth Creek; significant tributary; broad Ag. Concerns","WS-IV",CPF07,yes

Query Results: 
Stations:B6252000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6252000,2001-01-22,13:25:00,Yes,0.1,6,,7.6,,9.8,,68,,180,,0,\N,2.9,,5.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2001-02-20,00:17:00,Yes,0.1,8.3,,7.2,,10.4,,94,,80,,0,\N,3.8,,2.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2001-03-13,00:06:00,Yes,0.1,14.9,,7,,10.1,,70,,75,,0,\N,6.1,,2.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2001-04-18,10:28:00,Yes,0.1,11.1,,6.9,,9.5,,100,,70,,0,\N,6.9,,2.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2001-05-09,14:15:00,Yes,0.1,18.9,,7,,7.5,,161,,46,,0,\N,5.8,,2.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2001-06-11,09:36:00,Yes,0.1,27.8,,7,,9.5,,151,,84,,0,\N,7.4,,9.9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2001-07-20,00:05:00,Yes,0.3,24.8,,7.4,,7.2,,115,,18,,0,\N,4.5,,1.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2001-08-10,11:57:00,Yes,0.3,27.8,,7.2,,7,,116,,400,,0,\N,3.8,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2001-09-28,11:55:00,Yes,0.3,17.4,,7.1,,9.7,,97,,46,,0,\N,5.2,,1.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2001-10-19,11:15:00,Yes,0.3,14.1,,6.5,,7,,85,,146,,0,\N,1.8,,3.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2001-11-27,11:50:00,Yes,0.3,16.7,,7,,7.1,,153,,34,,0,\N,2.6,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2001-12-10,00:15:00,Yes,0.3,11.4,,7.3,,7.9,,132,,32,,0,\N,2.7,,0.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2002-01-28,00:25:00,Yes,0.15,11.4,,6.5,,9.5,,85,,12,,0,\N,20,,5.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2002-02-18,11:55:00,Yes,0.15,8,,7,,10.6,,97,,72,,0,\N,3.8,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2002-03-11,00:35:00,Yes,0.3,11.6,,7,,8.3,,102,,10,,0,\N,3.4,,1.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2002-04-12,11:55:00,Yes,0.15,17.8,,6.9,,9.3,,94,,8,,0,\N,4.8,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2002-05-13,13:30:00,Yes,0.3,23.3,,6.5,,7.5,,117,,10,,0,\N,5.9,,2.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2002-06-13,00:25:00,Yes,0.15,27.1,,6.9,,7.2,,161,,680,,0,\N,6.3,,5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2002-07-04,00:10:00,Yes,0.15,28.1,,6.6,,5.5,,160,,24,,0,\N,6,,2.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2002-08-30,14:42:00,Yes,0.15,22.6,,6.7,,3.4,,240,,182,,0,\N,8.1,,6.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2002-09-12,13:55:00,Yes,0.1,23.5,,6.9,,4.8,,204,,346,B4,0,\N,8.1,,6.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6252000,2002-09-30,13:38:00,Yes,0.1,22.7,,6.6,,7.1,,203,,0,,0,\N,1.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
