Data was downloaded on July 6 2026 1:58 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6320000/MCFRBA_03,3030004,35.51435,-78.78622,"Kenneth Creek at SR 1441 Chalybeate Springs Road nr Angier","Harnett","Dns of Fuquay-Varina WWTP and Senter’s Rest Home, benthic concerns, DWQ benthos and fish site","WS-IV",CPF07,yes

Query Results: 
Stations:B6320000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6320000,1998-07-15,10:45:00,Yes,0.1,21.9,,6.7,,5.7,,116,,50,,0,\N,4.9,,3,<,0,,0.11,,0.73,,1.57,,0.7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6320000,1998-08-17,10:20:00,Yes,0.1,23.7,,6.8,,6.9,,144,,480,,0,\N,8.2,,3,<,0,,0.04,,0.54,,1.83,,0.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6320000,1998-09-10,09:30:00,Yes,0.1,18,,6.8,,7.5,,103,,101,,0,\N,8.4,,2.2,,0,,0.05,,0.43,,0.81,,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6320000,1998-10-14,00:20:00,Yes,0.1,16.7,,6.8,,7.8,,143,,62,,0,\N,10,,2.2,,0,,0.01,,0.5,,1.85,,0.53,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6320000,1998-11-19,11:05:00,Yes,0.1,11.1,,6.9,,8.8,,115,,72,,0,\N,3.1,,1,<,0,,0.01,<,0.34,,1.51,,0.42,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6320000,1998-12-14,10:25:00,Yes,0.1,9.3,,6.8,,9.6,,206,,76,,0,\N,6.5,,5.6,,0,,0.04,,0.62,,0.6,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6320000,1999-01-12,00:10:00,Yes,0.1,5.5,,6.6,,11,,91,,200,,0,\N,6.4,,3.4,,0,,0.2,,0.64,,0.8,,0.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6320000,1999-02-08,00:40:00,Yes,0.1,11.9,,6.1,,9.9,,98,,108,,0,\N,6.2,,2.7,,0,,0.04,,0.41,,1.46,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6320000,1999-03-09,10:50:00,Yes,0.1,6,,6.9,,11.8,,98,,220,,0,\N,4.7,,3,<,0,,0.01,,0.39,,1.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6320000,1999-04-13,09:30:00,Yes,0.1,14.1,,6.4,,10.9,,98,,31,,0,\N,5,,2.9,,0,,0.02,,0.42,,0.56,,0.24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
