Data was downloaded on July 6 2026 2:00 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6820050/MCFRBA_29,3030004,35.40670,-79.06280,"SR 1222 nr Broadway","Harnett","","C",,yes

Query Results: 
Stations:B6820050	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6820050,2008-07-02,13:46:00,Yes,0.1,23.2,,6.85,,7,,120,,28,,0,\N,4.7,,5,,0,,0.04,,1.08,,0.79,,0.303,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6820050,2008-08-21,14:56:00,Yes,0.1,25.6,,6.74,,6.5,,91,,51,,0,\N,3.9,,1,,0,,0.02,U,0.76,,1.03,,0.165,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6820050,2008-09-19,11:46:00,Yes,0.1,22.6,,6.16,,7,,55,,42,,0,\N,10.4,,9,,0,,0.04,,1.4,,0.1,,0.048,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6820050,2008-10-03,12:53:00,Yes,0.1,19.2,,6.28,,8.4,,63,,170,B4,0,\N,6.6,,5,,0,,0.02,U,0.72,,0.05,,0.106,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6820050,2008-11-25,13:33:00,Yes,0.1,9.1,,6.6,,11,,66,,53,,0,\N,6.4,,4,,0,,0.02,U,0.49,,0.08,,0.064,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6820050,2008-12-18,10:20:00,Yes,0.1,10.8,,6.26,,10,,66,,30,B4,0,\N,7.7,,9,,0,,0.02,U,0.82,,0.15,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6820050,2009-01-08,09:16:00,Yes,0.1,9.2,,5.99,,9.9,,63,,130,,0,\N,10.5,,9,,0,,0.02,U,0.76,,0.15,,0.023,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6820050,2009-02-16,13:23:00,Yes,0.1,10.4,,6.64,,11,,83,,22,,0,\N,6.7,,3,,0,,0.02,U,0.2,U,0.16,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6820050,2009-03-05,13:56:00,Yes,0.1,7,,5.98,,10.3,,54,,360,,0,\N,22.5,,12,,0,,0.02,U,0.86,,0.26,,0.043,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6820050,2009-04-01,13:40:00,Yes,0.1,15.4,,5.89,,8.7,,49,,400,,0,\N,33.2,,22,,0,,0.03,,0.97,,0.21,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
