Data was downloaded on July 6 2026 1:58 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B6830000/MCFRBA_06,3030004,35.32656,-78.72373,"Upper Little River at SR 2021 Titan Roberts Road nr Lillington","Harnett","Measures Upper Little River input; significant tributary; DWQ ambient and benthic station; excellent bioassessment in 1998","WS-IV",CPF13,yes

Query Results: 
Stations:B6830000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B6830000,1998-07-15,08:40:00,Yes,0.1,24.1,,6.6,,6.6,,79,,64,,0,\N,2.1,,3,<,0,,0.01,<,0.32,,0.19,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1998-08-17,08:05:00,Yes,0.1,25.4,,6.5,,6.7,,65,,88,,0,\N,3.8,,3,<,0,,0.01,<,0.36,,0.28,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1998-09-10,07:50:00,Yes,0.1,20.3,,6.5,,7.3,,49,,108,,0,\N,3.4,,1,<,0,,0.03,,0.39,,0.15,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1998-10-14,10:20:00,Yes,0.1,17.7,,6.5,,7.7,,63,,58,,0,\N,4.4,,1,<,0,,0.01,<,0.26,,0.19,,1.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1998-11-19,09:30:00,Yes,0.1,11.8,,6.3,,8.5,,50,,1080,,0,\N,3.6,,1.1,,0,,0.01,<,0.57,,0.06,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1998-12-14,08:55:00,Yes,0.1,10,,6.4,,9.3,,60,,44,,0,\N,2,,1,<,0,,0.02,,0.26,,0.07,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-01-12,10:55:00,Yes,0.1,4.9,,6.3,,11,,67,,24,,0,\N,12.9,,6.6,,0,,0.07,,0.42,,0.19,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-02-08,10:45:00,Yes,0.1,11,,5.1,,10,,60,,32,,0,\N,10.5,,4,,0,,0.01,<,0.33,,0.25,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-03-09,09:30:00,Yes,0.1,8,,6.1,,10.9,,51,,25,,0,\N,3.3,,1,,0,,0.03,,0.31,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-04-13,07:45:00,Yes,0.1,17.4,,6.3,,10.3,,53,,9,,0,\N,5.9,,4.4,,0,,0.04,,0.36,,0.13,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-05-12,08:05:00,Yes,0.1,19.7,,6.3,,7.5,,78,,25,,0,\N,4.1,,3,<,0,,0.08,,0.59,,0.54,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-06-09,06:40:00,Yes,0.1,24.5,,5.6,,6.4,,94,,156,,0,\N,2.3,,3,<,0,,0.01,,0.26,,0.84,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-07-13,10:50:00,Yes,0.1,21.5,,6.8,,7.3,,99,,21,,0,\N,2.6,,1,<,0,,0.02,,0.31,,0.35,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-08-03,08:15:00,Yes,0.1,25.7,,6.6,,5.6,,112,,88,,0,\N,1.9,,1,<,0,,0.02,,0.26,,0.1,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-09-08,09:40:00,Yes,0.1,23.4,,6.1,,6.1,,59,,191,,0,\N,19.1,,26.9,,0,,0.03,,0.6,,0.11,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-10-12,07:50:00,Yes,0.1,19.1,,6.1,,7.5,,44,,61,,0,\N,7.1,,5,,0,,0.01,<,0.63,,0.13,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-11-10,08:30:00,Yes,0.1,12.3,,5.9,,9.7,,42,,44,,0,\N,4.7,,5,<,0,,0.03,,0.16,,0.12,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,1999-12-09,08:00:00,Yes,0.1,8,,6.4,,10.6,,38,,89,,0,\N,5.2,,5,<,0,,0.06,,0.32,,0.14,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-01-10,11:11:00,Yes,0.1,10.7,,6.2,,10.5,,47,,600,>,0,\N,29.5,,16,,0,,0.01,<,0.68,,0.18,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-02-14,08:35:00,Yes,0.1,7.1,,6.1,,10.9,,36,,208,,0,\N,9.7,,5,<,0,,0.01,<,0.19,,0.4,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-03-17,15:07:00,Yes,0.1,15.2,,6.2,,9,,49,,660,,0,\N,17.2,,16,,0,,0.13,,0.58,,0.27,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-04-21,09:30:00,Yes,0.1,17.1,,6.2,,8.2,,45,,56,,0,\N,7.5,,9,,0,,0.04,,0.47,,0.11,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-05-02,10:00:00,Yes,0.1,16.8,,6.4,,8.1,,44,,81,,0,\N,6.1,,5,,0,,0.07,,0.3,,0.24,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-06-20,11:50:00,Yes,0.1,25.3,,6.7,,6.8,,96,,152,,0,\N,4.5,,3,<,0,,0.02,,0.28,,0.37,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-07-11,09:40:00,Yes,0.1,26.3,,6.7,,6.4,,88,,335,,0,\N,3.7,,3,<,0,,0.01,,0.1,<,0.2,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-08-21,13:00:00,Yes,0.1,23,,6.3,,7.4,,74,,24,,0,\N,4.8,,3,,0,,0.04,,0.61,,0.39,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-09-25,13:36:00,Yes,0.1,22.6,,5.9,,6.4,,46,,200,,0,\N,17,,14.2,,0,,0.04,,0.95,,0.14,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-10-17,11:15:00,Yes,0.1,14.8,,6.3,,10.3,,64,,46,,0,\N,4,,20,,0,,0.01,,0.76,,0.3,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-11-20,13:47:00,Yes,0.1,8.1,,7,,11.8,,47,,140,,0,\N,5.1,,2.5,,0,,0.01,,0.36,,0.2,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2000-12-12,10:22:00,Yes,0.1,7.3,,7.1,,10.6,,47,,53,,0,\N,4.2,,2.5,,0,,0.15,,0.62,,0.11,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2001-01-10,13:16:00,Yes,0.1,2.9,,7.7,,10.2,,57,,17,,0,\N,3.8,,2.5,,0,,0.06,,0.16,,0.38,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2001-01-22,14:00:00,Yes,0.1,7.4,,7.3,,9.2,,38,,150,,0,\N,8.1,,2.5,,0,,0.01,,0.41,,0.16,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2001-02-20,11:14:00,Yes,0.1,8.5,,7,,10.9,,58,,90,,0,\N,7.6,,7,,0,,0.03,,0.85,,0.13,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2001-03-13,11:28:00,Yes,0.1,12.3,,6.5,,9.9,,45,,38,,0,\N,4.5,,2.5,,0,,0.01,,0.05,,0.06,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2001-04-18,09:29:00,Yes,0.1,14.1,,6.4,,9.1,,71,,26,,0,\N,5.8,,2.5,,0,,0.06,,0.5,,0.16,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2001-05-09,13:37:00,Yes,0.1,18.8,,6.6,,8.2,,106,,46,,0,\N,4.5,,6,,0,,0.02,,0.25,,0.29,,0.38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2001-06-11,07:53:00,Yes,0.1,22.9,,6.9,,9.4,,82,,66,,0,\N,4,,11.9,,0,,0.02,,0.71,,0.63,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2001-07-20,10:30:00,Yes,0.1,24.4,,6.9,,6.6,,77,,27,,0,\N,2.8,,1.5,,0,,0.04,,0.4,,0.3,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2001-08-10,10:10:00,Yes,0.3,26.7,,5.9,,6,,132,,200,,0,\N,1.1,,2,,0,,0.04,,0.2,,0.31,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B6830000,2001-09-28,10:35:00,Yes,0.3,19.3,,6.6,,8.2,,68,,46,,0,\N,3.6,,9.2,,0,,0.02,,0.2,,0.46,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
