Data was downloaded on July 6 2026 1:58 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7300000/MCFRBA_07,3030004,35.20210,-78.95300,"Lower Little River at NC 210 nr Spring Lake","Cumberland","Dns Spring Lake WWTP","C",CPF14,yes

Query Results: 
Stations:B7300000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7300000,1998-07-14,08:15:00,Yes,0.1,24,,6.7,,7.2,,69,,66,,0,\N,3.1,,3,<,0,,0.01,<,0.42,,0.44,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7300000,1998-08-17,07:40:00,Yes,0.1,25.3,,6.3,,7.4,,43,,41,,0,\N,5.2,,4.5,,0,,0.02,,0.38,,0.26,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7300000,1998-09-10,07:05:00,Yes,0.1,20.6,,6.4,,7.8,,50,,270,,0,\N,8.2,,9.8,,0,,0.05,,0.52,,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7300000,1998-10-14,09:40:00,Yes,0.1,17.9,,6.3,,7.9,,45,,48,,0,\N,3.2,,2.7,,0,,0.01,<,0.3,,0.23,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7300000,1998-11-19,09:00:00,Yes,0.1,13.2,,6.1,,8.6,,30,,111,,0,\N,5,,4.3,,0,,0.01,<,0.33,,0.04,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7300000,1998-12-14,08:20:00,Yes,0.1,10.5,,6,,9.9,,45,,325,,0,\N,5.5,,2,,0,,0.05,,0.31,,0.21,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7300000,1999-01-12,10:30:00,Yes,0.1,5,,5.8,,11.1,,37,,31,,0,\N,9.1,,4.4,,0,,0.03,,0.28,,0.13,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7300000,1999-02-08,10:00:00,Yes,0.1,11.6,,4.9,,10.5,,42,,21,,0,\N,6.8,,5.3,,0,,0.01,<,0.26,,0.12,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7300000,1999-03-09,08:55:00,Yes,0.1,7.9,,5.5,,11.4,,37,,104,,0,\N,3,,1.5,,0,,0.01,,0.26,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7300000,1999-04-13,07:15:00,Yes,0.1,18.6,,6.2,,11.1,,43,,41,,0,\N,4.4,,4.1,,0,,0.04,,0.2,,0.11,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
