Data was downloaded on July 6 2026 2:00 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7319100/MCFRBA_30,3030004,35.25980,-78.82310,"SR 1609 nr Walkertown","Cumberland","","C",,yes

Query Results: 
Stations:B7319100	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7319100,2008-07-02,11:58:00,Yes,0.1,23.7,,6.6,,7.2,,103,,76,B4,0,\N,2,,3,,0,,0.02,,1.08,,2.95,,0.197,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2008-08-21,13:25:00,Yes,0.1,24.8,,5.91,,7.7,,62,,190,,0,\N,5.6,,2,,0,,0.02,U,0.46,,1.06,,0.125,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2008-09-19,09:43:00,Yes,0.1,20.9,,5.26,,8,,47,U,180,B4,0,\N,6.8,,6,,0,,0.02,U,1,,0.2,,0.042,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2008-10-03,11:04:00,Yes,0.1,18,,5.57,,8.6,,47,U,126,,0,\N,3.8,,4,,0,,0.02,U,0.57,,0.45,,0.127,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2008-11-25,11:07:00,Yes,0.1,7.2,,5.59,,12,,47,U,205,,0,\N,4.6,,3,,0,,0.02,U,0.33,,0.58,,0.046,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2008-12-18,12:01:00,Yes,0.1,11.5,,5.16,,9.9,,47,U,26,,0,\N,4.4,,4,,0,,0.02,U,0.4,,0.31,,0.094,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-01-08,10:45:00,Yes,0.1,10.7,,5.61,,10.3,,47,U,120,,0,\N,5.3,,5,,0,,0.02,U,0.42,,0.28,,0.021,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-02-16,11:44:00,Yes,0.1,9.4,,6.06,,10.7,,47,U,13,,0,\N,2.2,,2,,0,,0.02,U,0.2,U,0.64,,0.021,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-03-05,12:14:00,Yes,0.1,6.4,,5.36,,12.9,,47,U,41,,0,\N,6.8,,9,,0,,0.02,U,0.51,,0.19,,0.022,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-04-01,11:53:00,Yes,0.1,15,,5.31,,9.5,,47,U,37,,0,\N,6.9,,8,,0,,0.02,U,0.8,,0.19,,0.02,U,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-05-28,13:02:00,Yes,0.1,22.4,,5.57,,7.9,,47,U,320,,0,\N,6.5,,8,,0,,0.02,U,0.57,,0.53,,0.064,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-06-16,10:53:00,Yes,0.1,24.1,,5.29,,6.8,,47,U,12000,B5,0,\N,41.2,,39,,0,,0.02,U,0.43,,0.05,,0.147,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-07-06,12:06:00,Yes,0.1,24.5,,5.57,,6.8,,93,,26,,0,\N,3.2,,1,,0,,0.04,,0.2,U,1.92,,0.128,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-08-28,11:37:00,Yes,0.1,25.6,,5.83,,6.6,,55,,280,,0,\N,5,,2,,0,,0.02,U,0.71,,0.76,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-09-22,11:31:00,Yes,0.1,22.2,,6.36,,7.8,,76,,124,B4,0,\N,2,,1,,0,,0.02,U,0.3,,1.86,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-10-19,11:43:00,Yes,0.1,12.6,,5.46,,9.6,,51,,56,,0,\N,2.2,,2,,0,,0.02,U,0.35,,0.89,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-11-24,13:12:00,Yes,0.1,13,,6.62,,9.9,,47,U,270,,0,\N,8,,5,,0,,0.04,,0.6,,0.25,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2009-12-11,11:33:00,Yes,0.1,9.4,,4.32,,10.4,,47,U,229,B4,0,\N,9.3,,9,,0,,0.02,U,0.51,,0.17,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-01-27,11:43:00,Yes,0.1,8.7,,4.39,,10.9,,47,U,42,,0,\N,10.8,,13,,0,,0.02,U,0.3,,0.3,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-02-11,12:57:00,Yes,0.1,5.2,,4.2,,12,,47,U,14,,0,\N,9.6,,6,,0,,0.02,U,0.45,,0.36,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-03-18,11:53:00,Yes,0.1,11.7,,4.85,,9.3,,47,U,36,,0,\N,5.9,,5,,0,,0.02,U,0.21,,0.49,,0,Z2,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-04-14,12:29:00,Yes,0.1,17.2,,5.64,,8.7,,47,,19,B4,0,\N,4.3,,7,,0,,0.02,,0.46,,0.54,,0.054,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-05-17,12:03:00,Yes,0.1,22.9,,5.73,,7.1,,69,,11800,,0,\N,37.2,,57,,0,,0.08,,0.55,,0.33,,0.205,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-06-29,11:52:00,Yes,0.1,28,,5.68,,6.5,,78,,250,,0,\N,4.9,,2,,0,,0.04,,0.49,,0.89,,0.198,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-07-19,12:09:00,Yes,0.1,27.1,,6.91,,6.8,,56,,330,,0,\N,10.9,,8,,0,,0.02,U,0.56,,0.57,,0.165,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-08-18,12:25:00,Yes,0.1,27.9,,6.82,,6.9,,105,,280,,0,\N,3.1,,4,,0,,0.02,,0.38,,1.34,,0.317,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-09-03,11:57:00,Yes,0.1,24.6,,6.8,,7.3,,94,,47,,0,\N,2.5,,2.5,U,0,,0.02,U,0.45,,1.12,,0.273,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-10-15,11:07:00,Yes,0.1,17.4,,6.1,,7.6,,91,,200,,0,\N,4.5,,5,,0,,0.02,U,0.51,,0.99,,0.192,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-11-29,11:53:00,Yes,0.1,8.8,,6.8,,10.6,,60,,60,,0,\N,1.8,,2.5,U,0,,0.02,U,0.2,U,0.77,,0.093,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7319100,2010-12-16,11:38:00,Yes,0.1,2.3,,6.4,,13.5,,57,,75,,0,\N,2.8,,2.5,U,0,,0.02,U,0.33,,0.93,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
