Data was downloaded on July 6 2026 2:01 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7584900/MCFRBA_C7,3030004,35.05990,-78.86470,"UT to Cross Crk at Cross Creek WRF at Fayetteville","Cumberland","voluntary station -- part of Cross Crk fecal coliform study","C",CPF15,yes

Query Results: 
Stations:B7584900	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7584900,2005-07-06,10:21:00,Yes,0.1,24.3,,7.33,,3,,944,,0,X3,0,\N,18.8,,7,,0,,3.46,,6.2,,2.89,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2005-08-09,13:04:00,Yes,0.1,24.8,,7.43,,4,,581,,230,,0,\N,7.6,,4,,0,,2.77,,4.8,,1.84,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2005-09-09,10:46:00,Yes,0.1,21.4,,7.59,,4.4,,688,,67,B1,0,\N,9.6,,5,,0,,3.48,,5.6,,2.5,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2005-10-05,08:52:00,Yes,0.1,21.5,,7.49,,3.6,,747,,200,B4,0,\N,8.1,,2,,0,,3.32,,5.2,,2.93,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2005-11-03,08:36:00,Yes,0.1,10,,6.03,,6.1,,877,,1900,B1,0,\N,10.4,,3,,0,,6.84,,8.1,,1.99,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2005-12-07,09:42:00,Yes,0.1,6.5,,7.11,,8.8,,603,,210,,0,\N,20.3,,7,,0,,3.94,,5.7,,1.05,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2006-01-09,09:15:00,Yes,0.1,7.3,,7.47,,9.3,,646,,56,,0,\N,17.6,,10,,0,,6.6,,7.7,,0.86,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2006-02-16,09:20:00,Yes,0.1,6,,7.34,,6,,745,,17,,0,\N,14.3,,39,,0,,1.7,,2.7,,4.2,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2006-03-15,09:30:00,Yes,0.1,9.7,,7.49,,3.9,,727,,340,,0,\N,5.7,,8,,0,,4.2,,7.2,,3.45,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2006-04-19,09:33:00,Yes,0.1,14.4,,7.66,,3.5,,1508,,54,,0,\N,11.4,,18,,0,,19.9,,15.9,,3.77,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2006-05-18,10:00:00,Yes,0.1,16.9,,7.39,,4.9,,750,,48,,0,\N,10.7,,12,,0,,4.67,,7.1,,2.14,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2006-06-15,09:40:00,Yes,0.1,21.9,,6.07,,8.8,,47,,6800,,0,\N,24.7,,17,,0,,0.06,,0.5,,0.26,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2006-07-19,09:20:00,Yes,0.1,23.7,,7.32,,3.7,,850,,95,B4,0,\N,18.4,,13,,0,,2.51,,4.44,,2.9,,0.31,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2006-08-16,09:15:00,Yes,0.1,22.9,,7.11,,3.9,,940,,3400,B1,0,\N,15.5,,10,,0,,3.49,,5.9,,3.9,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2006-09-15,09:50:00,Yes,0.1,19.9,,6.76,,5.2,,744,,130,B1,0,\N,8.6,,25,,0,,3.73,,5.46,,2.17,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7584900,2006-10-25,10:45:00,Yes,0.1,8.5,,7.7,,6.7,,974,,250,,0,\N,12.4,,14,,0,,7.38,,8.14,,4.35,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
