Data was downloaded on July 6 2026 1:58 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B7610000/MCFRBA_09,3030004,35.05000,-78.86000,"CAPE FEAR RIV AT RIVERSIDE LANDING","Cumberland","","C",CPF15,no

Query Results: 
Stations:B7610000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B7610000,1998-07-14,15:10:00,Yes,0.1,29.4,,7.9,,7.1,,170,,96,,0,\N,11.8,,10,,0,,0.01,<,0.78,,0.33,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1998-07-24,16:40:00,Yes,0.1,31,,7.6,,8,,165,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1998-08-11,01:02:00,Yes,0.1,28.7,,7.4,,7.7,,153,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1998-08-18,11:10:00,Yes,0.1,28.8,,7.2,,8.7,,140,,93,,0,\N,8,,7,,0,,0.02,,0.22,,0.43,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1998-09-09,08:55:00,Yes,0.1,25.5,,7.1,,6,,147,,88,,0,\N,14.5,,11,,0,,0.25,,0.73,,0.3,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1998-09-22,11:35:00,Yes,0.1,27.6,,7.3,,6.7,,203,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1998-10-13,15:15:00,Yes,0.1,21.5,,7.2,,7.6,,183,,240,,0,\N,7.6,,6.8,,0,,0.01,<,0.48,,0.51,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1998-10-26,16:10:00,Yes,0.1,16.6,,7.3,,8.8,,186,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1998-11-18,09:15:00,Yes,0.1,15,,7,,8.4,,149,,54,,0,\N,5.8,,5.2,,0,,0.01,<,0.38,,0.4,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1998-12-16,11:35:00,Yes,0.1,10.6,,7.1,,9.9,,175,,229,,0,\N,7.5,,5.4,,0,,0.01,,0.41,,0.44,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-01-13,10:15:00,Yes,0.1,6.2,,6.4,,11.1,,104,,74,,0,\N,32.6,,13.9,,0,,0.07,,0.57,,0.36,,0.21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-02-09,10:20:00,Yes,0.1,10.8,,6.7,,10.1,,129,,58,,0,\N,29.3,,27.6,,0,,0.15,,0.35,,0.31,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-03-10,15:25:00,Yes,0.1,9.1,,6.6,,11.6,,103,,22,,0,\N,7.5,,5.5,,0,,0.01,<,0.38,,0.74,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-04-14,08:40:00,Yes,0.1,17.3,,6.9,,8.9,,97,,20,,0,\N,13.2,,12.2,,0,,0.03,,0.51,,0.38,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-05-11,11:05:00,Yes,0.1,22.4,,6.3,,8,,122,,22,,0,\N,7.6,,6.3,,0,,0.01,<,0.41,,0.56,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-05-24,09:55:00,Yes,0.1,24.1,,6.7,,8.4,,137,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-06-08,08:35:00,Yes,0.1,27,,8.1,,9,,148,,32,,0,\N,9.3,,14.4,,0,,0.01,,0.79,,0.31,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-06-22,16:00:00,Yes,0.1,22.8,,7.1,,7.6,,133,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-07-14,09:35:00,Yes,0.1,25.1,,7.1,,6.1,,190,,425,,0,\N,14.7,,14.1,,0,,0.11,,0.85,,0.34,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-07-28,15:00:00,Yes,0.1,31.7,,8.8,,9.3,,174,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-08-02,13:35:00,Yes,0.1,31.9,,9,,10.2,,203,,16,,0,\N,9.3,,15.9,,0,,0.01,,0.8,,0.03,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-08-22,10:25:00,Yes,0.1,24.8,,7.2,,6.4,,198,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-09-10,07:55:00,Yes,0.1,24.1,,6.8,,8.4,,98,,530,,0,\N,49.3,,46.8,,0,,0.05,,0.69,,0.54,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-10-11,11:00:00,Yes,0.1,21.2,,6.8,,7.8,,91,,50,,0,\N,26.4,,30,,0,,0.01,<,0.71,,0.33,,0.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-11-09,08:10:00,Yes,0.1,13.8,,7,,9.7,,79,,60,,0,\N,6.6,,5,,0,,0.01,<,0.38,,0.49,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,1999-12-06,08:50:00,Yes,0.1,11.5,,6.8,,10.2,,121,,61,,0,\N,7.4,,5,<,0,,0.06,,0.29,,0.61,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-01-13,00:10:00,Yes,0.1,10.9,,7.2,,10.8,,190,,2400,,0,\N,45,,43,,0,,0.01,,0.8,,0.52,,0.2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-02-10,00:42:00,Yes,0.1,6.8,,6.8,,11.5,,77,,60,,0,\N,13.8,,15,,0,,0.07,,0.37,,0.54,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-03-15,00:15:00,Yes,0.1,13.6,,7.3,,10.9,,116,,97,,0,\N,8.2,,12,,0,,0.21,,0.12,,0.33,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-04-25,11:00:00,Yes,0.1,17.6,,7.2,,9.2,,106,,152,,0,\N,15.1,,29,,0,,0.03,,0.31,,0.43,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-05-03,10:10:00,Yes,0.1,17.9,,7.2,,8.4,,111,,87,,0,\N,21.5,,30,,0,,0.03,,0.11,,0.57,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-06-02,13:10:00,Yes,0.1,24.9,,7.6,,8.8,,136,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-06-21,11:51:00,Yes,0.1,28.7,,7.4,,7.1,,155,,80,,0,\N,8.4,,11.5,,0,,0.01,<,0.1,<,0.48,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-07-12,11:20:00,Yes,0.1,28.8,,8.3,,9.2,,165,,500,,0,\N,13.2,,18,,0,,0.03,,0.19,,0.17,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-07-26,13:53:00,Yes,0.1,24.8,,6.9,,6.7,,111,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-08-16,14:00:00,Yes,0.1,27.9,,7.4,,6.6,,151,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-08-24,11:15:00,Yes,0.1,26.5,,7.5,,8.3,,162,,14,,0,\N,6.6,,5.5,,0,,0.01,<,0.63,,0.48,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-09-15,16:24:00,Yes,0.1,26.5,,7,,6.4,,150,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-09-26,10:45:00,Yes,0.1,23.9,,6.8,,9.3,,104,,1100,,0,\N,35.2,,23.1,,0,,0.01,,0.92,,0.38,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-10-11,15:19:00,Yes,0.1,16.8,,7,,7.5,,115,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-10-18,14:48:00,Yes,0.1,18.9,,7,,9.2,,125,,40,,0,\N,8.2,,2.5,,0,,0.02,,0.97,,0.64,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-11-21,08:48:00,Yes,0.1,9.6,,7.3,,10.6,,112,,170,,0,\N,4.4,,5,,0,,0.01,,0.99,,0.41,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2000-12-13,13:20:00,Yes,0.1,8,,7.2,,12,,119,,65,,0,\N,5.2,,9,,0,,0.22,,0.99,,0.81,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2001-01-16,11:05:00,Yes,0.1,8,,7.5,,11,,134,,26,,0,\N,8.5,,7.7,,0,,0.05,,3.2,,0.97,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2001-01-23,00:15:00,Yes,0.1,7.6,,7.3,,10.8,,95,,60,,0,\N,8.7,,12.7,,0,,0.03,,0.56,,0.63,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2001-02-19,11:05:00,Yes,0.1,10.3,,7.5,,10.1,,130,,12,,0,\N,49.8,,79,,0,,0.05,,0.96,,0.86,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2001-03-07,13:26:00,Yes,0.1,9.2,,7.1,,10.8,,123,,210,,0,\N,43.4,,30,,0,,0.05,,0.69,,0.75,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2001-04-18,07:41:00,Yes,0.1,16.6,,6.8,,8.6,,119,,108,,0,\N,10.4,,9,,0,,0.08,,0.46,,0.53,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2001-05-08,10:57:00,Yes,0.1,22.2,,7,,7.4,,218,,32,,0,\N,5.7,,6.5,,0,,0.03,,0.8,,0.54,,0.77,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B7610000,2001-05-14,09:03:00,Yes,0.1,22.9,,7,,8.4,,236,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
