Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8301000/MCFRBA_15,3030005,34.83000,-78.82000,"CAPE FEAR RIV BELOW LOCK AND DAM 3 BOAT RAMP","Bladen","","C",CPF16,no

Query Results: 
Stations:B8301000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8301000,1998-07-13,15:15:00,Yes,0.1,29.5,,7.3,,5.1,,149,,3,,0,\N,12.4,,12,,0,,0.1,,0.95,,0.17,,0.15,,0.1,<,10,<,5,,1,<,2.2,,11,,450,,600,,0,,0.2,<,4.3,,0,
B8301000,1998-07-29,13:37:00,Yes,0.1,29.4,,6.9,,7.3,,116,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8301000,1998-08-10,01:07:00,Yes,0.1,27.7,,7.3,,8.5,,122,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8301000,1998-08-19,02:20:00,Yes,0.1,29.1,,7.1,,8.6,,142,,11,,0,\N,8.2,,8,,0,,0.03,,0.36,,0.41,,0.31,,0.2,,10,<,8,,2.6,,1.6,,23,,170,,420,,0,,0.2,<,3,,0,
B8301000,1998-09-08,14:15:00,Yes,0.1,26.7,,6.7,,6.4,,125,,28,,0,\N,10.7,,8.5,,0,,0.13,,0.6,,0.31,,0.39,,0.1,<,10,<,3.5,,1,<,1,,10,,170,,670,,0,,0.2,<,3,,0,
B8301000,1998-09-21,16:17:00,Yes,0.1,26.7,,6.9,,7.2,,153,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8301000,1998-10-12,14:07:00,Yes,0.1,22.1,,7.2,,7.8,,154,,21,,0,\N,9,,8.7,,0,,0.01,<,0.43,,0.45,,0.26,,0.1,,10,<,5,,2.9,,2,,8.3,,230,,390,,0,,0.2,<,3,,0,
B8301000,1998-10-29,09:50:00,Yes,0.1,16.5,,7,,9.3,,161,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8301000,1998-11-16,00:35:00,Yes,0.1,14,,7,,9,,179,,28,,0,\N,4.9,,4.7,,0,,0.03,,0.51,,0.65,,0.33,,0.1,<,10,<,3.4,,1.2,,0.6,,9.4,,190,,380,,0,,0.2,<,3,,0,
B8301000,1998-12-17,13:20:00,Yes,0.1,11.4,,7,,10.2,,136,,86,,0,\N,5.6,,4.8,,0,,0.02,,0.43,,0.5,,0.34,,0.1,<,10,<,2.5,,18,,0.7,,14,,200,,500,,0,,0.2,<,3,,0,
B8301000,1999-01-11,13:00:00,Yes,0.1,6,,6.6,,11.1,,90,,164,,0,\N,40,,18.2,,0,,0.04,,0.69,,0.41,,0.16,,0.1,<,10,<,5,,1,<,0.8,,28,,590,,820,,0,,0.2,<,3,,0,
B8301000,1999-02-10,13:30:00,Yes,0.1,11.4,,6.5,,10.3,,119,,44,,0,\N,26.7,,21,,0,,0.08,,0.52,,0.34,,0.05,,0.1,<,10,<,3.1,,1.4,,2.6,,14,,770,,890,,0,,0.2,<,3,,0,
B8301000,1999-03-08,00:45:00,Yes,0.1,10.6,,7,,11.7,,119,,12,,0,\N,9.7,,7.5,,0,,0.03,,0.41,,0.82,,0,,0.1,<,10,<,4.7,,7.4,,4.9,,60,,550,,760,,0,,0.2,<,3,,0,
B8301000,1999-04-12,14:10:00,Yes,0.1,20.1,,6.4,,7.9,,115,,33,,0,\N,11.4,,13.3,,0,,0.04,,0.66,,0.32,,0.11,,0.1,<,10,<,4,,1.5,,1.6,,13,,610,,790,,0,,0.2,<,3,,0,
B8301000,1999-05-10,15:15:00,Yes,0.1,20.7,,6.1,,8.8,,120,,112,,0,\N,12.5,,9.4,,0,,0.03,,0.52,,0.38,,0.16,,0.1,<,10,<,3.1,,1,<,4.7,,14,,330,,610,,0,,0.2,<,3,,0,
B8301000,1999-05-26,07:45:00,Yes,0.1,23.7,,7.3,,7.9,,130,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8301000,1999-06-07,13:00:00,Yes,0.1,26.6,,6.6,,8.2,,129,,7,,0,\N,6.3,,5.6,,0,,0.04,,0.62,,0.46,,0.28,,0.1,<,10,<,2.2,,1.6,,0.7,,5,<,610,,630,,0,,0.2,<,3,,0,
