Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8302000/MCFRBA_16,3030005,34.78434,-78.79825,"Cape Fear River at power lines -no road- nr Tolarsville","Bladen","Ups of Smithfield Foods","C",CPF16,yes

Query Results: 
Stations:B8302000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8302000,1998-07-13,14:55:00,Yes,0.1,30.9,,8.3,,6.5,,150,,12,,0,\N,10.5,,11,,0,,0.05,,0.91,,0.16,,0.37,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8302000,1998-07-29,13:25:00,Yes,0.1,30,,6.8,,6.4,,126,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8302000,1998-08-10,00:56:00,Yes,0.1,27.9,,6.9,,7.5,,122,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8302000,1998-08-19,02:05:00,Yes,0.1,29.6,,6.9,,8,,143,,9,,0,\N,7,,6,,0,,0.04,,0.29,,0.34,,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8302000,1998-09-08,13:55:00,Yes,0.1,26.7,,6.7,,6,,119,,21,,0,\N,8.6,,7.3,,0,,0.13,,0.47,,0.59,,0.42,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8302000,1998-09-21,16:05:00,Yes,0.1,27.1,,6.8,,6.5,,150,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8302000,1998-10-12,13:50:00,Yes,0.1,22.2,,7.1,,7.5,,156,,18,,0,\N,6.6,,5.5,,0,,0.02,,0.37,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8302000,1998-10-29,10:00:00,Yes,0.1,16.6,,7,,8.7,,164,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8302000,1998-11-16,00:20:00,Yes,0.1,14,,7,,8.8,,176,,13,,0,\N,4.5,,3.3,,0,,0.03,,0.45,,0.67,,0.35,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8302000,1998-12-17,13:05:00,Yes,0.1,11.5,,7,,9.9,,141,,28,,0,\N,4.9,,3.8,,0,,0.03,,0.45,,0.38,,0.35,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
