Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8306000/MCFRBA_18,3030005,34.68308,-78.68465,"Cape Fear River at RM 80 nr Ruskin","Bladen","Ups Danaher; RM 80 Below Harrison Cr","C",CPF16,yes

Query Results: 
Stations:B8306000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8306000,1998-07-13,14:00:00,Yes,0.1,30.2,,8.4,,7.2,,140,,4,,0,\N,9.7,,11,,0,,0.01,<,0.85,,0.36,,0.22,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8306000,1998-07-29,00:51:00,Yes,0.1,30.5,,6.8,,5.8,,146,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8306000,1998-08-10,00:25:00,Yes,0.1,28.1,,6.7,,6.6,,144,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8306000,1998-08-19,13:00:00,Yes,0.1,29.6,,6.6,,6.6,,140,,8,,0,\N,6.4,,3.5,,0,,0.06,,0.33,,0.72,,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8306000,1998-09-08,13:15:00,Yes,0.1,27.3,,6.7,,5.5,,146,,12,,0,\N,6.5,,4.1,,0,,0.12,,0.67,,0.52,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8306000,1998-09-21,15:17:00,Yes,0.1,27,,6.5,,5.2,,152,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8306000,1998-10-12,13:05:00,Yes,0.1,22.4,,6.8,,6.3,,141,,14,,0,\N,4.7,,2,,0,,0.04,,0.49,,0.69,,0.39,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8306000,1998-10-29,10:35:00,Yes,0.1,17.4,,6.9,,8.1,,170,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8306000,1998-11-16,11:30:00,Yes,0.1,13.9,,6.9,,8.3,,181,,22,,0,\N,3.1,,1.6,,0,,0.14,,0.49,,1.23,,0.34,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8306000,1998-12-17,00:20:00,Yes,0.1,11.8,,6.9,,9.4,,156,,191,,0,\N,3.4,,2,,0,,0.03,,0.48,,0.48,,0.43,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
