Data was downloaded on July 6 2026 2:01 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8315000/MCFRBA_C5,3030005,34.73170,-78.71640,"Harrison Creek at SR 1320 at Burney","Bladen","voluntary station -- Improving IBI and fish data","C",CPF16,yes

Query Results: 
Stations:B8315000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8315000,1998-07-13,17:00:00,Yes,0.1,23.6,,5.2,,4.9,,61,,148,,0,\N,5.9,,3,<,0,,0.12,,0.7,,0.57,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1998-08-19,13:15:00,Yes,0.1,26,,5.3,,7.2,,50,,11,,0,\N,4.9,,3,<,0,,0.02,,0.31,,0.5,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1998-09-08,11:15:00,Yes,0.1,24,,4.2,,5.6,,70,,89,,0,\N,5.3,,4,,0,,0.11,,0.96,,0.28,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1998-10-12,10:13:00,Yes,0.1,17,,5.5,,7,,50,,560,,0,\N,3.1,,1.2,,0,,0.03,,0.38,,0.45,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1998-11-16,09:15:00,Yes,0.1,13,,7.2,,7.2,,60,,610,,0,\N,2.4,,1.5,,0,,0.01,<,0.53,,0.43,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1998-12-17,07:00:00,Yes,0.1,8.9,,5.5,,9.2,,42,,960,,0,\N,8.1,,6.1,,0,,0.06,,0.59,,0.62,,0.47,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-01-11,07:35:00,Yes,0.1,6.3,,4,,9.7,,88,,61,,0,\N,6.3,,1.8,,0,,0.06,,0.76,,0.61,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-02-10,08:00:00,Yes,0.1,12.5,,3.5,,8.3,,85,,56,,0,\N,3.6,,1.6,,0,,0.05,,0.65,,0.41,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-03-08,07:35:00,Yes,0.1,8.2,,4.1,,10.1,,72,,60,,0,\N,3.8,,1.1,,0,,0.11,,0.53,,0.91,,0.66,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-04-12,08:45:00,Yes,0.1,18.8,,4.3,,7.5,,65,,140,,0,\N,4.9,,4,,0,,0.15,,0.71,,0.31,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-05-10,09:10:00,Yes,0.1,18.1,,3.4,,7,,88,,220,,0,\N,4.5,,3.8,,0,,0.09,,0.84,,0.91,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-06-07,08:00:00,Yes,0.1,21.4,,3.8,,7.1,,65,,395,,0,\N,3.9,,4.4,,0,,0.12,,0.75,,0.64,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-07-15,08:15:00,Yes,0.1,21,,4.5,,7.5,,67,,352,,0,\N,7.8,,6,,0,,0.1,,0.7,,0.54,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-08-11,07:45:00,Yes,0.1,22.9,,5.3,,7,,52,,152,,0,\N,4.4,,2.8,,0,,0.03,,0.61,,0.57,,0.01,<,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-09-13,11:20:00,Yes,0.1,19.7,,4.7,,8.2,,60,,132,,0,\N,3.8,,3,,0,,0.03,,0.53,,0.37,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-10-25,10:30:00,Yes,0.1,12.1,,4.3,,6.6,,51,,59,,0,\N,2,,5,<,0,,0.06,,1.23,,0.1,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-11-04,07:45:00,Yes,0.1,11.8,,4.4,,7.1,,57,,18,,0,\N,2.2,,5,<,0,,0.09,,1.02,,0.21,,0.12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,1999-12-21,07:30:00,Yes,0.1,11,,4.3,,9.1,,59,,360,,0,\N,4.8,,5,<,0,,0.11,,0.98,,0.38,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2000-01-21,08:10:00,Yes,0.1,0,,0,,0,,0,,0,,0,\N,5.4,,5,<,0,,0.1,,1.44,,0.38,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2000-02-11,07:10:00,Yes,0.1,8.5,,4.2,,9.8,,50,,200,,0,\N,5.5,,12,,0,,0.04,,0.79,,0.4,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2000-03-21,07:15:00,Yes,0.1,13.5,,4.5,,8.1,,56,,610,,0,\N,11.5,,8,,0,,0.11,,0.84,,0.33,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2000-04-26,07:53:00,Yes,0.1,14.1,,4.4,,8.5,,57,,3400,,0,\N,7.7,,5,,0,,0.21,,1.64,,0.41,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2000-05-04,15:30:00,Yes,0.1,18.8,,4.4,,7.2,,59,,136,,0,\N,8,,8,,0,,0.15,,0.97,,0.38,,0.21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2000-06-22,14:10:00,Yes,0.1,25.5,,5,,6.7,,61,,70,,0,\N,5,,3,<,0,,0.14,,0.3,,0.53,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2000-07-13,14:20:00,Yes,0.1,23.4,,8.3,,9.8,,154,,1260,,0,\N,7.4,,3.5,,0,,0.04,,0.73,,0.31,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2000-08-30,00:15:00,Yes,0.1,22.7,,4.9,,7.3,,50,,4.9,,0,\N,6.2,,5.3,,0,,0.01,<,0.34,,0.23,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2000-09-28,13:42:00,Yes,0.1,18,,4.2,,9.6,,73,,80,,0,\N,4.7,,5,<,0,,0.02,,0.98,,0.39,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2000-10-26,16:30:00,Yes,0.1,15.9,,5.5,,8.4,,57,,94,,0,\N,2.2,,2.5,,0,,0.06,,0.46,,0.37,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2000-11-29,13:13:00,Yes,0.1,9.9,,4.6,,10.2,,59,,150,,0,\N,3.4,,2.5,,0,,0.01,,0.97,,0.69,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-01-11,15:38:00,Yes,0.1,5.6,,4.9,,13.1,,64,,42,,0,\N,4.8,,2.5,,0,,0.07,,0.58,,0.54,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-01-24,09:00:00,Yes,0.1,5.4,,4.6,,6.1,,49,,56,,0,\N,3.8,,2.5,,0,,0.05,,0.61,,0.37,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-02-21,13:50:00,Yes,0.1,12.9,,4.5,,9.5,,79,,220,,0,\N,6.6,,6,,0,,0.05,,1.11,,0.54,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-03-08,13:47:00,Yes,0.1,8.8,,4.6,,10.1,,81,,110,,0,\N,9.5,,2.5,,0,,0.03,,0.41,,0.59,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-04-19,13:32:00,Yes,0.1,11.6,,4.8,,10.2,,57,,66,,0,\N,7.1,,2.5,,0,,0.23,,1,,0.34,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-05-11,00:55:00,Yes,0.1,18.4,,5.1,,8.6,,96,,240,,0,\N,5,,5.6,,0,,0.04,,0.66,,0.37,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-06-07,15:02:00,Yes,0.1,24.7,,5.4,,9.2,,83,,190,,0,\N,5.5,,2.5,,0,,0.12,,0.81,,0.11,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-07-18,00:35:00,Yes,0.3,23.7,,6.2,,6.8,,55,,260,,0,\N,2.7,,2,,0,,0.04,,0.5,,0.54,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-08-13,14:24:00,Yes,0.3,26.5,,6.3,,5.9,,69,,460,,0,\N,2.4,,2.5,,0,,0.24,,0.7,,0.75,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-09-26,15:05:00,Yes,0.3,18.4,,6.3,,8.2,,75,,5,,0,\N,2.6,,2.5,,0,,0.01,,0.2,,0.29,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-10-22,15:05:00,Yes,0.3,19.6,,6.2,,7.2,,69,,130,,0,\N,0.8,,2,,0,,0.02,,0.2,,0.54,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-11-28,14:45:00,Yes,0.3,18.2,,5.9,,7.1,,75,,128,,0,\N,1.7,,1.7,,0,,0.04,,0.5,,0.2,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2001-12-11,15:32:00,Yes,0.3,13,,5.4,,8.2,,77,,160,,0,\N,1.6,,3.2,,0,,0.04,,0.3,,0.31,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2002-01-31,13:10:00,Yes,0.15,16.2,,4.6,,8.4,,104,,80,,0,\N,3.3,,1.7,,0,,0.05,,0.8,,1.35,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2002-02-21,13:35:00,Yes,0.15,13.2,,4.4,,10.1,,83,,72,,0,\N,3.2,,1,,0,,0.04,,0.7,,0.82,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2002-03-13,13:45:00,Yes,0.3,14.7,,4.9,,9.4,,76,,72,,0,\N,3.2,,5,,0,,0.03,,0.7,,0.82,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2002-04-08,13:02:00,Yes,0.15,14.9,,4.2,,8.1,,95,,35,,0,\N,2.5,,4.2,,0,,0.05,,1,,1.06,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2002-05-15,14:11:00,Yes,0.3,19.1,,5.3,,7.6,,67,,112,,0,\N,4.9,,3.3,,0,,0.07,,0.8,,0.38,,0.07,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2002-06-11,13:37:00,Yes,0.15,22.1,,5.6,,7.7,,60,,210,,0,\N,3.2,,2.5,<,0,,0.04,,0.7,,0.51,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2002-07-03,00:45:00,Yes,0.15,24.5,,5.4,,6.9,,74,,680,,0,\N,2.5,,4.1,,0,,0.04,,0.5,,0.84,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2002-08-26,00:28:00,Yes,0.15,24.5,,5.3,,6.3,,80,,660,,0,\N,2.9,,3.6,,0,,0.05,,0.5,,0.66,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2002-09-16,11:25:00,Yes,0.1,23.6,,4.4,,6.2,,79,,480,,0,\N,4.2,,3.3,,0,,0.06,,0.6,,0.57,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2002-10-24,11:10:00,Yes,0.1,16,,4.9,,8.2,,78,,660,,0,\N,4,,2.5,,0,,0.04,,0.7,,0.8,,0.05,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2002-12-02,11:46:00,Yes,0.1,6.6,,4.5,,9.5,,91,,103,,0,\N,2.6,,1.7,U,0,,0.05,,0.5,,0.8,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-01-10,09:20:00,Yes,0.1,10,,4.2,,8,,99,,11,B1,0,\N,2.8,,1.4,,0,,0.08,,0.6,,0,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-01-29,11:00:00,Yes,0.1,5.4,,4.3,,11.1,,82,,98,,0,\N,2.4,,1.2,,0,,0.06,,0.9,,0,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-02-21,09:49:00,Yes,0.1,8.2,,4.1,,9.4,,102,,22,B1,0,\N,3.3,,2.6,,0,,0.03,,0.5,U,1.2,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-04-25,15:00:00,Yes,0.1,16,,3.7,,6.9,,84,,215,,0,\N,4.4,,4.5,,0,,0.12,,1,,0.46,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-05-28,00:03:00,Yes,0.1,18,,4.3,,5.9,,77,,460,,0,\N,5.9,,6,,0,,0.09,,1,,0.52,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-06-19,13:36:00,Yes,0.1,24,,4.2,,5.3,,72,,245,,0,\N,6.6,,5.8,,0,,0.14,,1.4,,0.26,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-06-26,11:30:00,Yes,0.1,22,,3.8,,5.6,,89,,52,,0,\N,6.8,,4.6,,0,,0.11,,1,,0.23,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-07-18,10:55:00,Yes,0.1,23,,4.1,,4.2,,70,,58,,0,\N,5.1,,2.4,,0,,0.12,,1.2,,0.17,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-08-25,10:24:00,Yes,0.1,23,,4.2,,5.8,,80,,104,,0,\N,5.1,,4.9,,0,,0.11,,1.4,,0.15,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-09-15,10:57:00,Yes,0.1,21,,4.3,,6.4,,61,,240,,0,\N,4,,3.9,,0,,0.15,,1.1,,0.33,,0.08,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-10-14,10:59:00,Yes,0.1,19,,3.94,,6.5,,46,,180,,0,\N,4.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8315000,2003-11-18,11:23:00,Yes,0.1,15,,4.39,,7.7,,80,,82,B1,0,\N,2.6,,2,U,0,,0.09,,1,,0.41,,0.04,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
