Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8320000/MCFRBA_20,3030005,34.63239,-78.60286,"Cape Fear River at US 701 at Elizabethtown","Bladen","Ups Elizabethtown WWTP","C",CPF16,yes

Query Results: 
Stations:B8320000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8320000,1998-07-13,13:10:00,Yes,0.1,30.1,,7,,5.8,,129,,6,,0,\N,10.5,,8,,0,,0.01,<,0.72,,0.49,,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1998-07-29,00:08:00,Yes,0.1,30.6,,6.7,,5.6,,144,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1998-08-10,00:02:00,Yes,0.1,28.8,,6.8,,7.8,,139,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1998-08-19,00:30:00,Yes,0.1,29.9,,6.6,,7,,160,,11,,0,\N,6.5,,4.5,,0,,0.04,,0.28,,0.73,,0.31,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1998-09-08,00:35:00,Yes,0.1,27.3,,6.6,,5.3,,139,,15,,0,\N,7.2,,4.2,,0,,0.1,,0.69,,0.53,,0.35,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1998-09-21,14:50:00,Yes,0.1,27.5,,6.5,,5.8,,136,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1998-10-12,00:20:00,Yes,0.1,22.6,,6.9,,6.3,,144,,92,,0,\N,6.1,,2.5,,0,,0.05,,0.47,,0.88,,0.37,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1998-10-29,11:32:00,Yes,0.1,17.9,,6.8,,8.1,,174,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1998-11-16,11:00:00,Yes,0.1,14.4,,6.9,,8,,187,,22,,0,\N,4.1,,1.3,,0,,0.05,,0.54,,1.07,,0.43,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1998-12-17,11:35:00,Yes,0.1,12.1,,7,,9.3,,157,,144,,0,\N,3.9,,2.3,,0,,0.05,,0.52,,0.4,,0.35,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1999-01-11,11:20:00,Yes,0.1,4.5,,6.3,,10.7,,91,,207,,0,\N,42.8,,20.9,,0,,0.07,,0.71,,0.39,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1999-02-10,11:20:00,Yes,0.1,11.5,,6.5,,9.8,,117,,46,,0,\N,28.1,,22.7,,0,,0.09,,0.37,,0.37,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1999-03-08,11:10:00,Yes,0.1,10.9,,6.6,,11.1,,125,,8,,0,\N,8,,5.8,,0,,0.01,<,0.43,,0.88,,0.62,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1999-04-12,00:30:00,Yes,0.1,20.5,,6.4,,7.4,,121,,7,,0,\N,10.2,,9.3,,0,,0.05,,0.38,,0.5,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1999-05-10,13:00:00,Yes,0.1,21.1,,5.8,,7.1,,124,,58,,0,\N,10.9,,4.5,,0,,0.14,,0.52,,0.54,,0.19,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1999-05-26,08:50:00,Yes,0.1,23.9,,6.6,,6.2,,125,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1999-06-07,11:25:00,Yes,0.1,27.6,,5.8,,6.2,,139,,4,,0,\N,7.4,,7.1,,0,,0.12,,0.87,,0.94,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1999-06-24,00:00:00,Yes,0.1,24.9,,6.6,,5.7,,123,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8320000,1999-07-15,11:35:00,Yes,0.1,27,,6.8,,4.9,,167,,41,,0,\N,5.8,,5.1,,0,,0.25,,0.65,,0.7,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
