Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8330000/MCFRBA_19,3030005,34.65000,-78.64000,"CAPE FEAR RIV DNS MOUTH OF ELLIS CRK","Bladen","","C",CPF16,no

Query Results: 
Stations:B8330000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8330000,1998-07-13,13:45:00,Yes,0.1,30.4,,7.5,,6.5,,128,,7,,0,\N,9.9,,10,,0,,0.01,<,0.78,,0.43,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8330000,1998-07-29,00:25:00,Yes,0.1,30.4,,6.7,,5.7,,138,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8330000,1998-08-10,00:12:00,Yes,0.1,28.5,,6.7,,6.7,,143,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8330000,1998-08-19,00:45:00,Yes,0.1,29.3,,6.5,,6.2,,142,,17,,0,\N,6.9,,4,,0,,0.08,,0.32,,0.53,,0.21,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8330000,1998-09-08,00:55:00,Yes,0.1,27.3,,6.6,,5.4,,147,,19,,0,\N,7.1,,5,,0,,0.12,,0.59,,0.5,,0.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8330000,1998-09-21,15:06:00,Yes,0.1,26.9,,6.5,,5.1,,141,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8330000,1998-10-12,00:55:00,Yes,0.1,22.4,,6.9,,6.3,,138,,13,,0,\N,7.1,,2.9,,0,,0.04,,0.62,,0.74,,0.39,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8330000,1998-10-29,10:45:00,Yes,0.1,17.4,,6.9,,7.9,,165,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8330000,1998-11-16,11:15:00,Yes,0.1,14,,6.9,,8.2,,182,,20,,0,\N,3.2,,1,<,0,,0.04,,0.46,,1,,0.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8330000,1998-12-17,00:05:00,Yes,0.1,11.8,,6.8,,9.4,,156,,490,,0,\N,3.8,,1.8,,0,,0.05,,0.69,,0.69,,0.42,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8330000,1999-01-11,11:55:00,Yes,0.1,5.3,,6.3,,10.8,,92,,193,,0,\N,41,,22,,0,,0.06,,0.66,,0.4,,0.24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
