Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8340130/MCFRBA_22,3030005,34.62458,-78.55048,"Cape Fear River at RM 70 nr Elizabethtown","Bladen","Dns Turnbull and Browns Creeks; 2 mi below Lock and Dam 2","C",CPF16,yes

Query Results: 
Stations:B8340130	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8340130,1998-07-13,11:20:00,Yes,0.1,30,,6.7,,4.7,,135,,980,,0,\N,10.3,,6,,0,,0.07,,0.63,,0.37,,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1998-07-29,11:08:00,Yes,0.1,30,,6.7,,6,,146,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1998-08-10,11:17:00,Yes,0.1,28.2,,6.7,,6.8,,149,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1998-08-19,11:35:00,Yes,0.1,29.4,,6.6,,6.7,,167,,132,,0,\N,7.2,,5.5,,0,,0.09,,0.3,,0.82,,0.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1998-09-08,10:45:00,Yes,0.1,26.8,,6.5,,5.8,,129,,44,,0,\N,7.7,,5.6,,0,,0.09,,0.6,,0.49,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1998-09-21,14:05:00,Yes,0.1,26.6,,6.5,,6.2,,132,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1998-10-12,10:55:00,Yes,0.1,22.6,,6.9,,7,,147,,56,,0,\N,6.9,,3,,0,,0.05,,0.41,,0.69,,0.39,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1998-10-29,00:40:00,Yes,0.1,17.9,,6.7,,8.3,,176,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1998-11-16,09:35:00,Yes,0.1,13.9,,7.2,,8.6,,188,,25,,0,\N,4,,1.8,,0,,0.04,,0.41,,1.05,,0.43,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1998-12-17,10:25:00,Yes,0.1,11.8,,7,,9.6,,152,,180,,0,\N,4.2,,2.8,,0,,0.05,,0.48,,0.45,,0.38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-01-11,10:40:00,Yes,0.1,5.5,,6.3,,10.8,,89,,200,,0,\N,45.4,,23.8,,0,,0.06,,0.68,,0.6,,0.24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-02-10,10:45:00,Yes,0.1,11.6,,6.2,,9.8,,113,,48,,0,\N,28.2,,21.2,,0,,0.09,,0.48,,0.38,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-03-08,10:30:00,Yes,0.1,10.8,,6.4,,11.1,,120,,13,,0,\N,9,,6.1,,0,,0.01,<,0.32,,0.49,,0.51,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-04-12,11:55:00,Yes,0.1,20.5,,6.3,,7.5,,120,,3,,0,\N,11.7,,11.4,,0,,0.06,,0.51,,0.5,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-05-10,00:20:00,Yes,0.1,20.2,,5.6,,7.6,,114,,58,,0,\N,11.4,,6.8,,0,,0.11,,0.5,,0.5,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-05-26,09:45:00,Yes,0.1,24.1,,6.4,,7.1,,125,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-06-07,10:45:00,Yes,0.1,26.8,,6,,6.2,,145,,1,,0,\N,6.7,,3.6,,0,,0.16,,0.64,,1.09,,0.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-06-24,00:50:00,Yes,0.1,24.9,,6.7,,6.9,,135,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-07-15,10:50:00,Yes,0.1,26.6,,6.8,,6.4,,165,,208,,0,\N,8.2,,7.6,,0,,0.24,,0.68,,0.69,,0.35,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-07-30,16:50:00,Yes,0.1,31.1,,6.9,,6.8,,158,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-08-11,10:00:00,Yes,0.1,29.8,,6.9,,5.2,,188,,15,,0,\N,4.8,,5,,0,,0.2,,0.64,,0.86,,0.32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-08-25,10:33:00,Yes,0.1,28.8,,6.9,,7.1,,147,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-09-13,13:30:00,Yes,0.1,24.4,,6.8,,6.8,,139,,44,,0,\N,17.6,,14,,0,,0.05,,0.35,,0.54,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-10-25,01:15:00,Yes,0.1,15.4,,6.3,,8.2,,67,,600,,0,\N,16.9,,19,,0,,0.01,,0.61,,0.42,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-11-04,10:35:00,Yes,0.1,15.3,,6.3,,9.2,,78,,14,,0,\N,8.9,,5,<,0,,0.04,,0.49,,0.61,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,1999-12-20,10:20:00,Yes,0.1,10,,6.8,,11,,116,,169,,0,\N,13.2,,6,,0,,0.02,,0.59,,0.69,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,2000-01-21,11:35:00,Yes,0.1,0,,0,,0,,0,,54,,0,\N,15.5,,8,,0,,0.06,,0.58,,0.58,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,2000-02-11,10:36:00,Yes,0.1,7,,6.7,,12,,74,,46,,0,\N,16.6,,15,,0,,0.05,,0.74,,0.59,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340130,2000-03-21,10:42:00,Yes,0.1,13.6,,6.8,,10,,106,,160,,0,\N,11.7,,15,,0,,0.06,,0.66,,0.43,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
