Data was downloaded on July 6 2026 1:59 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8340650/MCFRBA_23,3030005,34.53518,-78.43975,"Cape Fear River at RM 55-no road-nr Bladen Springs","Bladen","Mid Lower Basin WQ; beginning DO sag","WS-V",CPF16,yes

Query Results: 
Stations:B8340650	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8340650,1998-07-13,10:45:00,Yes,0.1,30.5,,6.6,,3.8,,130,,1,,0,\N,6.7,,3,<,0,,0.06,,0.62,,0.26,,0.06,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1998-07-29,10:12:00,Yes,0.1,30.1,,6.7,,5.5,,143,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1998-08-10,10:39:00,Yes,0.1,28.8,,6.6,,5.6,,140,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1998-08-19,10:40:00,Yes,0.1,29.7,,6.6,,5.9,,151,,18,,0,\N,4.5,,3,<,0,,0.06,,0.31,,0.5,,0.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1998-09-08,10:02:00,Yes,0.1,27.4,,6.5,,5.3,,153,,32,,0,\N,5.5,,3.8,,0,,0.1,,0.7,,0.6,,0.4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1998-09-21,13:20:00,Yes,0.1,27.1,,6.5,,5.1,,132,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1998-10-12,10:00:00,Yes,0.1,22.9,,6.8,,6.3,,162,,117,,0,\N,6,,2.7,,0,,0.05,,0.41,,0.78,,0.37,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1998-10-29,13:40:00,Yes,0.1,18.2,,6.8,,8,,161,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1998-11-16,08:40:00,Yes,0.1,14.6,,7.1,,7.9,,195,,33,,0,\N,2.6,,1.9,,0,,0.08,,0.53,,1,,0.38,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1998-12-17,09:50:00,Yes,0.1,12.2,,6.9,,9.3,,156,,218,,0,\N,4.5,,2.4,,0,,0.05,,0.58,,0.57,,0.35,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-01-11,10:10:00,Yes,0.1,5.6,,6.2,,10.6,,83,,210,,0,\N,61,,27,,0,,0.09,,0.76,,0.33,,0.24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-02-10,10:15:00,Yes,0.1,11.5,,6.2,,9.7,,109,,52,,0,\N,30.5,,25.4,,0,,0.07,,0.33,,0.34,,0.11,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-03-08,10:00:00,Yes,0.1,10.7,,6.3,,11.2,,113,,16,,0,\N,8.3,,6.4,,0,,0.01,,0.46,,0.65,,0.55,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-04-12,11:13:00,Yes,0.1,20.2,,6.3,,7.3,,116,,6,,0,\N,11,,9.3,,0,,0.07,,0.62,,0.53,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-05-10,11:45:00,Yes,0.1,19.7,,5.6,,7.1,,112,,108,,0,\N,12.7,,6.3,,0,,0.1,,0.54,,0.44,,0.14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-05-26,10:15:00,Yes,0.1,23.9,,6.4,,6.6,,100,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-06-07,10:10:00,Yes,0.1,27.3,,6,,5.6,,143,,8,,0,\N,6,,3,,0,,0.12,,0.73,,1.2,,0.26,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-06-24,13:55:00,Yes,0.1,25.8,,6.6,,6.6,,120,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-07-15,10:10:00,Yes,0.1,27,,6.7,,5.5,,167,,43,,0,\N,7.1,,4.2,,0,,0.21,,0.68,,0.89,,0.36,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-07-30,17:23:00,Yes,0.1,32.9,,7.3,,9.8,,147,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-08-11,09:30:00,Yes,0.1,30,,6.7,,5,,161,,12,,0,\N,4.9,,3.5,,0,,0.11,,0.59,,0.88,,0.29,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-08-25,11:01:00,Yes,0.1,28.7,,6.7,,4.6,,150,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-09-13,13:00:00,Yes,0.1,24.4,,6.7,,6.1,,134,,50,,0,\N,15,,11.4,,0,,0.07,,0.44,,0.52,,0.18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-10-25,00:45:00,Yes,0.1,15.6,,6.2,,7.6,,62,,400,,0,\N,18.2,,16,,0,,0.03,,0.56,,0.36,,0.16,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-11-04,10:05:00,Yes,0.1,15.5,,6.3,,8.7,,82,,16,,0,\N,9,,5,<,0,,0.04,,0.48,,0.62,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,1999-12-20,09:45:00,Yes,0.1,10.1,,6.4,,10.6,,107,,340,,0,\N,16.1,,9,,0,,0.02,,0.6,,0.54,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,2000-01-21,11:00:00,Yes,0.1,0,,0,,0,,0,,50,,0,\N,16.1,,7,,0,,0.04,,0.53,,0.58,,0.15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,2000-02-11,10:02:00,Yes,0.1,6.7,,6.6,,11.8,,72,,28,,0,\N,17,,13,,0,,0.03,,0.44,,0.59,,0.17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8340650,2000-03-21,10:04:00,Yes,0.1,13.6,,6.8,,9.8,,94,,228,,0,\N,12.6,,16,,0,,0.06,,0.64,,0.26,,0.13,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
