Data was downloaded on July 6 2026 2:00 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B8349000/MCFRBA_25,3030005,34.40601,-78.29430,"Cape Fear River above Lock & Dam 1 nr East Arcadia","Bladen","WQ at Lock and Dam 1","WS-IV CA",CPF16,yes

Query Results: 
Stations:B8349000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B8349000,1998-07-13,09:45:00,Yes,0.1,30.2,,6.8,,4,,130,,5,,0,\N,8.7,,4.5,,11.46,,0.02,,0.65,,0.56,,0.25,,0.1,<,10,<,6,,1,<,2,,11,,290,,560,,85,,0.2,<,4.3,,0,
B8349000,1998-07-29,09:10:00,Yes,0.1,30.1,,6.5,,4.2,,149,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8349000,1998-08-10,09:44:00,Yes,0.1,28.9,,6.6,,5.6,,116,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8349000,1998-08-19,09:30:00,Yes,0.1,29.5,,6.6,,5.6,,146,,26,,0,\N,6.4,,3.5,,6.26,,0.08,,0.42,,0.6,,0.31,,0.2,,10,<,5,,1.5,,1.4,,24,,150,,390,,57,,0.2,<,3,,0,
B8349000,1998-09-08,09:01:00,Yes,0.1,27.4,,6.4,,4.3,,133,,15,,0,\N,5.9,,3.7,,1.23,,0.12,,0.74,,0.98,,0.36,,0.1,<,10,<,3.9,,1.4,,0.8,,9,,180,,830,,115,,0.2,<,3,,0,
B8349000,1998-09-21,11:25:00,Yes,0.1,27.4,,6.5,,4.6,,140,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8349000,1998-10-12,09:05:00,Yes,0.1,23.5,,6.7,,5.4,,180,,24,,0,\N,8.3,,4.1,,3.95,,0.05,,0.66,,0.75,,0.45,,0.1,<,10,<,4,,1.8,,0.7,,5,<,140,,450,,73,,0.2,<,3,,0,
B8349000,1998-10-29,15:10:00,Yes,0.1,19.1,,6.8,,8.1,,161,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B8349000,1998-11-16,07:35:00,Yes,0.1,15,,6.9,,7.8,,205,,15,,0,\N,6.1,,1,<,0,,0.05,,0.48,,1.1,,0.42,,0.1,<,10,<,4.3,,1.3,,0.5,,8.3,,180,,390,,63,,0.2,<,3,,0,
B8349000,1998-12-17,09:10:00,Yes,0.1,12.7,,6.7,,8.8,,150,,69,,0,\N,4.6,,2.4,,0,,0.06,,0.46,,1.02,,0.37,,0.1,<,10,<,1.9,,1.8,,1.9,,8,,100,,2200,,68,,0.2,<,3,,0,
B8349000,1999-01-11,09:20:00,Yes,0.1,5.8,,5.8,,10.4,,84,,280,,0,\N,64.4,,35.3,,0,,0.1,,0.91,,0.38,,0.29,,0.1,<,10,<,8.6,,1.3,,1.9,,7,,1200,,1200,,69,,0.2,<,3,,0,
B8349000,1999-02-10,09:30:00,Yes,0.1,11.5,,5.8,,9.6,,107,,44,,0,\N,23.6,,15.2,,0,,0.07,,0.45,,0.34,,0.12,,0.2,,12,,8.8,,2.7,,1.8,,26,,390,,620,,57,,0.2,<,3,,0,
B8349000,1999-03-08,09:20:00,Yes,0.1,10.8,,5.8,,11.5,,114,,5,,0,\N,8.9,,7.9,,0,,0.04,,0.68,,0.4,,0.59,,0.1,<,12,,3.9,,8.3,,6.6,,82,,520,,700,,74,,0.2,<,3,,0,
B8349000,1999-04-12,10:30:00,Yes,0.1,20,,5.7,,7.5,,114,,7,,0,\N,10.1,,7.6,,0,,0.08,,0.45,,0.49,,0.13,,0.1,<,14,,3.6,,19,,8.3,,198,,230,,570,,49,,0.2,<,3,,0,
B8349000,1999-05-10,11:00:00,Yes,0.1,20.3,,5.6,,7,,113,,89,,0,\N,11.6,,4.1,,2.65,,0.1,,0.46,,0.43,,0.15,,0.1,,10,<,3.6,,2.3,,2.4,,25,,360,,610,,69,,0.2,<,3,,0,
