Data was downloaded on July 6 2026 2:02 pm
The data contains the remarks code. 
For Help with the remarks code, please check http://www.cormp.org/CFP/CFPremarks.php

Station Info:
Station,HUC,Latitude,Longitude,Location,County,Comment,Stream Class,Sub Basin,Active
B0050000/UCFRBA_02,3030002,36.26520,-79.65230,"Haw Riv at US 29 Bus nr Benaja","Rockingham","ups Reidsville WWTP","C NSW",CPF01,yes

Query Results: 
Stations:B0050000	 Time Period: 1996-01-01-2026-07-06
station,date,time,quality control,depth(m),Temperature(C),Temperature_rmk,pH(su),pH_rmk,Dissolved Oxygen(mg/L),Dissolved Oxygen_rmk,Conductivity(umhos/cm),Conductivity_rmk,Fecal Coliform(col/100ml),Fecal Coliform_rmk,Enterococcus(col/100ml),Enterococcus_rmk,Turbidity(NTU),Turbidity_rmk,Suspended Residue(mg/L),Suspended Residue_rmk,Chlorophyll-a(ug/L),Chlorophyll-a_rmk,NH3-N(mg/L),NH3-N_rmk,TKN-N(mg/L),TKN-N_rmk,NO2-NO3(mg/L),NO2-NO3_rmk,Phosphorus(mg/L),Phosphorus_rmk,Cadmium(ug/L),Cadmium_rmk,Chromium(ug/L),Chromium_rmk,Copper(ug/L),Copper_rmk,Nickel(ug/L),Nickel_rmk,Lead(ug/L),Lead_rmk,Zinc(ug/L),Zinc_rmk,Aluminum(ug/L),Aluminum_rmk,Iron(ug/L),Iron_rmk,Manganese(ug/L),Manganese_rmk,Mercury(ug/L),Mercury_rmk,Arsenic(ug/L),Arsenic_rmk,Hardness(mg/L),Hardness_rmk
B0050000,2000-04-24,00:00:00,Yes,0,15,,7.3,,6.9,,84,,16,,0,\N,7.9,,4,,0,,0,Z,0,Z,0,Z,0.04,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0050000,2000-05-03,00:00:00,Yes,0,16.1,,7.2,,6.7,,75,,18,,0,\N,9.1,,4,,0,,0,Z,0,Z,0,Z,0.05,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0050000,2000-05-17,00:00:00,Yes,0,17.1,,7,,6.9,,88,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0050000,2000-06-01,00:00:00,Yes,0,17.9,,7.2,,6.8,,98,,44,,0,\N,14,,3,,0,,0,Z,0,Z,0,Z,0.01,<,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0050000,2000-06-16,00:00:00,Yes,0,22.9,,7,,5.8,,101,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0050000,2000-07-05,00:00:00,Yes,0,23.5,,7.3,,6,,106,,390,,0,\N,15,,4,,0,,0,Z,0,Z,0,Z,0.02,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0050000,2000-07-18,00:00:00,Yes,0,22.9,,6.9,,6.6,,104,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0050000,2000-08-01,00:00:00,Yes,0,23.2,,6.6,,5.8,,105,,210,,0,\N,3.1,,5,,0,,0,Z,0.1,,0,Z,0.01,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
B0050000,2000-08-17,00:00:00,Yes,0,22.1,,7.3,,6.3,,98,,0,,0,\N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
B0050000,2000-09-05,00:00:00,Yes,0,21.4,,6.9,,4.4,,72,,210,,0,\N,18,,1,<,0,,0,Z,0.5,,0,Z,0.08,,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,,0,Z,0,Z,0,
